Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
31645;Argentina;Bolivia;M-3/M-5 Half-track;APC;Armoured vehicles;2006;No;37;Yes;2006;No;Second hand;0.1500;0.06;2.22;No
19781;Argentina;Colombia;IA-58A Pucara;Ground attack ac;Aircraft;1989;No;3;No;1990;No;Second hand;5.0000;2;6;No
18434;Argentina;Denmark;Lynx;ASW helicopter;Aircraft;1987;Yes;1;No;1987;No;Second hand;10.0000;4;4;No
24094;Argentina;Iran;Model-81 155mm;Towed gun;Artillery;1984;No;10;No;1984;No;New;0.9000;0.9000;9;No
29594;Argentina;Paraguay;M-4 Sherman;Tank;Armoured vehicles;1982;Yes;6;Yes;1982;Yes;Second hand;0.8400;0.336;2.016;No
20778;Argentina;Paraguay;LSM;Landing ship;Ships;1972;No;1;No;1972;No;Second hand but modernized;16.0000;10.56;10.56;No
17327;Argentina;Paraguay;Bouchard;OPV;Ships;1964;No;2;No;1968;No;Second hand;10.0000;4;8;No
17327;Argentina;Paraguay;Bouchard;OPV;Ships;1964;No;1;No;1964;No;Second hand;10.0000;4;4;No
9788;Argentina;Paraguay;CV-440;Transport aircraft;Aircraft;1962;No;3;No;1962;No;Second hand;5.0000;2;6;No
53100;Argentina;Paraguay;M-3/M-5 Half-track;APC;Armoured vehicles;2007;No;20;Yes;2011;Yes;Second hand;0.1500;0.06;1.2;No
29593;Argentina;Paraguay;Firefly;Tank;Armoured vehicles;1980;No;3;No;1980;No;Second hand;0.9000;0.36;1.08;No
25378;Argentina;Paraguay;T-6 Texan;Trainer aircraft;Aircraft;1975;Yes;10;No;1976;No;Second hand;0.3200;0.128;1.28;No
9773;Argentina;Paraguay;DHC-3 Otter;Light transport ac;Aircraft;1970;Yes;1;No;1972;No;Second hand;0.6300;0.252;0.252;No
2842;Argentina;Paraguay;DC-3/C-47 Skytrain;Transport aircraft;Aircraft;1979;No;1;No;1979;No;Second hand;2.5000;1;1;No
9776;Argentina;Paraguay;G-21 Goose;Light transport ac;Aircraft;1966;Yes;1;No;1967;No;Second hand;0.6000;0.24;0.24;No
32150;Argentina;Spain;CH-47C Chinook;Helicopter;Aircraft;2001;No;1;No;2001;No;Second hand;15.0000;6;6;No
23988;Argentina;Uruguay;T-6 Texan;Trainer aircraft;Aircraft;1969;Yes;2;No;1970;No;Second hand;0.3200;0.128;0.256;No
23987;Argentina;Uruguay;PA-34 Seneca;Light transport ac;Aircraft;1993;Yes;1;No;1994;No;New;0.3700;0.3700;0.37;No
22302;Argentina;Uruguay;Beech-18/C-45;Light transport ac;Aircraft;1979;Yes;3;No;1979;No;Second hand;0.4000;0.16;0.48;No
21630;Argentina;Uruguay;PA-34 Seneca;Light transport ac;Aircraft;1990;Yes;1;No;1991;No;New;0.3700;0.3700;0.37;No
2877;Argentina;Uruguay;IA-58A Pucara;Ground attack ac;Aircraft;1980;No;6;No;1981;No;New;3.8000;3.8000;22.8;No
3332;Argentina;Uruguay;T-28D Nomad;Trainer/combat ac;Aircraft;1979;No;9;No;1979;No;Second hand;1.7500;0.7;6.3;No
32179;Argentina;Uruguay;IA-58A Pucara;Ground attack ac;Aircraft;2000;No;1;No;2000;No;Second hand;5.0000;2;2;No
25934;Argentina;Honduras;MO-120-LT 120mm;Mortar;Artillery;1980;Yes;20;Yes;1983;Yes;New;0.0500;0.0500;1;No
25934;Argentina;Honduras;MO-120-LT 120mm;Mortar;Artillery;1980;Yes;20;Yes;1982;Yes;New;0.0500;0.0500;1;No
25934;Argentina;Honduras;MO-120-LT 120mm;Mortar;Artillery;1980;Yes;20;Yes;1981;Yes;New;0.0500;0.0500;1;No
21165;Argentina;Sri Lanka;IA-58A Pucara;Ground attack ac;Aircraft;1992;No;1;No;1994;No;New;3.8000;3.8000;3.8;No
21165;Argentina;Sri Lanka;IA-58A Pucara;Ground attack ac;Aircraft;1992;No;3;No;1993;No;New;3.8000;3.8000;11.4;No
