Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
32;Australia;Brazil;Ikara;ASW missile;Missiles;1972;No;10;Yes;1980;Yes;New;0.6000;0.6000;6;No
32;Australia;Brazil;Ikara;ASW missile;Missiles;1972;No;10;Yes;1978;Yes;New;0.6000;0.6000;6;No
32;Australia;Brazil;Ikara;ASW missile;Missiles;1972;No;10;Yes;1977;Yes;New;0.6000;0.6000;6;No
32;Australia;Brazil;Ikara;ASW missile;Missiles;1972;No;10;Yes;1976;Yes;New;0.6000;0.6000;6;No
25537;Australia;Brunei;Teraban;Landing craft;Ships;1995;No;2;No;1996;No;New;4.9000;4.9000;9.8;No
8185;Australia;Cambodia;DC-3/C-47 Skytrain;Transport aircraft;Aircraft;1971;Yes;6;No;1972;No;Second hand;2.5000;1;6;No
17911;Australia;Fiji;ASI-315;Patrol craft;Ships;1992;No;2;No;1995;No;New;6.0000;6.0000;12;No
17911;Australia;Fiji;ASI-315;Patrol craft;Ships;1992;No;1;No;1994;No;New;6.0000;6.0000;6;No
35676;Australia;Ghana;SB-7L-360 Seeker;Light aircraft;Aircraft;2004;No;2;Yes;2006;Yes;New;0.1100;0.1100;0.22;No
5277;Australia;India;Canberra B-2;Bomber aircraft;Aircraft;1970;Yes;5;Yes;1971;Yes;Second hand;8.5000;3.4;17;No
5277;Australia;India;Canberra B-2;Bomber aircraft;Aircraft;1970;Yes;5;Yes;1970;Yes;Second hand;8.5000;3.4;17;No
57068;Australia;India;Thornycroft 26m;Patrol craft;Ships;2001;Yes;2;No;2002;No;New;8.3000;8.3000;16.6;No
57070;Australia;India;Thornycroft 26m;Patrol craft;Ships;2010;Yes;1;Yes;2013;Yes;New;8.3000;8.3000;8.3;Yes
57069;Australia;India;Thornycroft 26m;Patrol craft;Ships;2004;Yes;2;Yes;2011;No;New;8.3000;8.3000;16.6;Yes
57069;Australia;India;Thornycroft 26m;Patrol craft;Ships;2004;Yes;2;Yes;2010;No;New;8.3000;8.3000;16.6;Yes
57069;Australia;India;Thornycroft 26m;Patrol craft;Ships;2004;Yes;2;Yes;2009;Yes;New;8.3000;8.3000;16.6;Yes
57069;Australia;India;Thornycroft 26m;Patrol craft;Ships;2004;Yes;2;Yes;2008;Yes;New;8.3000;8.3000;16.6;Yes
57069;Australia;India;Thornycroft 26m;Patrol craft;Ships;2004;Yes;2;Yes;2007;Yes;New;8.3000;8.3000;16.6;Yes
57069;Australia;India;Thornycroft 26m;Patrol craft;Ships;2004;Yes;1;Yes;2006;Yes;New;8.3000;8.3000;8.3;Yes
33817;Australia;Indonesia;Nomad Searchmaster-L;MP aircraft;Aircraft;2001;No;4;No;2003;No;Second hand;5.0000;2;8;No
24557;Australia;Indonesia;Nomad;Light transport ac;Aircraft;1996;No;3;Yes;1997;No;New;1.5000;1.5000;4.5;No
24556;Australia;Indonesia;Nomad;Light transport ac;Aircraft;1996;No;16;Yes;1997;No;Second hand;1.5000;0.6;9.6;No
17592;Australia;Indonesia;Attack;Patrol craft;Ships;1984;Yes;1;No;1986;No;Second hand but modernized;6.0000;3.96;3.96;No
17592;Australia;Indonesia;Attack;Patrol craft;Ships;1984;Yes;2;No;1985;No;Second hand but modernized;6.0000;3.96;7.92;No
5392;Australia;Indonesia;Cessna-207;Light transport ac;Aircraft;1968;Yes;5;No;1970;No;Second hand;0.2400;0.096;0.48;No
5370;Australia;Indonesia;Cessna-310;Light aircraft;Aircraft;1967;Yes;2;No;1969;No;Second hand;0.3500;0.14;0.28;No
5369;Australia;Indonesia;Cessna-411;Light transport ac;Aircraft;1967;Yes;5;No;1969;No;Second hand;0.9500;0.38;1.9;No
3551;Australia;Indonesia;Attack;Patrol craft;Ships;1981;Yes;2;No;1983;No;Second hand but modernized;6.0000;3.96;7.92;No
3551;Australia;Indonesia;Attack;Patrol craft;Ships;1981;Yes;1;No;1982;No;Second hand but modernized;6.0000;3.96;3.96;No
35939;Australia;Indonesia;C-130H Hercules;Transport aircraft;Aircraft;2013;No;1;Yes;2013;No;Second hand but modernized;28.0000;18.48;18.48;No
14654;Australia;Indonesia;Attack;Patrol craft;Ships;1972;Yes;1;No;1974;No;Second hand;6.0000;2.4;2.4;No
14654;Australia;Indonesia;Attack;Patrol craft;Ships;1972;Yes;1;No;1973;No;Second hand;6.0000;2.4;2.4;No
8741;Australia;Indonesia;Nomad;Light transport ac;Aircraft;1973;No;2;No;1975;No;New;1.5000;1.5000;3;No
