Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
24811;Austria;Belgium;Pandur;APC;Armoured vehicles;1997;No;2;Yes;1998;No;New;0.3000;0.3000;0.6;Yes
24811;Austria;Belgium;Pandur;APC;Armoured vehicles;1997;No;17;No;2000;No;New;0.3000;0.3000;5.1;Yes
24811;Austria;Belgium;Pandur;APC;Armoured vehicles;1997;No;35;No;1999;No;New;0.3000;0.3000;10.5;Yes
34732;Austria;Bolivia;DA40;Light aircraft;Aircraft;2009;Yes;9;No;2010;No;New;0.1500;0.1500;1.35;No
22702;Austria;Bolivia;4K-4FA-SB20 Greif;ARV;Armoured vehicles;1978;Yes;1;Yes;1980;Yes;New;0.7500;0.7500;0.75;No
22702;Austria;Bolivia;4K-4FA-SB20 Greif;ARV;Armoured vehicles;1978;Yes;1;Yes;1979;Yes;New;0.7500;0.7500;0.75;No
17356;Austria;Bolivia;4K-7FA;APC;Armoured vehicles;1977;Yes;6;No;1978;Yes;New;0.3000;0.3000;1.8;No
2679;Austria;Bolivia;SK-105 Kurassier;Light tank;Armoured vehicles;1978;Yes;22;Yes;1980;Yes;New;0.7000;0.7000;15.4;No
2679;Austria;Bolivia;SK-105 Kurassier;Light tank;Armoured vehicles;1978;Yes;12;Yes;1979;Yes;New;0.7000;0.7000;8.4;No
31202;Austria;Botswana;4K-7FA;APC;Armoured vehicles;2000;No;2;No;2000;No;New;0.3000;0.3000;0.6;No
27008;Austria;Botswana;SK-105 Kurassier;Light tank;Armoured vehicles;1997;No;20;No;2000;No;New;0.7000;0.7000;14;No
31209;Austria;Brazil;SK-105 Kurassier;Light tank;Armoured vehicles;2000;No;17;No;2001;No;New;0.7000;0.7000;11.9;No
31208;Austria;Brazil;4K-4FA-SB20 Greif;ARV;Armoured vehicles;2000;No;1;No;2001;No;New;0.7500;0.7500;0.75;No
51140;Austria;Czech Republic;Pandur-2;APC;Armoured vehicles;2009;No;28;Yes;2012;No;New;0.2700;0.2700;7.56;No
51140;Austria;Czech Republic;Pandur-2;APC;Armoured vehicles;2009;No;32;No;2011;No;New;0.2700;0.2700;8.64;No
51140;Austria;Czech Republic;Pandur-2;APC;Armoured vehicles;2009;No;30;Yes;2010;No;New;0.2700;0.2700;8.1;No
51140;Austria;Czech Republic;Pandur-2;APC;Armoured vehicles;2009;No;17;Yes;2009;No;New;0.2700;0.2700;4.59;No
35142;Austria;Gabon;Pandur;APC;Armoured vehicles;2003;Yes;1;No;2004;No;New;0.3000;0.3000;0.3;No
23202;Austria;Gabon;CM-170 Magister;Trainer aircraft;Aircraft;1976;No;6;Yes;1978;Yes;Second hand;1.0000;0.4;2.4;No
37893;Austria;Germany (FRG);M-16;Diesel engine;Engines;2002;No;9;No;2004;No;New;0.0200;0.0200;0.18;No
37893;Austria;Germany (FRG);M-16;Diesel engine;Engines;2002;No;22;No;2003;No;New;0.0200;0.0200;0.44;No
37024;Austria;Germany (FRG);M-16;Diesel engine;Engines;2005;No;53;Yes;2006;No;New;0.0200;0.0200;1.06;No
37024;Austria;Germany (FRG);M-16;Diesel engine;Engines;2005;No;2;No;2005;No;New;0.0200;0.0200;0.04;No
37024;Austria;Germany (FRG);M-16;Diesel engine;Engines;2005;No;20;Yes;2007;No;New;0.0200;0.0200;0.4;No
37023;Austria;Germany (FRG);M-16;Diesel engine;Engines;2005;No;30;No;2008;No;New;0.0200;0.0200;0.6;No
37023;Austria;Germany (FRG);M-16;Diesel engine;Engines;2005;No;43;Yes;2007;No;New;0.0200;0.0200;0.86;No
37023;Austria;Germany (FRG);M-16;Diesel engine;Engines;2005;No;8;Yes;2009;No;New;0.0200;0.0200;0.16;No
51618;Austria;Ghana;DA42MPP;Reconnaissance aircraft;Aircraft;2011;Yes;2;No;2011;No;New;0.5000;0.5000;1;No
53602;Austria;Ghana;DA42MPP;Reconnaissance aircraft;Aircraft;2012;Yes;3;No;2012;No;New;0.5000;0.5000;1.5;No
3188;Austria;Greece;4K-4F;APC;Armoured vehicles;1981;No;40;Yes;1984;No;New;0.2500;0.2500;10;Yes
3188;Austria;Greece;4K-4F;APC;Armoured vehicles;1981;No;40;Yes;1983;No;New;0.2500;0.2500;10;Yes
3188;Austria;Greece;4K-4F;APC;Armoured vehicles;1981;No;20;Yes;1982;No;New;0.2500;0.2500;5;Yes
18442;Austria;Greece;4K-7FA;APC;Armoured vehicles;1987;No;57;Yes;1994;No;New;0.3000;0.3000;17.1;Yes
18442;Austria;Greece;4K-7FA;APC;Armoured vehicles;1987;No;32;Yes;1993;No;New;0.3000;0.3000;9.6;Yes
18442;Austria;Greece;4K-7FA;APC;Armoured vehicles;1987;No;68;Yes;1992;No;New;0.3000;0.3000;20.4;Yes
18442;Austria;Greece;4K-7FA;APC;Armoured vehicles;1987;No;67;Yes;1991;No;New;0.3000;0.3000;20.1;Yes
18442;Austria;Greece;4K-7FA;APC;Armoured vehicles;1987;No;60;Yes;1990;No;New;0.3000;0.3000;18;Yes
18442;Austria;Greece;4K-7FA;APC;Armoured vehicles;1987;No;40;Yes;1989;Yes;New;0.3000;0.3000;12;Yes
18442;Austria;Greece;4K-7FA;APC;Armoured vehicles;1987;No;20;Yes;1988;Yes;New;0.3000;0.3000;6;Yes
16806;Austria;Iran;CG-45/GHN-45 155mm;Towed gun;Artillery;1984;No;300;Yes;1985;No;New;1.0000;1.0000;300;No
4169;Austria;Iraq;CG-45/GHN-45 155mm;Towed gun;Artillery;1981;No;25;Yes;1986;No;New;1.0000;1.0000;25;No
4169;Austria;Iraq;CG-45/GHN-45 155mm;Towed gun;Artillery;1981;No;40;Yes;1985;No;New;1.0000;1.0000;40;No
4169;Austria;Iraq;CG-45/GHN-45 155mm;Towed gun;Artillery;1981;No;40;Yes;1984;No;New;1.0000;1.0000;40;No
4169;Austria;Iraq;CG-45/GHN-45 155mm;Towed gun;Artillery;1981;No;40;Yes;1983;No;New;1.0000;1.0000;40;No
4169;Austria;Iraq;CG-45/GHN-45 155mm;Towed gun;Artillery;1981;No;40;Yes;1982;No;New;1.0000;1.0000;40;No
4169;Austria;Iraq;CG-45/GHN-45 155mm;Towed gun;Artillery;1981;No;15;Yes;1981;No;New;1.0000;1.0000;15;No
3375;Austria;Israel;S-65A/CH-53 Stallion;Helicopter;Aircraft;1981;No;2;No;1981;No;Second hand;12.7600;5.104;10.208;No
37895;Austria;Italy;M-16;Diesel engine;Engines;2000;No;2;No;2001;No;New;0.0200;0.0200;0.04;No
36815;Austria;Italy;M-16;Diesel engine;Engines;2003;No;9;Yes;2010;Yes;New;0.0200;0.0200;0.18;No
36815;Austria;Italy;M-16;Diesel engine;Engines;2003;No;25;Yes;2009;No;New;0.0200;0.0200;0.5;No
36815;Austria;Italy;M-16;Diesel engine;Engines;2003;No;30;Yes;2007;No;New;0.0200;0.0200;0.6;No
36815;Austria;Italy;M-16;Diesel engine;Engines;2003;No;34;Yes;2008;No;New;0.0200;0.0200;0.68;No
36815;Austria;Italy;M-16;Diesel engine;Engines;2003;No;27;Yes;2005;No;New;0.0200;0.0200;0.54;No
36815;Austria;Italy;M-16;Diesel engine;Engines;2003;No;21;Yes;2006;No;New;0.0200;0.0200;0.42;No
53114;Austria;Jordan;Camcopter S-100;UAV;Aircraft;2010;No;2;No;2011;No;New;0.2000;0.2000;0.4;No
32386;Austria;Kuwait;Pandur;IFV;Aircraft;1996;No;15;Yes;1999;No;New;0.3000;0.3000;4.5;No
32386;Austria;Kuwait;Pandur;IFV;Aircraft;1996;No;15;Yes;1998;No;New;0.3000;0.3000;4.5;No
24431;Austria;Kuwait;Pandur;APC;Armoured vehicles;1996;No;20;Yes;1998;No;New;0.3000;0.3000;6;No
24431;Austria;Kuwait;Pandur;APC;Armoured vehicles;1996;No;19;Yes;1999;No;New;0.3000;0.3000;5.7;No
24431;Austria;Kuwait;Pandur;APC;Armoured vehicles;1996;No;1;Yes;1997;Yes;New;0.3000;0.3000;0.3;No
55745;Austria;Kuwait;M-14;Diesel engine;Engines;2008;No;20;Yes;2009;No;New;0.0200;0.0200;0.4;No
51097;Austria;Niger;DA42MPP;Reconnaissance aircraft;Aircraft;2008;Yes;2;No;2008;No;New;0.5000;0.5000;1;No
19124;Austria;Nigeria;4K-7FA;APC;Armoured vehicles;1981;No;20;No;1983;No;New;0.3000;0.3000;6;No
19124;Austria;Nigeria;4K-7FA;APC;Armoured vehicles;1981;No;50;No;1982;No;New;0.3000;0.3000;15;No
3800;Austria;Nigeria;4K-7FA;APC;Armoured vehicles;1981;No;25;Yes;1981;No;New;0.3000;0.3000;7.5;No
3213;Austria;Nigeria;4K-7FA;APC;Armoured vehicles;1984;Yes;25;Yes;1984;Yes;New;0.3000;0.3000;7.5;No
3213;Austria;Nigeria;4K-7FA;APC;Armoured vehicles;1984;Yes;25;Yes;1985;Yes;New;0.3000;0.3000;7.5;No
3213;Austria;Nigeria;4K-7FA;APC;Armoured vehicles;1984;Yes;25;Yes;1986;Yes;New;0.3000;0.3000;7.5;No
9608;Austria;Nigeria;S-55/H-19 Chickasaw;Helicopter;Aircraft;1967;Yes;2;Yes;1967;No;Second hand;1.2000;0.48;0.96;No
52254;Austria;Portugal;Pandur-2;IFV;Armoured vehicles;2005;No;6;Yes;2009;Yes;New;1.0200;1.0200;6.12;Yes
52254;Austria;Portugal;Pandur-2;IFV;Armoured vehicles;2005;No;8;Yes;2011;No;New;1.0200;1.0200;8.16;Yes
52254;Austria;Portugal;Pandur-2;IFV;Armoured vehicles;2005;No;8;Yes;2010;No;New;1.0200;1.0200;8.16;Yes
34255;Austria;Portugal;Pandur-2;APC;Armoured vehicles;2005;No;31;Yes;2008;No;New;0.2700;0.2700;8.37;Yes
34255;Austria;Portugal;Pandur-2;APC;Armoured vehicles;2005;No;35;Yes;2011;No;New;0.2700;0.2700;9.45;Yes
34255;Austria;Portugal;Pandur-2;APC;Armoured vehicles;2005;No;35;Yes;2010;No;New;0.2700;0.2700;9.45;Yes
34255;Austria;Portugal;Pandur-2;APC;Armoured vehicles;2005;No;35;Yes;2009;No;New;0.2700;0.2700;9.45;Yes
34255;Austria;Portugal;Pandur-2;APC;Armoured vehicles;2005;No;8;Yes;2007;No;New;0.2700;0.2700;2.16;Yes
37894;Austria;Sweden;M-16;Diesel engine;Engines;2001;No;15;Yes;2003;Yes;New;0.0200;0.0200;0.3;No
31826;Austria;Sweden;M-16;Diesel engine;Engines;1989;No;2;No;1989;No;New;0.0200;0.0200;0.04;No
29528;Austria;Sweden;Bell-204/UH-1B;Helicopter;Aircraft;1990;No;8;Yes;1990;No;Second hand;2.1400;0.856;6.848;No
25498;Austria;Tunisia;M-30 107mm;Mortar;Artillery;1996;No;26;No;1997;No;Second hand;0.0500;0.02;0.52;No
491;Austria;Tunisia;SK-105 Kurassier;Light tank;Armoured vehicles;1976;No;54;No;1979;No;New;0.7000;0.7000;37.8;No
54222;Austria;Turkmenistan;Survivor-2;APC;Armoured vehicles;2010;Yes;10;Yes;2011;Yes;New;0.2000;0.2000;2;No
56908;Austria;Poland;DA20;Light aircraft;Aircraft;2012;No;5;Yes;2013;Yes;New;0.1600;0.1600;0.8;No
34225;Austria;Slovenia;Pandur;APC;Armoured vehicles;2003;No;8;Yes;2007;No;New;0.3000;0.3000;2.4;Yes
34225;Austria;Slovenia;Pandur;APC;Armoured vehicles;2003;No;10;Yes;2006;No;New;0.3000;0.3000;3;Yes
34225;Austria;Slovenia;Pandur;APC;Armoured vehicles;2003;No;10;Yes;2005;No;New;0.3000;0.3000;3;Yes
34225;Austria;Slovenia;Pandur;APC;Armoured vehicles;2003;No;8;Yes;2004;No;New;0.3000;0.3000;2.4;Yes
