Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
39090;Belarus;Azerbaijan;T-72M1;Tank;Armoured vehicles;2004;Yes;41;No;2006;No;Second hand;2.6000;1.04;42.64;No
39090;Belarus;Azerbaijan;T-72M1;Tank;Armoured vehicles;2004;Yes;19;No;2005;No;Second hand;2.6000;1.04;19.76;No
57092;Belarus;Azerbaijan;T-72M1;Tank;Armoured vehicles;2010;Yes;62;No;2012;No;Second hand;2.6000;1.04;64.48;No
57092;Belarus;Azerbaijan;T-72M1;Tank;Armoured vehicles;2010;Yes;31;No;2011;No;Second hand;2.6000;1.04;32.24;No
51213;Belarus;Azerbaijan;2S7 Pion 203mm;Self-propelled gun;Artillery;2008;Yes;3;No;2008;No;Second hand;1.1000;0.44;1.32;No
52181;Belarus;Azerbaijan;2S7 Pion 203mm;Self-propelled gun;Artillery;2009;No;9;No;2009;No;Second hand;1.1000;0.44;3.96;No
52182;Belarus;Azerbaijan;Su-25/Frogfoot-A;Ground attack ac;Aircraft;2009;Yes;1;No;2012;No;Second hand;12.0000;4.8;4.8;No
52182;Belarus;Azerbaijan;Su-25/Frogfoot-A;Ground attack ac;Aircraft;2009;Yes;4;No;2011;No;Second hand;12.0000;4.8;19.2;No
52182;Belarus;Azerbaijan;Su-25/Frogfoot-A;Ground attack ac;Aircraft;2009;Yes;1;No;2010;No;Second hand;12.0000;4.8;4.8;No
52182;Belarus;Azerbaijan;Su-25/Frogfoot-A;Ground attack ac;Aircraft;2009;Yes;5;No;2009;No;Second hand;12.0000;4.8;24;No
53981;Belarus;Azerbaijan;D-30 122mm;Towed gun;Artillery;2009;Yes;30;No;2010;No;Second hand;0.3500;0.14;4.2;No
28138;Belarus;DR Congo;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1997;Yes;6;No;1997;No;Second hand;0.4500;0.18;1.08;No
39089;Belarus;Djibouti;Mi-24P/Hind-F;Combat helicopter;Aircraft;2004;Yes;2;Yes;2005;Yes;Second hand;9.5300;3.812;7.624;No
32237;Belarus;Angola;T-72M1;Tank;Armoured vehicles;1999;Yes;22;No;1999;No;Second hand;2.6000;1.04;22.88;No
32242;Belarus;Angola;MiG-23ML/Flogger-G;Fighter aircraft;Aircraft;1999;Yes;7;Yes;1999;No;Second hand;18.0000;7.2;50.4;No
32236;Belarus;Angola;T-55AM-2;Tank;Armoured vehicles;1999;Yes;62;No;1999;No;Second hand;1.5000;0.6;37.2;No
32241;Belarus;Angola;D-30 122mm;Towed gun;Artillery;1999;Yes;12;No;1999;No;Second hand;0.3500;0.14;1.68;No
32240;Belarus;Angola;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1999;Yes;24;No;1999;No;Second hand;0.4500;0.18;4.32;No
32243;Belarus;Angola;Su-22/Fitter-H/J/K;FGA aircraft;Aircraft;1999;Yes;7;Yes;1999;No;Second hand;13.0000;5.2;36.4;No
32239;Belarus;Angola;BMP-2;IFV;Armoured vehicles;1999;Yes;62;No;1999;No;Second hand;0.9000;0.36;22.32;No
31417;Belarus;Angola;2S7 Pion 203mm;Self-propelled gun;Artillery;1999;Yes;12;No;1999;No;Second hand;1.1000;0.44;5.28;No
30134;Belarus;Angola;Su-27S/Flanker-B;FGA aircraft;Aircraft;1999;Yes;2;Yes;2000;Yes;Second hand;42.5000;17;34;No
30133;Belarus;Angola;Su-24/Fencer;Bomber aircraft;Aircraft;1997;No;1;Yes;2000;Yes;Second hand;35.0000;14;14;No
22460;Belarus;Angola;BMP-1;IFV;Armoured vehicles;1993;Yes;21;No;1993;No;Second hand;0.9000;0.36;7.56;No
37749;Belarus;Cote dIvoire;An-12/Cub;Transport aircraft;Aircraft;2002;Yes;1;No;2002;Yes;Second hand;23.0000;9.2;9.2;No
35559;Belarus;Cote dIvoire;Mi-8T/Hip-C;Helicopter;Aircraft;2003;Yes;1;No;2003;Yes;Second hand;6.0000;2.4;2.4;No
35419;Belarus;Cote dIvoire;BTR-80;APC;Armoured vehicles;2003;Yes;6;No;2003;No;Second hand;0.3500;0.14;0.84;No
32681;Belarus;Cote dIvoire;Mi-24V/Hind-E;Combat helicopter;Aircraft;2002;Yes;2;No;2002;No;Second hand;9.5000;3.8;7.6;No
34049;Belarus;Cote dIvoire;2S11 120mm;Mortar;Artillery;2002;Yes;10;No;2002;No;Second hand;0.0500;0.02;0.2;No
34139;Belarus;Cote dIvoire;BMP-1;IFV;Armoured vehicles;2002;Yes;1;No;2003;No;Second hand;0.9000;0.36;0.36;No
34139;Belarus;Cote dIvoire;BMP-1;IFV;Armoured vehicles;2002;Yes;12;No;2002;No;Second hand;0.9000;0.36;4.32;No
35405;Belarus;Cote dIvoire;Su-25/Frogfoot-A;Ground attack ac;Aircraft;2003;Yes;2;No;2004;No;Second hand;12.0000;4.8;9.6;No
