Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
40221;Belgium;Bulgaria;Wielingen;Frigate;Ships;2008;No;1;No;2008;No;Second hand;200.0000;80;80;No
40221;Belgium;Bulgaria;Wielingen;Frigate;Ships;2008;No;1;No;2009;No;Second hand;200.0000;80;80;No
40222;Belgium;Bulgaria;Tripartite;MCM ship;Ships;2008;No;1;No;2009;No;Second hand;55.0000;22;22;No
39773;Belgium;Chad;AML-60/90;Armoured car;Armoured vehicles;2006;No;26;Yes;2008;Yes;Second hand but modernized;0.3500;0.231;6.006;No
39773;Belgium;Chad;AML-60/90;Armoured car;Armoured vehicles;2006;No;16;No;2010;No;Second hand but modernized;0.3500;0.231;3.696;No
39773;Belgium;Chad;AML-60/90;Armoured car;Armoured vehicles;2006;No;40;Yes;2007;No;Second hand but modernized;0.3500;0.231;9.24;No
33846;Belgium;DR Congo;Mi-26/Halo;Helicopter;Aircraft;2001;Yes;1;No;2002;No;Second hand;35.7300;14.292;14.292;No
8894;Belgium;DR Congo;Dove;Light transport ac;Aircraft;1961;Yes;3;No;1962;No;Second hand;0.6000;0.24;0.72;No
8893;Belgium;DR Congo;T-6 Texan;Trainer aircraft;Aircraft;1961;No;2;No;1961;No;Second hand;0.3200;0.128;0.256;No
7158;Belgium;DR Congo;M-3A1 Scout Car;APV;Armoured vehicles;1959;Yes;15;No;1960;No;Second hand;0.1100;0.044;0.66;No
7141;Belgium;DR Congo;Dove;Light transport ac;Aircraft;1962;No;2;No;1964;Yes;Second hand;0.6000;0.24;0.48;No
7140;Belgium;DR Congo;Auster AOP;Light aircraft;Aircraft;1962;No;2;No;1964;Yes;Second hand;0.0700;0.028;0.056;No
7130;Belgium;DR Congo;T-6 Texan;Trainer aircraft;Aircraft;1963;Yes;2;No;1963;No;Second hand;0.3200;0.128;0.256;No
7127;Belgium;DR Congo;DH-114 Heron;Light transport ac;Aircraft;1960;No;2;No;1962;No;Second hand;1.5000;0.6;1.2;No
7125;Belgium;DR Congo;S-55/H-19 Chickasaw;Helicopter;Aircraft;1961;Yes;1;No;1962;No;Second hand;1.2000;0.48;0.48;No
7123;Belgium;DR Congo;DH-82 Tiger Moth;Trainer aircraft;Aircraft;1961;Yes;1;No;1961;No;Second hand;0.1000;0.04;0.04;No
7159;Belgium;DR Congo;M-8 Greyhound;Armoured car;Armoured vehicles;1959;Yes;15;Yes;1960;No;Second hand;0.1900;0.076;1.14;No
51259;Belgium;Bahrain;AIFV-APC;APC;Armoured vehicles;2007;Yes;8;No;2008;No;Second hand;0.3000;0.12;0.96;No
51258;Belgium;Bahrain;AIFV;IFV;Armoured vehicles;2007;Yes;42;No;2008;No;Second hand;0.9000;0.36;15.12;No
39836;Belgium;Benin;M-113;APC;Armoured vehicles;2007;No;18;Yes;2007;No;Second hand;0.2500;0.1;1.8;No
39743;Belgium;Benin;A-109;Light helicopter;Aircraft;2007;No;2;No;2009;No;Second hand;1.2000;0.48;0.96;No
39743;Belgium;Benin;A-109;Light helicopter;Aircraft;2007;No;2;No;2007;No;Second hand;1.2000;0.48;0.96;No
32372;Belgium;Benin;HS-748;Transport aircraft;Aircraft;2002;No;2;No;2002;No;Second hand;8.5000;3.4;6.8;No
53930;Belgium;Bolivia;SA-315B Lama;Light helicopter;Aircraft;1982;No;1;No;1982;No;Second hand;0.7500;0.3;0.3;No
32107;Belgium;Brazil;M-109A1 155mm;Self-propelled gun;Artillery;1999;No;3;Yes;2002;Yes;Second hand but modernized;1.1000;0.726;2.178;No
32107;Belgium;Brazil;M-109A1 155mm;Self-propelled gun;Artillery;1999;No;7;Yes;2001;No;Second hand but modernized;1.1000;0.726;5.082;No
32107;Belgium;Brazil;M-109A1 155mm;Self-propelled gun;Artillery;1999;No;24;Yes;2000;No;Second hand but modernized;1.1000;0.726;17.424;No
32107;Belgium;Brazil;M-109A1 155mm;Self-propelled gun;Artillery;1999;No;6;Yes;1999;No;Second hand but modernized;1.1000;0.726;4.356;No
24223;Belgium;Brazil;Leopard-1A1;Tank;Armoured vehicles;1995;No;32;Yes;1999;No;Second hand;2.1000;0.84;26.88;No
24223;Belgium;Brazil;Leopard-1A1;Tank;Armoured vehicles;1995;No;28;Yes;1997;No;Second hand;2.1000;0.84;23.52;No
24223;Belgium;Brazil;Leopard-1A1;Tank;Armoured vehicles;1995;No;27;No;1998;No;Second hand;2.1000;0.84;22.68;No
