Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
28846;Brazil;Cape Verde;EMB-110 Bandeirante;Light transport ac;Aircraft;1998;Yes;1;No;1998;Yes;New;2.6500;2.6500;2.65;No
55777;Brazil;Comoros;L-410 Turbolet;Light transport ac;Aircraft;2012;No;1;No;2012;No;Second hand;2.7500;1.1;1.1;No
22417;Brazil;Ecuador;EE-3 Jararaca;Reconnaissance AV;Armoured vehicles;1983;No;10;Yes;1984;Yes;New;0.1400;0.1400;1.4;No
22416;Brazil;Ecuador;EE-11 Urutu;APC;Armoured vehicles;1983;Yes;18;Yes;1984;Yes;New;0.2100;0.2100;3.78;No
15855;Brazil;Ecuador;EE-9 Cascavel;Armoured car;Armoured vehicles;1983;No;28;Yes;1984;No;New;0.7200;0.7200;20.16;No
50264;Brazil;Ecuador;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2008;No;4;No;2011;No;New;4.4000;4.4000;17.6;No
50264;Brazil;Ecuador;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2008;No;14;No;2010;No;New;4.4000;4.4000;61.6;No
35633;Brazil;Ecuador;HS-748;Transport aircraft;Aircraft;2006;Yes;5;Yes;2006;No;Second hand;8.5000;3.4;17;No
28671;Brazil;Angola;EMB-312 Tucano;Trainer aircraft;Aircraft;1998;No;8;Yes;1998;No;New;1.6500;1.6500;13.2;No
18363;Brazil;Angola;EMB-111;MP aircraft;Aircraft;1986;No;2;Yes;1988;Yes;New;4.3000;4.3000;8.6;No
54342;Brazil;Angola;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2011;No;6;Yes;2013;No;New;4.4000;4.4000;26.4;No
33823;Brazil;Angola;EMB-120 Brasilia;Transport aircraft;Aircraft;2006;Yes;1;Yes;2007;No;New;6.2000;6.2000;6.2;No
29665;Brazil;Bolivia;A-132 Tangara;Trainer aircraft;Aircraft;1985;No;6;No;1986;No;New;0.1500;0.1500;0.9;No
29664;Brazil;Bolivia;A-122 Uirapuru;Trainer aircraft;Aircraft;1991;Yes;15;No;1992;No;Second hand;0.1400;0.056;0.84;No
12363;Brazil;Bolivia;S-11 Instructor;Trainer aircraft;Aircraft;1973;Yes;8;No;1974;No;Second hand;0.1200;0.048;0.384;No
12352;Brazil;Bolivia;A-122 Uirapuru;Trainer aircraft;Aircraft;1974;No;18;No;1974;No;New;0.1400;0.1400;2.52;No
3269;Brazil;Bolivia;EE-11 Urutu;APC;Armoured vehicles;1977;Yes;12;Yes;1980;No;New;0.2100;0.2100;2.52;No
3269;Brazil;Bolivia;EE-11 Urutu;APC;Armoured vehicles;1977;Yes;12;Yes;1979;No;New;0.2100;0.2100;2.52;No
3268;Brazil;Bolivia;EE-9 Cascavel;Armoured car;Armoured vehicles;1977;Yes;12;Yes;1980;No;New;0.7200;0.7200;8.64;No
3268;Brazil;Bolivia;EE-9 Cascavel;Armoured car;Armoured vehicles;1977;Yes;12;Yes;1979;No;New;0.7200;0.7200;8.64;No
2950;Brazil;Bolivia;SA-315B Lama;Light helicopter;Aircraft;1981;No;6;No;1982;No;New;0.7500;0.7500;4.5;No
51353;Brazil;Bolivia;Bell-205/UH-1H;Helicopter;Aircraft;2011;No;4;No;2012;No;Second hand;2.6200;1.048;4.192;No
36026;Brazil;Bolivia;Universal-1;Trainer aircraft;Aircraft;2005;No;6;No;2005;No;Second hand;0.2500;0.1;0.6;No
38419;Brazil;Chile;AS365/AS565 Panther;Helicopter;Aircraft;2006;Yes;3;No;2006;No;Second hand;3.5000;1.4;4.2;No
31789;Brazil;Chile;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2008;No;4;No;2009;No;New;4.4000;4.4000;17.6;No
31789;Brazil;Chile;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2008;No;8;No;2010;No;New;4.4000;4.4000;35.2;No
13612;Brazil;Chile;EMB-110 Bandeirante;Light transport ac;Aircraft;1976;No;3;No;1976;No;New;2.6500;2.6500;7.95;No
12477;Brazil;Chile;Universal-1;Trainer aircraft;Aircraft;1974;No;10;No;1975;No;New;0.2500;0.2500;2.5;No
3036;Brazil;Chile;EE-11 Urutu;APC;Armoured vehicles;1975;Yes;37;Yes;1976;No;New;0.2100;0.2100;7.77;No
44;Brazil;Chile;EMB-111;MP aircraft;Aircraft;1977;No;2;No;1979;No;New;4.3000;4.3000;8.6;No
44;Brazil;Chile;EMB-111;MP aircraft;Aircraft;1977;No;4;No;1978;No;New;4.3000;4.3000;17.2;No
989;Brazil;Chile;EE-9 Cascavel;Armoured car;Armoured vehicles;1974;Yes;43;Yes;1976;No;New;0.7200;0.7200;30.96;No
989;Brazil;Chile;EE-9 Cascavel;Armoured car;Armoured vehicles;1974;Yes;40;Yes;1974;No;New;0.7200;0.7200;28.8;No
40304;Brazil;Chile;AS365/AS565 Panther;Helicopter;Aircraft;2006;Yes;1;No;2007;No;Second hand;3.5000;1.4;1.4;No
32097;Brazil;Colombia;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2005;No;10;No;2007;No;New;4.4000;4.4000;44;No
32097;Brazil;Colombia;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2005;No;5;No;2006;No;New;4.4000;4.4000;22;No
32097;Brazil;Colombia;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2005;No;10;No;2008;No;New;4.4000;4.4000;44;No
21080;Brazil;Colombia;EMB-312 Tucano;Trainer aircraft;Aircraft;1992;No;7;No;1993;No;New;1.6500;1.6500;11.55;No
21080;Brazil;Colombia;EMB-312 Tucano;Trainer aircraft;Aircraft;1992;No;7;No;1992;No;New;1.6500;1.6500;11.55;No
3423;Brazil;Colombia;EE-11 Urutu;APC;Armoured vehicles;1981;No;38;Yes;1984;No;New;0.2100;0.2100;7.98;No
3423;Brazil;Colombia;EE-11 Urutu;APC;Armoured vehicles;1981;No;38;Yes;1983;No;New;0.2100;0.2100;7.98;No
3178;Brazil;Colombia;EE-9 Cascavel;Armoured car;Armoured vehicles;1981;No;60;Yes;1984;Yes;New;0.7200;0.7200;43.2;No
3178;Brazil;Colombia;EE-9 Cascavel;Armoured car;Armoured vehicles;1981;No;60;Yes;1983;Yes;New;0.7200;0.7200;43.2;No
52303;Brazil;Colombia;SMKB;Guided bomb;Missiles;2009;Yes;50;Yes;2012;Yes;New;0.0200;0.0200;1;No
12527;Brazil;Colombia;DC-4/C-54;Transport aircraft;Aircraft;1968;Yes;1;No;1969;No;Second hand;6.2500;2.5;2.5;No
21081;Brazil;Colombia;EMB-110 Bandeirante;Light transport ac;Aircraft;1992;No;2;No;1992;No;New;2.6500;2.6500;5.3;No
18094;Brazil;Cyprus;EE-3 Jararaca;Reconnaissance AV;Armoured vehicles;1982;Yes;18;Yes;1985;Yes;New;0.1400;0.1400;2.52;No
18094;Brazil;Cyprus;EE-3 Jararaca;Reconnaissance AV;Armoured vehicles;1982;Yes;18;Yes;1984;Yes;New;0.1400;0.1400;2.52;No
13999;Brazil;Cyprus;EE-11 Urutu;APC;Armoured vehicles;1982;Yes;10;Yes;1984;Yes;New;0.2100;0.2100;2.1;No
3834;Brazil;Cyprus;EE-9 Cascavel;Armoured car;Armoured vehicles;1982;No;25;Yes;1988;Yes;New;0.7200;0.7200;18;No
3834;Brazil;Cyprus;EE-9 Cascavel;Armoured car;Armoured vehicles;1982;No;25;Yes;1987;Yes;New;0.7200;0.7200;18;No
3834;Brazil;Cyprus;EE-9 Cascavel;Armoured car;Armoured vehicles;1982;No;26;Yes;1986;Yes;New;0.7200;0.7200;18.72;No
3834;Brazil;Cyprus;EE-9 Cascavel;Armoured car;Armoured vehicles;1982;No;25;Yes;1985;Yes;New;0.7200;0.7200;18;No
3834;Brazil;Cyprus;EE-9 Cascavel;Armoured car;Armoured vehicles;1982;No;25;Yes;1984;Yes;New;0.7200;0.7200;18;No
32072;Brazil;Dominican Republic;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2008;No;6;No;2010;No;New;4.4000;4.4000;26.4;No
32072;Brazil;Dominican Republic;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2008;No;2;No;2009;No;New;4.4000;4.4000;8.8;No
4401;Brazil;Gabon;EE-3 Jararaca;Reconnaissance AV;Armoured vehicles;1981;No;12;No;1984;No;New;0.1400;0.1400;1.68;No
4400;Brazil;Gabon;EE-11 Urutu;APC;Armoured vehicles;1981;Yes;12;No;1984;No;New;0.2100;0.2100;2.52;No
2791;Brazil;Gabon;EE-9 Cascavel;Armoured car;Armoured vehicles;1981;No;14;Yes;1983;Yes;New;0.7200;0.7200;10.08;No
2585;Brazil;Gabon;EMB-110 Bandeirante;Light transport ac;Aircraft;1980;No;3;No;1980;No;New;2.6500;2.6500;7.95;No
2445;Brazil;Gabon;EMB-111;MP aircraft;Aircraft;1980;No;1;No;1981;No;New;4.3000;4.3000;4.3;No
28658;Brazil;Greece;EMB-145AEW&C;AEW&C aircraft;Aircraft;1999;No;4;No;2008;No;New;12.0000;12.0000;48;No
15862;Brazil;Guyana;EMB-110 Bandeirante;Light transport ac;Aircraft;1983;Yes;1;No;1983;No;New;2.6500;2.6500;2.65;No
15861;Brazil;Guyana;Bell-412;Helicopter;Aircraft;1985;No;1;No;1985;No;New;5.0000;5.0000;5;No
39799;Brazil;Indonesia;EMB-314 Super Tucano;Trainer/combat ac;Aircraft;2011;No;4;No;2012;No;New;4.4000;4.4000;17.6;No
19142;Brazil;Iran;EMB-312 Tucano;Trainer aircraft;Aircraft;1988;No;20;Yes;1991;No;New;1.6500;1.6500;33;No
19142;Brazil;Iran;EMB-312 Tucano;Trainer aircraft;Aircraft;1988;No;3;Yes;1990;No;New;1.6500;1.6500;4.95;No
19142;Brazil;Iran;EMB-312 Tucano;Trainer aircraft;Aircraft;1988;No;2;Yes;1989;No;New;1.6500;1.6500;3.3;No
18290;Brazil;Iraq;ASTROS AV-UCF;Fire control radar;Sensors;1983;Yes;3;Yes;1988;No;New;2.5000;2.5000;7.5;No
18290;Brazil;Iraq;ASTROS AV-UCF;Fire control radar;Sensors;1983;Yes;3;Yes;1987;No;New;2.5000;2.5000;7.5;No
18290;Brazil;Iraq;ASTROS AV-UCF;Fire control radar;Sensors;1983;Yes;3;Yes;1986;No;New;2.5000;2.5000;7.5;No
18290;Brazil;Iraq;ASTROS AV-UCF;Fire control radar;Sensors;1983;Yes;3;Yes;1985;No;New;2.5000;2.5000;7.5;No
18290;Brazil;Iraq;ASTROS AV-UCF;Fire control radar;Sensors;1983;Yes;1;Yes;1984;No;New;2.5000;2.5000;2.5;No
16612;Brazil;Iraq;ASTROS-2;Self-propelled MRL;Artillery;1981;Yes;20;Yes;1988;No;New;0.9500;0.9500;19;No
16612;Brazil;Iraq;ASTROS-2;Self-propelled MRL;Artillery;1981;Yes;19;Yes;1986;No;New;0.9500;0.9500;18.05;No
16612;Brazil;Iraq;ASTROS-2;Self-propelled MRL;Artillery;1981;Yes;22;Yes;1985;No;New;0.9500;0.9500;20.9;No
16612;Brazil;Iraq;ASTROS-2;Self-propelled MRL;Artillery;1981;Yes;6;Yes;1984;No;New;0.9500;0.9500;5.7;No
4171;Brazil;Iraq;EMB-312 Tucano;Trainer aircraft;Aircraft;1983;No;30;Yes;1988;No;New;1.6500;1.6500;49.5;No
4171;Brazil;Iraq;EMB-312 Tucano;Trainer aircraft;Aircraft;1983;No;20;Yes;1987;No;New;1.6500;1.6500;33;No
4171;Brazil;Iraq;EMB-312 Tucano;Trainer aircraft;Aircraft;1983;No;20;Yes;1986;No;New;1.6500;1.6500;33;No
4171;Brazil;Iraq;EMB-312 Tucano;Trainer aircraft;Aircraft;1983;No;10;Yes;1985;No;New;1.6500;1.6500;16.5;No
3699;Brazil;Iraq;EE-3 Jararaca;Reconnaissance AV;Armoured vehicles;1981;No;140;Yes;1985;Yes;New;0.1400;0.1400;19.6;No
3699;Brazil;Iraq;EE-3 Jararaca;Reconnaissance AV;Armoured vehicles;1981;No;140;Yes;1984;Yes;New;0.1400;0.1400;19.6;No
3698;Brazil;Iraq;EE-11 Urutu;APC;Armoured vehicles;1981;No;30;Yes;1984;No;New;0.2100;0.2100;6.3;No
3698;Brazil;Iraq;EE-11 Urutu;APC;Armoured vehicles;1981;No;40;Yes;1983;No;New;0.2100;0.2100;8.4;No
3698;Brazil;Iraq;EE-11 Urutu;APC;Armoured vehicles;1981;No;30;Yes;1982;Yes;New;0.2100;0.2100;6.3;No
1422;Brazil;Iraq;EE-9 Cascavel;Armoured car;Armoured vehicles;1979;Yes;50;Yes;1979;No;New;0.7200;0.7200;36;No
1422;Brazil;Iraq;EE-9 Cascavel;Armoured car;Armoured vehicles;1979;Yes;100;Yes;1980;No;New;0.7200;0.7200;72;No
1422;Brazil;Iraq;EE-9 Cascavel;Armoured car;Armoured vehicles;1979;Yes;50;Yes;1981;Yes;New;0.7200;0.7200;36;No
52404;Brazil;Iraq;EE-9 Cascavel;Armoured car;Armoured vehicles;1981;No;50;Yes;1983;Yes;New;0.7500;0.7500;37.5;No
52404;Brazil;Iraq;EE-9 Cascavel;Armoured car;Armoured vehicles;1981;No;50;Yes;1984;Yes;New;0.7500;0.7500;37.5;No
52404;Brazil;Iraq;EE-9 Cascavel;Armoured car;Armoured vehicles;1981;No;50;Yes;1985;Yes;New;0.7500;0.7500;37.5;No
52404;Brazil;Iraq;EE-9 Cascavel;Armoured car;Armoured vehicles;1981;No;50;Yes;1982;No;New;0.7500;0.7500;37.5;No
52403;Brazil;Iraq;EE-11 Urutu;APC;Armoured vehicles;1979;No;100;Yes;1980;No;New;0.2500;0.2500;25;No
17825;Brazil;Jordan;EE-11 Urutu;APC;Armoured vehicles;1987;No;14;Yes;1988;No;New;0.2100;0.2100;2.94;No
