Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
51267;Bulgaria;Chad;2S1 122mm;Self-propelled gun;Artillery;2007;Yes;8;No;2009;No;Second hand;0.9000;0.36;2.88;No
51267;Bulgaria;Chad;2S1 122mm;Self-propelled gun;Artillery;2007;Yes;2;No;2008;No;Second hand;0.9000;0.36;0.72;No
32582;Bulgaria;Congo;2S1 122mm;Self-propelled gun;Artillery;1999;Yes;3;No;1999;No;Second hand;0.9000;0.36;1.08;No
29844;Bulgaria;Congo;M-43 120mm;Mortar;Artillery;1998;Yes;18;No;1998;No;Second hand;0.0500;0.02;0.36;No
32581;Bulgaria;Angola;M-46 130mm;Towed gun;Artillery;1999;Yes;24;No;1999;No;Second hand;0.6500;0.26;6.24;No
32575;Bulgaria;Angola;T-55;Tank;Armoured vehicles;1999;Yes;31;No;1999;No;Second hand;1.2500;0.5;15.5;No
32519;Bulgaria;Angola;D-20 152mm;Towed gun;Artillery;1999;Yes;4;No;1999;No;Second hand;0.5000;0.2;0.8;No
32518;Bulgaria;Angola;2S3 152mm;Self-propelled gun;Artillery;1999;Yes;4;No;1999;No;Second hand;1.0000;0.4;1.6;No
22464;Bulgaria;Angola;T-62;Tank;Armoured vehicles;1993;Yes;24;No;1993;No;Second hand;1.8000;0.72;17.28;No
22459;Bulgaria;Angola;BMP-1;IFV;Armoured vehicles;1993;No;29;No;1993;No;Second hand;0.9000;0.36;10.44;No
27630;Bulgaria;Cambodia;L-39Z Albatros;Trainer/combat ac;Aircraft;1996;Yes;2;No;1997;No;Second hand;5.0000;2;4;No
27630;Bulgaria;Cambodia;L-39Z Albatros;Trainer/combat ac;Aircraft;1996;Yes;2;No;1996;No;Second hand;5.0000;2;4;No
19945;Bulgaria;Cambodia;MiG-21PFM/Fishbed-F;Fighter aircraft;Aircraft;1986;Yes;4;Yes;1986;No;Second hand;10.0000;4;16;No
