Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
37582;Canada;Australia;PT-6;Turboprop;Engines;1986;No;8;Yes;1988;No;New;0.6000;0.6000;4.8;No
37582;Canada;Australia;PT-6;Turboprop;Engines;1986;No;18;Yes;1990;No;New;0.6000;0.6000;10.8;No
37582;Canada;Australia;PT-6;Turboprop;Engines;1986;No;12;Yes;1989;No;New;0.6000;0.6000;7.2;No
37582;Canada;Australia;PT-6;Turboprop;Engines;1986;No;5;Yes;1987;No;New;0.6000;0.6000;3;No
29095;Canada;Australia;DHC-2 Beaver;Light aircraft;Aircraft;1955;Yes;1;Yes;1961;No;New;0.3800;0.3800;0.38;No
29095;Canada;Australia;DHC-2 Beaver;Light aircraft;Aircraft;1955;Yes;1;Yes;1960;Yes;New;0.3800;0.3800;0.38;No
29095;Canada;Australia;DHC-2 Beaver;Light aircraft;Aircraft;1955;Yes;2;Yes;1957;Yes;New;0.3800;0.3800;0.76;No
29095;Canada;Australia;DHC-2 Beaver;Light aircraft;Aircraft;1955;Yes;1;No;1955;No;New;0.3800;0.3800;0.38;No
24570;Canada;Australia;Piranha/LAV-25;IFV;Armoured vehicles;1995;No;14;Yes;1996;No;New;0.8600;0.8600;12.04;No
7235;Canada;Australia;DHC-4 Caribou;Transport aircraft;Aircraft;1968;Yes;1;Yes;1971;No;New;3.7500;3.7500;3.75;No
7235;Canada;Australia;DHC-4 Caribou;Transport aircraft;Aircraft;1968;Yes;2;Yes;1968;No;New;3.7500;3.7500;7.5;No
7235;Canada;Australia;DHC-4 Caribou;Transport aircraft;Aircraft;1968;Yes;1;Yes;1969;Yes;New;3.7500;3.7500;3.75;No
7229;Canada;Australia;DHC-4 Caribou;Transport aircraft;Aircraft;1963;No;6;Yes;1964;No;New;3.7500;3.7500;22.5;No
7229;Canada;Australia;DHC-4 Caribou;Transport aircraft;Aircraft;1963;No;6;Yes;1963;No;New;3.7500;3.7500;22.5;No
7229;Canada;Australia;DHC-4 Caribou;Transport aircraft;Aircraft;1963;No;6;Yes;1965;Yes;New;3.7500;3.7500;22.5;No
7221;Canada;Australia;DHC-3 Otter;Light transport ac;Aircraft;1953;Yes;2;Yes;1953;Yes;New;0.6300;0.6300;1.26;No
3985;Canada;Australia;Boeing-707;Transport aircraft;Aircraft;1983;No;2;No;1983;No;Second hand;44.5000;17.8;35.6;No
27902;Canada;Australia;Piranha;APC;Armoured vehicles;1998;No;3;Yes;2005;No;New;0.2600;0.2600;0.78;Yes
27902;Canada;Australia;Piranha;APC;Armoured vehicles;1998;No;15;Yes;2004;No;New;0.2600;0.2600;3.9;Yes
27902;Canada;Australia;Piranha;APC;Armoured vehicles;1998;No;46;Yes;2003;No;New;0.2600;0.2600;11.96;Yes
27902;Canada;Australia;Piranha;APC;Armoured vehicles;1998;No;5;Yes;2002;No;New;0.2600;0.2600;1.3;Yes
27900;Canada;Australia;Piranha/LAV-25;IFV;Armoured vehicles;1998;No;20;Yes;2005;No;New;0.8600;0.8600;17.2;Yes
27900;Canada;Australia;Piranha/LAV-25;IFV;Armoured vehicles;1998;No;40;Yes;2004;No;New;0.8600;0.8600;34.4;Yes
27900;Canada;Australia;Piranha/LAV-25;IFV;Armoured vehicles;1998;No;21;Yes;2003;No;New;0.8600;0.8600;18.06;Yes
25689;Canada;Australia;Piranha;APC;Armoured vehicles;1992;No;11;Yes;1996;No;New;0.2600;0.2600;2.86;Yes
25689;Canada;Australia;Piranha;APC;Armoured vehicles;1992;No;37;Yes;1995;No;New;0.2600;0.2600;9.62;Yes
25689;Canada;Australia;Piranha;APC;Armoured vehicles;1992;No;16;Yes;1994;No;New;0.2600;0.2600;4.16;Yes
20948;Canada;Australia;Piranha/LAV-25;IFV;Armoured vehicles;1992;No;8;Yes;1996;No;New;0.8600;0.8600;6.88;Yes
20948;Canada;Australia;Piranha/LAV-25;IFV;Armoured vehicles;1992;No;20;Yes;1995;No;New;0.8600;0.8600;17.2;Yes
20948;Canada;Australia;Piranha/LAV-25;IFV;Armoured vehicles;1992;No;5;Yes;1994;No;New;0.8600;0.8600;4.3;Yes
28464;Canada;Australia;DHC-4 Caribou;Transport aircraft;Aircraft;1964;No;7;No;1966;No;New;3.7500;3.7500;26.25;No
37597;Canada;Bulgaria;PT-6;Turboprop;Engines;2003;No;6;No;2004;No;New;0.6000;0.6000;3.6;No
53890;Canada;Burkina Faso;PT-6;Turboprop;Engines;2010;Yes;3;Yes;2011;No;New;0.6000;0.6000;1.8;No
39442;Canada;Chad;PT-6;Turboprop;Engines;2006;No;1;No;2006;No;New;0.6000;0.6000;0.6;No
8897;Canada;DR Congo;DHC-5 Buffalo;Transport aircraft;Aircraft;1974;No;3;No;1976;No;New;13.2200;13.2200;39.66;No
7147;Canada;DR Congo;DHC-4 Caribou;Transport aircraft;Aircraft;1964;Yes;2;No;1966;No;Second hand;3.7500;1.5;3;No
24476;Canada;Croatia;PT-6;Turboprop;Engines;1996;No;3;Yes;1996;No;New;0.6000;0.6000;1.8;No
7584;Canada;Cuba;DHC-2 Beaver;Light aircraft;Aircraft;1957;No;3;No;1957;No;New;0.3800;0.3800;1.14;No
15993;Canada;Ecuador;DHC-5 Buffalo;Transport aircraft;Aircraft;1985;No;1;No;1986;No;New;13.2200;13.2200;13.22;No
7748;Canada;Ecuador;DHC-5 Buffalo;Transport aircraft;Aircraft;1974;No;2;No;1976;No;New;13.2200;13.2200;26.44;No
2693;Canada;Ecuador;DHC-5 Buffalo;Transport aircraft;Aircraft;1980;No;1;No;1980;No;New;13.2200;13.2200;13.22;No
34731;Canada;Ecuador;DA20;Light aircraft;Aircraft;2011;No;6;No;2013;No;New;0.1600;0.1600;0.96;No
34731;Canada;Ecuador;DA20;Light aircraft;Aircraft;2011;No;6;No;2012;No;New;0.1600;0.1600;0.96;No
50753;Canada;Ecuador;PT-6;Turboprop;Engines;2008;No;4;Yes;2011;No;New;0.6000;0.6000;2.4;No
50753;Canada;Ecuador;PT-6;Turboprop;Engines;2008;No;14;Yes;2010;No;New;0.6000;0.6000;8.4;No
38044;Canada;Angola;PT-6;Turboprop;Engines;1986;No;4;Yes;1988;Yes;New;0.6000;0.6000;2.4;No
37600;Canada;Angola;PT-6;Turboprop;Engines;1998;No;6;Yes;1998;Yes;New;0.6000;0.6000;3.6;No
31484;Canada;Angola;AN/APS-504(V);MP aircraft radar;Sensors;1980;No;1;No;1980;No;New;2.5000;2.5000;2.5;No
25181;Canada;Angola;PT-6;Turboprop;Engines;1986;Yes;8;Yes;1990;No;New;0.6000;0.6000;4.8;No
20144;Canada;Angola;PT-6;Turboprop;Engines;1986;No;4;No;1987;No;New;0.6000;0.6000;2.4;No
54343;Canada;Angola;PT-6;Turboprop;Engines;2011;No;6;Yes;2013;No;New;0.6000;0.6000;3.6;No
