Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
50132;Chile;Ecuador;Leander;Frigate;Ships;2007;No;2;No;2008;No;Second hand;125.0000;50;100;No
29029;Chile;Dominican Republic;T-35 Pillan;Trainer aircraft;Aircraft;1998;No;4;No;2000;No;New;0.2800;0.2800;1.12;No
29029;Chile;Dominican Republic;T-35 Pillan;Trainer aircraft;Aircraft;1998;No;4;No;1999;No;New;0.2800;0.2800;1.12;No
26033;Chile;Guatemala;T-35 Pillan;Trainer aircraft;Aircraft;1998;Yes;5;No;1998;No;Second hand but modernized;0.2800;0.1848;0.924;No
21825;Chile;Mauritius;Guardian;OPV;Ships;1994;No;1;No;1996;No;New;28.5000;28.5000;28.5;No
34814;Chile;Panama;T-35 Pillan;Trainer aircraft;Aircraft;2001;Yes;2;No;2002;No;Second hand;0.2800;0.112;0.224;No
19490;Chile;Panama;T-35 Pillan;Trainer aircraft;Aircraft;1988;No;6;No;1989;No;New;0.2800;0.2800;1.68;No
18584;Chile;Panama;T-35 Pillan;Trainer aircraft;Aircraft;1987;No;4;No;1988;No;New;0.2800;0.2800;1.12;No
26059;Chile;El Salvador;T-35 Pillan;Trainer aircraft;Aircraft;1997;No;5;No;1998;No;Second hand but modernized;0.2800;0.1848;0.924;No
20280;Chile;Paraguay;T-35 Pillan;Trainer aircraft;Aircraft;1991;No;3;Yes;1992;No;New;0.2800;0.2800;0.84;No
20280;Chile;Paraguay;T-35 Pillan;Trainer aircraft;Aircraft;1991;No;10;Yes;1991;No;New;0.2800;0.2800;2.8;No
4221;Chile;Paraguay;Universal-1;Trainer aircraft;Aircraft;1983;Yes;5;No;1983;No;Second hand;0.2500;0.1;0.5;No
2657;Chile;Paraguay;Hiller-12/OH-23 Raven;Light helicopter;Aircraft;1980;Yes;4;No;1980;No;Second hand;0.2400;0.096;0.384;No
21949;Chile;Spain;T-35 Pillan;Trainer aircraft;Aircraft;1987;Yes;1;No;1989;No;New;0.2800;0.2800;0.28;No
4653;Chile;Spain;T-35 Pillan;Trainer aircraft;Aircraft;1984;No;9;Yes;1989;No;New;0.2800;0.2800;2.52;No
4653;Chile;Spain;T-35 Pillan;Trainer aircraft;Aircraft;1984;No;11;Yes;1988;No;New;0.2800;0.2800;3.08;No
4653;Chile;Spain;T-35 Pillan;Trainer aircraft;Aircraft;1984;No;10;Yes;1987;No;New;0.2800;0.2800;2.8;No
4653;Chile;Spain;T-35 Pillan;Trainer aircraft;Aircraft;1984;No;10;Yes;1986;No;New;0.2800;0.2800;2.8;No
29098;Chile;Uruguay;T-6 Texan;Trainer aircraft;Aircraft;1978;No;2;No;1978;No;Second hand;0.3200;0.128;0.256;No
26847;Chile;Uruguay;T-34 Mentor;Trainer aircraft;Aircraft;1975;Yes;2;Yes;1975;Yes;Second hand;0.2400;0.096;0.192;No
3333;Chile;Uruguay;T-34 Mentor;Trainer aircraft;Aircraft;1980;Yes;4;No;1981;No;Second hand;0.2400;0.096;0.384;No
