Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
30141;China;Albania;MiG-15UTI/Midget;Trainer aircraft;Aircraft;1955;Yes;4;No;1956;No;New;3.0000;3.0000;12;No
26804;China;Albania;PL-2;SRAAM;Missiles;1965;Yes;75;Yes;1971;Yes;New;0.0400;0.0400;3;No
26804;China;Albania;PL-2;SRAAM;Missiles;1965;Yes;75;Yes;1966;Yes;New;0.0400;0.0400;3;No
26804;China;Albania;PL-2;SRAAM;Missiles;1965;Yes;75;Yes;1967;Yes;New;0.0400;0.0400;3;No
26804;China;Albania;PL-2;SRAAM;Missiles;1965;Yes;75;Yes;1970;Yes;New;0.0400;0.0400;3;No
26804;China;Albania;PL-2;SRAAM;Missiles;1965;Yes;75;Yes;1968;Yes;New;0.0400;0.0400;3;No
26804;China;Albania;PL-2;SRAAM;Missiles;1965;Yes;75;Yes;1969;Yes;New;0.0400;0.0400;3;No
26798;China;Albania;Type-86 100mm;Towed gun;Artillery;1975;Yes;15;Yes;1978;Yes;New;0.3300;0.3300;4.95;No
26798;China;Albania;Type-86 100mm;Towed gun;Artillery;1975;Yes;20;Yes;1977;Yes;New;0.3300;0.3300;6.6;No
26798;China;Albania;Type-86 100mm;Towed gun;Artillery;1975;Yes;15;Yes;1976;Yes;New;0.3300;0.3300;4.95;No
26796;China;Albania;D-20 152mm;Towed gun;Artillery;1968;Yes;15;Yes;1973;Yes;New;0.5000;0.5000;7.5;No
26796;China;Albania;D-20 152mm;Towed gun;Artillery;1968;Yes;15;Yes;1972;Yes;New;0.5000;0.5000;7.5;No
26796;China;Albania;D-20 152mm;Towed gun;Artillery;1968;Yes;15;Yes;1971;Yes;New;0.5000;0.5000;7.5;No
26796;China;Albania;D-20 152mm;Towed gun;Artillery;1968;Yes;15;Yes;1970;Yes;New;0.5000;0.5000;7.5;No
26796;China;Albania;D-20 152mm;Towed gun;Artillery;1968;Yes;15;Yes;1969;Yes;New;0.5000;0.5000;7.5;No
26796;China;Albania;D-20 152mm;Towed gun;Artillery;1968;Yes;15;Yes;1968;Yes;New;0.5000;0.5000;7.5;No
26795;China;Albania;Type-59-1 130mm;Towed gun;Artillery;1970;Yes;20;Yes;1975;Yes;New;0.7000;0.7000;14;No
26795;China;Albania;Type-59-1 130mm;Towed gun;Artillery;1970;Yes;20;Yes;1974;Yes;New;0.7000;0.7000;14;No
26795;China;Albania;Type-59-1 130mm;Towed gun;Artillery;1970;Yes;20;Yes;1973;Yes;New;0.7000;0.7000;14;No
26795;China;Albania;Type-59-1 130mm;Towed gun;Artillery;1970;Yes;20;Yes;1972;Yes;New;0.7000;0.7000;14;No
26795;China;Albania;Type-59-1 130mm;Towed gun;Artillery;1970;Yes;20;Yes;1971;Yes;New;0.7000;0.7000;14;No
26262;China;Albania;MiG-15bis/Fagot;Fighter aircraft;Aircraft;1956;Yes;8;Yes;1956;Yes;New;3.4000;3.4000;27.2;No
26156;China;Albania;Il-28/Beagle;Bomber aircraft;Aircraft;1971;Yes;1;No;1971;No;New;7.2000;7.2000;7.2;No
