Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
39639;Czech Republic;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2007;No;3;No;2008;No;Second hand but modernized;6.7500;4.455;13.365;No
39638;Czech Republic;Afghanistan;Mi-24V/Hind-E;Combat helicopter;Aircraft;2007;No;3;No;2009;No;Second hand but modernized;9.5000;6.27;18.81;No
39638;Czech Republic;Afghanistan;Mi-24V/Hind-E;Combat helicopter;Aircraft;2007;No;3;No;2008;No;Second hand but modernized;9.5000;6.27;18.81;No
23015;Czech Republic;Bangladesh;L-39Z Albatros;Trainer/combat ac;Aircraft;1995;Yes;8;No;1995;No;New;4.0000;4.0000;32;No
40096;Czech Republic;Croatia;Z-142/Z-242L;Trainer aircraft;Aircraft;2006;No;3;No;2008;No;New;0.1400;0.1400;0.42;No
40096;Czech Republic;Croatia;Z-142/Z-242L;Trainer aircraft;Aircraft;2006;No;2;No;2007;No;New;0.1400;0.1400;0.28;No
32196;Czech Republic;Angola;2S1 122mm;Self-propelled gun;Artillery;2000;Yes;12;Yes;2000;No;Second hand;0.9000;0.36;4.32;No
32195;Czech Republic;Angola;RM-70 122mm;Self-propelled MRL;Artillery;1999;Yes;6;No;2000;No;Second hand;0.4800;0.192;1.152;No
32195;Czech Republic;Angola;RM-70 122mm;Self-propelled MRL;Artillery;1999;Yes;12;No;1999;No;Second hand;0.4800;0.192;2.304;No
50527;Czech Republic;Angola;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2006;Yes;2;No;2007;No;Second hand;6.7500;2.7;5.4;No
23135;Czech Republic;Cambodia;OT-64A;APC;Armoured vehicles;1994;No;26;No;1994;No;Second hand;0.2700;0.108;2.808;No
22445;Czech Republic;Cambodia;T-55AM-2;Tank;Armoured vehicles;1994;No;40;No;1994;No;Second hand;1.5000;0.6;24;No
55912;Czech Republic;Cyprus;Tatra V-12;Diesel engine;Engines;2001;Yes;14;Yes;2007;No;New;0.0600;0.0600;0.84;No
50392;Czech Republic;Equatorial Guinea;BMP-1;IFV;Armoured vehicles;2006;Yes;20;No;2007;No;Second hand;0.9000;0.36;7.2;No
36247;Czech Republic;Estonia;VERA-E;Air search system;Sensors;2005;No;1;No;2005;Yes;New;15.0000;15.0000;15;No
27951;Czech Republic;Ethiopia;L-39C Albatros;Trainer aircraft;Aircraft;1997;Yes;2;Yes;1998;Yes;New;3.4100;3.4100;6.82;No
27951;Czech Republic;Ethiopia;L-39C Albatros;Trainer aircraft;Aircraft;1997;Yes;2;No;1997;No;New;3.4100;3.4100;6.82;No
38440;Czech Republic;Georgia;T-72;Tank;Armoured vehicles;2002;Yes;35;Yes;2006;No;Second hand;2.1400;0.856;29.96;No
38440;Czech Republic;Georgia;T-72;Tank;Armoured vehicles;2002;Yes;15;Yes;2005;No;Second hand;2.1400;0.856;12.84;No
38440;Czech Republic;Georgia;T-72;Tank;Armoured vehicles;2002;Yes;5;Yes;2007;Yes;Second hand;2.1400;0.856;4.28;No
35432;Czech Republic;Georgia;Su-25/Frogfoot-A;Ground attack ac;Aircraft;2003;Yes;1;Yes;2006;Yes;Second hand;12.0000;4.8;4.8;No
35430;Czech Republic;Georgia;Dana 152mm;Self-propelled gun;Artillery;2003;Yes;12;Yes;2006;Yes;Second hand;1.0000;0.4;4.8;No
35430;Czech Republic;Georgia;Dana 152mm;Self-propelled gun;Artillery;2003;Yes;10;Yes;2005;Yes;Second hand;1.0000;0.4;4;No
35430;Czech Republic;Georgia;Dana 152mm;Self-propelled gun;Artillery;2003;Yes;2;Yes;2003;Yes;Second hand;1.0000;0.4;0.8;No
35431;Czech Republic;Georgia;RM-70 122mm;Self-propelled MRL;Artillery;2003;Yes;4;No;2005;No;Second hand;0.4800;0.192;0.768;No
