Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
978;Czechoslovakia;Afghanistan;L-39C Albatros;Trainer aircraft;Aircraft;1977;Yes;12;No;1977;No;New;3.4100;3.4100;40.92;No
26158;Czechoslovakia;Albania;Il-14/Crate;Transport aircraft;Aircraft;1963;Yes;1;Yes;1963;Yes;Second hand;4.0000;1.6;1.6;No
26670;Czechoslovakia;Bulgaria;M-51 130mm;Self-propelled MRL;Artillery;1962;Yes;24;Yes;1963;Yes;New;0.3500;0.3500;8.4;No
24467;Czechoslovakia;Bulgaria;L-410 Turbolet;Light transport ac;Aircraft;1985;Yes;4;Yes;1990;No;New;2.7500;2.7500;11;No
24467;Czechoslovakia;Bulgaria;L-410 Turbolet;Light transport ac;Aircraft;1985;Yes;2;Yes;1985;No;New;2.7500;2.7500;5.5;No
22266;Czechoslovakia;Bulgaria;L-39Z Albatros;Trainer/combat ac;Aircraft;1985;Yes;12;Yes;1986;No;New;4.0000;4.0000;48;No
22266;Czechoslovakia;Bulgaria;L-39Z Albatros;Trainer/combat ac;Aircraft;1985;Yes;6;Yes;1987;Yes;New;4.0000;4.0000;24;No
20193;Czechoslovakia;Bulgaria;L-39Z Albatros;Trainer/combat ac;Aircraft;1989;No;18;No;1990;No;New;4.0000;4.0000;72;No
2347;Czechoslovakia;Bulgaria;OT-62A TOPAS;APC;Armoured vehicles;1970;Yes;35;Yes;1971;Yes;New;0.2700;0.2700;9.45;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;8;Yes;1973;No;New;1.0000;1.0000;8;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;8;Yes;1972;No;New;1.0000;1.0000;8;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;13;Yes;1971;No;New;1.0000;1.0000;13;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;13;Yes;1970;No;New;1.0000;1.0000;13;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;10;Yes;1969;No;New;1.0000;1.0000;10;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;10;Yes;1968;No;New;1.0000;1.0000;10;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;10;Yes;1967;No;New;1.0000;1.0000;10;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;10;Yes;1966;No;New;1.0000;1.0000;10;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;10;Yes;1965;No;New;1.0000;1.0000;10;No
2315;Czechoslovakia;Bulgaria;L-29 Delfin;Trainer aircraft;Aircraft;1963;Yes;10;Yes;1964;Yes;New;1.0000;1.0000;10;No
15228;Czechoslovakia;Congo;L-39C Albatros;Trainer aircraft;Aircraft;1982;Yes;4;Yes;1983;Yes;Second hand;4.4100;1.764;7.056;No
16618;Czechoslovakia;Cuba;M-51 130mm;Self-propelled MRL;Artillery;1964;Yes;10;Yes;1966;Yes;New;0.3500;0.3500;3.5;No
16618;Czechoslovakia;Cuba;M-51 130mm;Self-propelled MRL;Artillery;1964;Yes;10;Yes;1965;Yes;New;0.3500;0.3500;3.5;No
7569;Czechoslovakia;Cuba;MiG-15/Fagot;Fighter aircraft;Aircraft;1960;Yes;20;Yes;1961;No;Second hand;3.2000;1.28;25.6;No
4120;Czechoslovakia;Cuba;L-39C Albatros;Trainer aircraft;Aircraft;1981;Yes;30;Yes;1982;No;New;3.4100;3.4100;102.3;No
32928;Czechoslovakia;Cuba;Z-142/Z-242L;Trainer aircraft;Aircraft;1975;Yes;10;Yes;1976;Yes;New;0.1400;0.1400;1.4;No
7571;Czechoslovakia;Cuba;Z-326;Trainer aircraft;Aircraft;1960;Yes;10;Yes;1963;No;New;0.1000;0.1000;1;No
7571;Czechoslovakia;Cuba;Z-326;Trainer aircraft;Aircraft;1960;Yes;10;Yes;1962;No;New;0.1000;0.1000;1;No
7571;Czechoslovakia;Cuba;Z-326;Trainer aircraft;Aircraft;1960;Yes;10;Yes;1961;No;New;0.1000;0.1000;1;No
36670;Czechoslovakia;Angola;Z-142/Z-242L;Trainer aircraft;Aircraft;1985;Yes;1;Yes;1986;Yes;New;0.1400;0.1400;0.14;No
15182;Czechoslovakia;Angola;OT-62A TOPAS;APC;Armoured vehicles;1975;Yes;50;Yes;1976;Yes;Second hand;0.2700;0.108;5.4;No
25147;Czechoslovakia;Austria;Z-26 Trener;Trainer aircraft;Aircraft;1955;No;4;No;1956;No;New;0.1000;0.1000;0.4;No
24461;Czechoslovakia;Austria;M-51 130mm;Self-propelled MRL;Artillery;1962;Yes;18;Yes;1964;Yes;New;0.3500;0.3500;6.3;No
4558;Czechoslovakia;Ethiopia;L-39C Albatros;Trainer aircraft;Aircraft;1982;Yes;12;No;1988;No;New;3.4100;3.4100;40.92;No
4558;Czechoslovakia;Ethiopia;L-39C Albatros;Trainer aircraft;Aircraft;1982;Yes;12;No;1983;No;New;3.4100;3.4100;40.92;No
56198;Czechoslovakia;Ethiopia;AH-IV-Hb;Light tank;Armoured vehicles;1948;No;20;No;1950;No;New;0.0800;0.0800;1.6;No
21478;Czechoslovakia;German Democratic Republic;OT-62A TOPAS;APC;Armoured vehicles;1968;No;10;Yes;1970;Yes;New;0.2700;0.2700;2.7;No
21218;Czechoslovakia;German Democratic Republic;VT-72B;ARV;Armoured vehicles;1988;No;5;Yes;1989;Yes;New;1.2400;1.2400;6.2;No
19682;Czechoslovakia;German Democratic Republic;RM-70 122mm;Self-propelled MRL;Artillery;1974;Yes;30;Yes;1983;Yes;New;0.4800;0.4800;14.4;No
19682;Czechoslovakia;German Democratic Republic;RM-70 122mm;Self-propelled MRL;Artillery;1974;Yes;30;Yes;1982;Yes;New;0.4800;0.4800;14.4;No
19682;Czechoslovakia;German Democratic Republic;RM-70 122mm;Self-propelled MRL;Artillery;1974;Yes;30;Yes;1981;Yes;New;0.4800;0.4800;14.4;No
19682;Czechoslovakia;German Democratic Republic;RM-70 122mm;Self-propelled MRL;Artillery;1974;Yes;30;Yes;1980;Yes;New;0.4800;0.4800;14.4;No
