Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
36360;Denmark;Brazil;Scanter-4100;Air/sea search radar;Sensors;2011;No;1;No;2013;No;New;4.7500;4.7500;4.75;No
36360;Denmark;Brazil;Scanter-4100;Air/sea search radar;Sensors;2011;No;2;No;2012;No;New;4.7500;4.7500;9.5;No
52297;Denmark;Brunei;Scanter-4100;Air/sea search radar;Sensors;2007;Yes;3;No;2011;No;New;4.7500;4.7500;14.25;No
31859;Denmark;Chile;Tjaldur;Transport ship;Ships;1967;No;1;No;1967;No;Second hand;20.0000;8;8;No
24196;Denmark;Chile;Veritas;Tug;Ships;1991;Yes;1;No;1991;No;Second hand;25.0000;10;10;No
24195;Denmark;Chile;Veritas;Tug;Ships;1987;No;2;No;1988;No;Second hand;25.0000;10;20;No
21085;Denmark;Chile;Araucano;Support ship;Ships;1964;No;1;No;1967;No;New;120.0000;120.0000;120;No
54486;Denmark;Colombia;SCANTER-2001;Sea search radar;Sensors;2011;Yes;1;No;2013;No;New;1.0000;1.0000;1;No
40340;Denmark;Colombia;SCANTER-2001;Sea search radar;Sensors;2008;No;3;Yes;2012;No;New;1.0000;1.0000;3;No
38206;Denmark;Equatorial Guinea;Daphne;Patrol craft;Ships;1999;No;1;No;1999;No;Second hand;7.5000;3;3;No
22385;Denmark;Estonia;Maagen;Patrol craft;Ships;1994;Yes;1;No;1994;No;Second hand;6.7000;2.68;2.68;No
31025;Denmark;Estonia;Beskytteren;OPV;Ships;2000;No;1;No;2000;No;Second hand;45.0000;18;18;No
39554;Denmark;Finland;TASS-SLAR;MP aircraft radar;Sensors;1992;No;2;No;1994;No;New;2.0000;2.0000;4;No
31698;Denmark;Germany (FRG);F-100D Super Sabre;FGA aircraft;Aircraft;1983;No;4;Yes;1983;No;Second hand;6.5000;2.6;10.4;No
26454;Denmark;Greece;Osprey-55;FAC;Ships;1999;No;3;Yes;2004;No;New;57.5000;57.5000;172.5;Yes
26454;Denmark;Greece;Osprey-55;FAC;Ships;1999;No;1;No;2003;No;New;57.5000;57.5000;57.5;Yes
18668;Denmark;Greece;Osprey-55;Patrol craft;Ships;1988;No;2;No;1990;No;New;17.8000;17.8000;35.6;Yes
20152;Denmark;Greece;Osprey-55;FAC;Ships;1990;No;1;No;1994;No;New;57.5000;57.5000;57.5;Yes
20152;Denmark;Greece;Osprey-55;FAC;Ships;1990;No;1;No;1993;No;New;57.5000;57.5000;57.5;Yes
21421;Denmark;Iceland;Odinn;OPV;Ships;1958;Yes;1;No;1960;No;New;20.0000;20.0000;20;No
21420;Denmark;Iceland;Aegir;OPV;Ships;1974;Yes;1;No;1975;No;New;22.5000;22.5000;22.5;No
21419;Denmark;Iceland;Aegir;OPV;Ships;1966;Yes;1;No;1968;No;New;22.5000;22.5000;22.5;No
52476;Denmark;Indonesia;B&W-8L;Diesel engine;Engines;2000;Yes;2;No;2003;No;New;0.8000;0.8000;1.6;No
52475;Denmark;Indonesia;B&W-8L;Diesel engine;Engines;2004;No;2;No;2011;No;New;0.8000;0.8000;1.6;No
52475;Denmark;Indonesia;B&W-8L;Diesel engine;Engines;2004;No;4;No;2007;No;New;0.8000;0.8000;3.2;No
52475;Denmark;Indonesia;B&W-8L;Diesel engine;Engines;2004;No;2;No;2009;No;New;0.8000;0.8000;1.6;No
17716;Denmark;Iraq;Al Zahraa;Landing ship;Ships;1980;Yes;3;No;1983;No;New;35.0000;35.0000;105;No
26236;Denmark;Israel;Pointer;Sea search radar;Sensors;1967;Yes;1;Yes;1968;Yes;New;0.5000;0.5000;0.5;No
50240;Denmark;Lithuania;Stanflex-300;Patrol craft;Ships;2007;No;1;No;2010;No;Second hand;20.0000;8;8;No
50240;Denmark;Lithuania;Stanflex-300;Patrol craft;Ships;2007;No;1;No;2008;No;Second hand;20.0000;8;8;No
50240;Denmark;Lithuania;Stanflex-300;Patrol craft;Ships;2007;No;1;No;2009;No;Second hand;20.0000;8;8;No
33749;Denmark;Lithuania;M-101A1 105mm;Towed gun;Artillery;2001;No;54;No;2002;No;Second hand;0.4500;0.18;9.72;No
35800;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;2001;Yes;2;No;2011;No;New;1.0000;1.0000;2;No
35800;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;2001;Yes;2;No;2003;No;New;1.0000;1.0000;2;No
35799;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;1998;Yes;1;No;1998;No;New;1.0000;1.0000;1;No
35799;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;1998;Yes;3;No;1999;No;New;1.0000;1.0000;3;No
35799;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;1998;Yes;1;No;2003;No;New;1.0000;1.0000;1;No
35799;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;1998;Yes;1;No;2001;No;New;1.0000;1.0000;1;No
35799;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;1998;Yes;2;No;2000;No;New;1.0000;1.0000;2;No
53974;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;2009;Yes;1;Yes;2011;Yes;New;1.0000;1.0000;1;No
53974;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;2009;Yes;1;Yes;2012;No;New;1.0000;1.0000;1;No
53973;Denmark;Mexico;SCANTER-2001;Sea search radar;Sensors;2007;Yes;2;No;2008;No;New;1.0000;1.0000;2;No
18227;Denmark;Senegal;Osprey-55;Patrol craft;Ships;1985;No;1;No;1987;No;New;17.8000;17.8000;17.8;No
14764;Denmark;South Africa;Annam;Tanker;Ships;1965;Yes;1;No;1965;No;Second hand;50.0000;20;20;No
38283;Denmark;Sweden;SCANTER-2001;Sea search radar;Sensors;1995;Yes;1;No;2008;No;New;1.0000;1.0000;1;No
38283;Denmark;Sweden;SCANTER-2001;Sea search radar;Sensors;1995;Yes;4;No;2006;No;New;1.0000;1.0000;4;No
26246;Denmark;Sweden;Pointer;Sea search radar;Sensors;1966;Yes;5;Yes;1969;Yes;New;0.5000;0.5000;2.5;No
26246;Denmark;Sweden;Pointer;Sea search radar;Sensors;1966;Yes;10;Yes;1968;Yes;New;0.5000;0.5000;5;No
26246;Denmark;Sweden;Pointer;Sea search radar;Sensors;1966;Yes;5;Yes;1967;Yes;New;0.5000;0.5000;2.5;No
54564;Denmark;Myanmar;F-27 Friendship;Transport aircraft;Aircraft;1994;No;1;No;1994;No;Second hand;8.5000;3.4;3.4;No
18145;Denmark;Myanmar;Osprey-55;Patrol craft;Ships;1978;No;2;No;1982;No;New;17.8000;17.8000;35.6;No
18145;Denmark;Myanmar;Osprey-55;Patrol craft;Ships;1978;No;1;No;1980;No;New;17.8000;17.8000;17.8;No
50247;Denmark;Netherlands;Compact 76mm;Naval gun;Artillery;2007;Yes;1;No;2013;No;Second hand;2.5000;1;1;No
50247;Denmark;Netherlands;Compact 76mm;Naval gun;Artillery;2007;Yes;1;Yes;2012;No;Second hand;2.5000;1;1;No
50247;Denmark;Netherlands;Compact 76mm;Naval gun;Artillery;2007;Yes;2;No;2011;No;Second hand;2.5000;1;2;No
38046;Denmark;New Zealand;B&W-12V32;Diesel engine;Engines;1986;No;1;No;1988;No;New;2.0000;2.0000;2;No
22926;Denmark;New Zealand;Mercandia Queen;Transport ship;Ships;1994;No;1;No;1994;No;Second hand;40.0000;16;16;No
35797;Denmark;Singapore;SCANTER-2001;Sea search radar;Sensors;2002;Yes;6;No;2008;No;New;1.0000;1.0000;6;No
35797;Denmark;Singapore;SCANTER-2001;Sea search radar;Sensors;2002;Yes;4;No;2009;No;New;1.0000;1.0000;4;No
35797;Denmark;Singapore;SCANTER-2001;Sea search radar;Sensors;2002;Yes;2;No;2007;No;New;1.0000;1.0000;2;No
38040;Denmark;Spain;B&W-16V40/45;Diesel engine;Engines;1991;No;2;No;1995;No;New;4.0000;4.0000;8;No
18393;Denmark;Taiwan (ROC);F-104G Starfighter;FGA aircraft;Aircraft;1986;Yes;18;No;1987;No;Second hand;11.2000;4.48;80.64;No
38259;Denmark;Thailand;Scanter-4100;Air/sea search radar;Sensors;2008;Yes;1;No;2012;No;New;4.7500;4.7500;4.75;No
38258;Denmark;Thailand;C-Fire;EO search/fire control;Sensors;2009;Yes;1;No;2012;No;New;2.5000;2.5000;2.5;No
14334;Denmark;Turkey;Falster;Minelayer;Ships;1962;Yes;1;No;1964;No;New;60.0000;60.0000;60;No
3082;Denmark;Turkey;F-100D Super Sabre;FGA aircraft;Aircraft;1981;No;11;Yes;1982;No;Second hand;6.5000;2.6;28.6;No
3082;Denmark;Turkey;F-100D Super Sabre;FGA aircraft;Aircraft;1981;No;11;Yes;1981;No;Second hand;6.5000;2.6;28.6;No
35801;Denmark;UAE;SCANTER-2001;Sea search radar;Sensors;2004;No;2;Yes;2013;Yes;New;1.0000;1.0000;2;No
35801;Denmark;UAE;SCANTER-2001;Sea search radar;Sensors;2004;No;1;Yes;2012;Yes;New;1.0000;1.0000;1;No
35801;Denmark;UAE;SCANTER-2001;Sea search radar;Sensors;2004;No;1;No;2011;No;New;1.0000;1.0000;1;No
36005;Denmark;United Kingdom;Scanter-4100;Air/sea search radar;Sensors;2005;Yes;1;No;2006;Yes;New;4.7500;4.7500;4.75;No
19575;Denmark;Morocco;Osprey-55;Patrol craft;Ships;1989;No;2;No;1990;No;New;17.8000;17.8000;35.6;No
18189;Denmark;Morocco;Osprey-55;Patrol craft;Ships;1986;No;1;No;1988;No;New;17.8000;17.8000;17.8;No
18189;Denmark;Morocco;Osprey-55;Patrol craft;Ships;1986;No;1;No;1987;No;New;17.8000;17.8000;17.8;No
27619;Denmark;United States;Estelle Maersk;Cargo ship;Ships;1993;Yes;3;Yes;1994;Yes;Second hand;80.0000;32;96;No
27619;Denmark;United States;Estelle Maersk;Cargo ship;Ships;1993;Yes;2;Yes;1993;Yes;Second hand;80.0000;32;64;No
27617;Denmark;United States;Laura Maersk;Cargo ship;Ships;1993;No;3;Yes;1994;Yes;Second hand;125.0000;50;150;No
24395;Denmark;United States;Saab-35XD Draken;FGA aircraft;Aircraft;1993;No;4;No;1993;No;Second hand;12.0000;4.8;19.2;No
21481;Denmark;United States;Sealandia;Cargo ship;Ships;1993;No;2;No;1993;No;Second hand;125.0000;50;100;No
