Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
38022;Finland;Canada;UD-23;Diesel engine;Engines;1992;No;20;No;1998;No;New;0.7500;0.7500;15;No
38022;Finland;Canada;UD-23;Diesel engine;Engines;1992;No;12;No;1997;No;New;0.7500;0.7500;9;No
38022;Finland;Canada;UD-23;Diesel engine;Engines;1992;No;8;No;1996;No;New;0.7500;0.7500;6;No
50003;Finland;Croatia;Helsinki;FAC;Ships;2008;No;2;No;2008;No;Second hand;55.0000;22;44;No
52379;Finland;Croatia;AMV;APC;Armoured vehicles;2008;No;42;Yes;2012;No;New;0.2900;0.2900;12.18;Yes
36292;Finland;Croatia;AMV;APC;Armoured vehicles;2007;No;45;Yes;2011;No;New;0.2900;0.2900;13.05;Yes
36292;Finland;Croatia;AMV;APC;Armoured vehicles;2007;No;25;Yes;2010;No;New;0.2900;0.2900;7.25;Yes
36292;Finland;Croatia;AMV;APC;Armoured vehicles;2007;No;2;No;2008;No;New;0.2900;0.2900;0.58;Yes
36292;Finland;Croatia;AMV;APC;Armoured vehicles;2007;No;10;Yes;2009;No;New;0.2900;0.2900;2.9;Yes
36292;Finland;Croatia;AMV;APC;Armoured vehicles;2007;No;2;Yes;2012;No;New;0.2900;0.2900;0.58;Yes
52539;Finland;Brazil;W-12;Diesel engine;Engines;1987;No;2;No;1991;No;New;2.0000;2.0000;4;No
36179;Finland;Chile;W-12;Diesel engine;Engines;2005;No;2;No;2008;No;New;2.0000;2.0000;4;No
36179;Finland;Chile;W-12;Diesel engine;Engines;2005;No;2;No;2009;No;New;2.0000;2.0000;4;No
54487;Finland;Colombia;W-12;Diesel engine;Engines;2011;Yes;2;No;2013;No;New;2.0000;2.0000;4;No
52812;Finland;Colombia;W-12;Diesel engine;Engines;2008;No;2;No;2012;No;New;2.0000;2.0000;4;No
26679;Finland;Colombia;Ruissalo;Patrol craft;Ships;1970;Yes;2;No;1971;No;New;4.0000;4.0000;8;No
32994;Finland;Denmark;XA-180;APC;Armoured vehicles;2001;No;7;No;2002;No;Second hand;0.3000;0.12;0.84;No
32994;Finland;Denmark;XA-180;APC;Armoured vehicles;2001;No;4;No;2001;No;Second hand;0.3000;0.12;0.48;No
23217;Finland;Eritrea;L-90TP Redigo;Trainer aircraft;Aircraft;1992;No;2;No;1995;No;New;1.3500;1.3500;2.7;No
23217;Finland;Eritrea;L-90TP Redigo;Trainer aircraft;Aircraft;1992;No;6;No;1994;No;New;1.3500;1.3500;8.1;No
35612;Finland;Estonia;XA-180;APC;Armoured vehicles;2004;No;4;Yes;2007;Yes;Second hand but modernized;0.3000;0.198;0.792;No
35612;Finland;Estonia;XA-180;APC;Armoured vehicles;2004;No;35;No;2006;No;Second hand but modernized;0.3000;0.198;6.93;No
35612;Finland;Estonia;XA-180;APC;Armoured vehicles;2004;No;21;No;2005;No;Second hand but modernized;0.3000;0.198;4.158;No
33074;Finland;Estonia;Kemio;Cargo ship;Ships;1992;No;1;No;1992;No;Second hand;5.0000;2;2;No
24503;Finland;Estonia;Viima;Patrol craft;Ships;1994;No;1;No;1995;No;Second hand;5.0000;2;2;No
23220;Finland;Estonia;Silma;OPV;Ships;1994;No;1;No;1995;No;Second hand;12.5000;5;5;No
50219;Finland;Estonia;D-30 122mm;Towed gun;Artillery;2009;Yes;42;Yes;2009;Yes;Second hand;0.3500;0.14;5.88;No
25677;Finland;Estonia;M-61/37 105mm;Towed gun;Artillery;1997;No;13;No;1998;No;Second hand;0.4500;0.18;2.34;No
