Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
51582;France;Albania;AS-532 Cougar/AS-332;Helicopter;Aircraft;2009;No;3;Yes;2012;No;New;7.2500;7.2500;21.75;No
37264;France;Australia;Scylla;Sonar;Sensors;1987;Yes;1;No;2003;No;New;15.0000;15.0000;15;No
37264;France;Australia;Scylla;Sonar;Sensors;1987;Yes;2;No;2001;No;New;15.0000;15.0000;30;No
37264;France;Australia;Scylla;Sonar;Sensors;1987;Yes;1;No;1999;No;New;15.0000;15.0000;15;No
37264;France;Australia;Scylla;Sonar;Sensors;1987;Yes;1;No;1998;No;New;15.0000;15.0000;15;No
37264;France;Australia;Scylla;Sonar;Sensors;1987;Yes;1;No;1996;No;New;15.0000;15.0000;15;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2009;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2007;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2006;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;2;No;2008;No;New;5.0000;5.0000;10;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2005;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2004;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2003;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2002;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;2001;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;1998;No;New;5.0000;5.0000;5;No
37262;France;Australia;TSM-2633 Spherion-B;ASW sonar;Sensors;1989;No;1;No;1996;No;New;5.0000;5.0000;5;No
28448;France;Australia;SA-316B Alouette-3;Light helicopter;Aircraft;1963;No;3;No;1964;No;New;0.9000;0.9000;2.7;No
26515;France;Australia;DRPT-5 Rasit;Ground surv radar;Sensors;1980;Yes;15;Yes;1981;Yes;New;0.1000;0.1000;1.5;No
8550;France;Australia;R-530;BVRAAM;Missiles;1962;Yes;20;Yes;1968;Yes;New;0.1000;0.1000;2;No
8550;France;Australia;R-530;BVRAAM;Missiles;1962;Yes;20;Yes;1967;Yes;New;0.1000;0.1000;2;No
8550;France;Australia;R-530;BVRAAM;Missiles;1962;Yes;20;Yes;1966;Yes;New;0.1000;0.1000;2;No
8550;France;Australia;R-530;BVRAAM;Missiles;1962;Yes;20;Yes;1965;Yes;New;0.1000;0.1000;2;No
8550;France;Australia;R-530;BVRAAM;Missiles;1962;Yes;20;Yes;1964;Yes;New;0.1000;0.1000;2;No
8549;France;Australia;ENTAC;Anti-tank missile;Missiles;1962;Yes;250;Yes;1964;Yes;New;0.0200;0.0200;5;No
8549;France;Australia;ENTAC;Anti-tank missile;Missiles;1962;Yes;250;Yes;1963;Yes;New;0.0200;0.0200;5;No
7245;France;Australia;Mirage-3E;FGA aircraft;Aircraft;1970;No;2;No;1974;No;New;11.2000;11.2000;22.4;No
7245;France;Australia;Mirage-3E;FGA aircraft;Aircraft;1970;No;4;No;1973;No;New;11.2000;11.2000;44.8;No
7233;France;Australia;Falcon-20;Light transport ac;Aircraft;1965;No;3;No;1967;No;New;8.0000;8.0000;24;No
