Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
25465;German Democratic Republic;Bulgaria;Type-700;Tug;Ships;1963;No;1;No;1964;No;New;13.4000;13.4000;13.4;No
19704;German Democratic Republic;Ethiopia;T-55;Tank;Armoured vehicles;1989;No;50;Yes;1989;No;Second hand;1.2500;0.5;25;No
572;German Democratic Republic;Ethiopia;T-54;Tank;Armoured vehicles;1978;Yes;30;Yes;1980;Yes;Second hand;1.1000;0.44;13.2;No
572;German Democratic Republic;Ethiopia;T-54;Tank;Armoured vehicles;1978;Yes;30;Yes;1979;Yes;Second hand;1.1000;0.44;13.2;No
1911;German Democratic Republic;Guinea-Bissau;MiG-17/Fresco;Fighter aircraft;Aircraft;1974;Yes;8;Yes;1974;Yes;Second hand;3.5000;1.4;11.2;No
19889;German Democratic Republic;Iran;MiG-21PFM/Fishbed-F;Fighter aircraft;Aircraft;1989;Yes;2;Yes;1989;Yes;Second hand;10.0000;4;8;No
3373;German Democratic Republic;Iraq;T-55;Tank;Armoured vehicles;1980;No;50;Yes;1981;No;Second hand;1.2500;0.5;25;No
35286;German Democratic Republic;Mozambique;MiG-15UTI/Midget;Trainer aircraft;Aircraft;1980;No;1;Yes;1981;No;Second hand;3.0000;1.2;1.2;No
14989;German Democratic Republic;Mozambique;T-34/85;Tank;Armoured vehicles;1977;Yes;40;Yes;1978;No;Second hand;0.9000;0.36;14.4;No
14989;German Democratic Republic;Mozambique;T-34/85;Tank;Armoured vehicles;1977;Yes;40;Yes;1977;No;Second hand;0.9000;0.36;14.4;No
14989;German Democratic Republic;Mozambique;T-34/85;Tank;Armoured vehicles;1977;Yes;40;Yes;1979;Yes;Second hand;0.9000;0.36;14.4;No
14989;German Democratic Republic;Mozambique;T-34/85;Tank;Armoured vehicles;1977;Yes;40;Yes;1980;Yes;Second hand;0.9000;0.36;14.4;No
14744;German Democratic Republic;Mozambique;MiG-17/Fresco;Fighter aircraft;Aircraft;1980;No;12;No;1981;No;Second hand;3.5000;1.4;16.8;No
1214;German Democratic Republic;Tanzania;T-54;Tank;Armoured vehicles;1979;Yes;16;Yes;1980;Yes;Second hand;1.1000;0.44;7.04;No
1214;German Democratic Republic;Tanzania;T-54;Tank;Armoured vehicles;1979;Yes;16;Yes;1979;Yes;Second hand;1.1000;0.44;7.04;No
20785;German Democratic Republic;Soviet Union;Lentra;SIGINT ship;Ships;1960;No;1;No;1961;Yes;New;8.0000;8.0000;8;No
20787;German Democratic Republic;Soviet Union;Porject-133/Parchim-2;Corvette;Ships;1984;Yes;2;Yes;1990;No;New;38.5000;38.5000;77;No
20787;German Democratic Republic;Soviet Union;Porject-133/Parchim-2;Corvette;Ships;1984;Yes;3;Yes;1989;No;New;38.5000;38.5000;115.5;No
20787;German Democratic Republic;Soviet Union;Porject-133/Parchim-2;Corvette;Ships;1984;Yes;3;No;1988;No;New;38.5000;38.5000;115.5;No
20787;German Democratic Republic;Soviet Union;Porject-133/Parchim-2;Corvette;Ships;1984;Yes;3;No;1987;No;New;38.5000;38.5000;115.5;No
20787;German Democratic Republic;Soviet Union;Porject-133/Parchim-2;Corvette;Ships;1984;Yes;1;No;1986;No;New;38.5000;38.5000;38.5;No
14099;German Democratic Republic;Soviet Union;Okean;SIGINT ship;Ships;1958;No;3;Yes;1965;No;New;8.6300;8.6300;25.89;No
14099;German Democratic Republic;Soviet Union;Okean;SIGINT ship;Ships;1958;No;3;Yes;1964;No;New;8.6300;8.6300;25.89;No
14099;German Democratic Republic;Soviet Union;Okean;SIGINT ship;Ships;1958;No;3;Yes;1963;No;New;8.6300;8.6300;25.89;No
14099;German Democratic Republic;Soviet Union;Okean;SIGINT ship;Ships;1958;No;2;Yes;1962;No;New;8.6300;8.6300;17.26;No
14099;German Democratic Republic;Soviet Union;Okean;SIGINT ship;Ships;1958;No;2;Yes;1961;No;New;8.6300;8.6300;17.26;No
14099;German Democratic Republic;Soviet Union;Okean;SIGINT ship;Ships;1958;No;2;Yes;1960;No;New;8.6300;8.6300;17.26;No
25843;German Democratic Republic;Viet Nam;An-24/Coke;Transport aircraft;Aircraft;1975;Yes;4;Yes;1977;No;Second hand;7.5000;3;12;No
25843;German Democratic Republic;Viet Nam;An-24/Coke;Transport aircraft;Aircraft;1975;Yes;4;Yes;1976;No;Second hand;7.5000;3;12;No
26639;German Democratic Republic;Israel;M-46 130mm;Towed gun;Artillery;1982;Yes;10;Yes;1982;Yes;Second hand;0.6500;0.26;2.6;No
