Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
36463;Germany (FRG);Australia;DM-702 SMART-155;Guided shell;Missiles;2007;No;144;No;2008;No;New;0.0400;0.0400;5.76;No
659;Germany (FRG);Australia;Leopard-1A3;Tank;Armoured vehicles;1975;No;21;Yes;1977;No;New;2.5000;2.5000;52.5;No
659;Germany (FRG);Australia;Leopard-1A3;Tank;Armoured vehicles;1975;No;21;Yes;1976;No;New;2.5000;2.5000;52.5;No
192;Germany (FRG);Australia;BPz-2;ARV;Armoured vehicles;1975;No;6;No;1977;No;New;1.4000;1.4000;8.4;No
193;Germany (FRG);Australia;BrPz-1 Biber;ABL;Armoured vehicles;1975;No;5;No;1977;No;New;1.0000;1.0000;5;No
36472;Germany (FRG);Australia;Waran;APC;Armoured vehicles;2008;No;41;Yes;2012;No;New;0.3500;0.3500;14.35;No
36472;Germany (FRG);Australia;Waran;APC;Armoured vehicles;2008;No;40;Yes;2011;No;New;0.3500;0.3500;14;No
34016;Germany (FRG);Australia;Waran;APC;Armoured vehicles;2002;No;42;Yes;2011;Yes;New;0.3500;0.3500;14.7;No
34016;Germany (FRG);Australia;Waran;APC;Armoured vehicles;2002;No;100;Yes;2010;No;New;0.3500;0.3500;35;No
34016;Germany (FRG);Australia;Waran;APC;Armoured vehicles;2002;No;38;Yes;2009;No;New;0.3500;0.3500;13.3;No
34016;Germany (FRG);Australia;Waran;APC;Armoured vehicles;2002;No;75;Yes;2008;No;New;0.3500;0.3500;26.25;No
34016;Germany (FRG);Australia;Waran;APC;Armoured vehicles;2002;No;4;Yes;2007;No;New;0.3500;0.3500;1.4;No
53523;Germany (FRG);Australia;Leopard-1A3;Tank;Armoured vehicles;1976;Yes;50;Yes;1978;No;New;2.5000;2.5000;125;No
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;2006;No;New;265.2500;265.2500;265.25;Yes
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;2005;No;New;265.2500;265.2500;265.25;Yes
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;2004;No;New;265.2500;265.2500;265.25;Yes
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;2003;No;New;265.2500;265.2500;265.25;Yes
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;2002;No;New;265.2500;265.2500;265.25;Yes
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;2001;No;New;265.2500;265.2500;265.25;Yes
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;1998;No;New;265.2500;265.2500;265.25;Yes
19732;Germany (FRG);Australia;MEKO-200ANZ;Frigate;Ships;1989;No;1;No;1996;No;New;265.2500;265.2500;265.25;Yes
37661;Germany (FRG);Bangladesh;ASO-90;ASW sonar;Sensors;1998;Yes;1;No;2001;No;New;7.5000;7.5000;7.5;No
51022;Germany (FRG);Bangladesh;Do-228MP;MP aircraft;Aircraft;2011;No;2;No;2013;No;New;3.3000;3.3000;6.6;No
15196;Germany (FRG);Burundi;Do-27;Light aircraft;Aircraft;1966;Yes;1;No;1966;No;Second hand;0.1200;0.048;0.048;No
30802;Germany (FRG);Canada;Air refuel system;Air refuel system;Other;2001;Yes;1;Yes;2005;Yes;New;10.0000;10.0000;10;No
30802;Germany (FRG);Canada;Air refuel system;Air refuel system;Other;2001;Yes;1;Yes;2004;No;New;10.0000;10.0000;10;No
24689;Germany (FRG);Canada;Leopard-1A5 turret;Tank turret;Other;1996;No;41;Yes;2001;No;Second hand but modernized;1.1500;0.759;31.119;No
24689;Germany (FRG);Canada;Leopard-1A5 turret;Tank turret;Other;1996;No;50;Yes;2000;No;Second hand but modernized;1.1500;0.759;37.95;No
24689;Germany (FRG);Canada;Leopard-1A5 turret;Tank turret;Other;1996;No;30;Yes;1999;No;Second hand but modernized;1.1500;0.759;22.77;No
21299;Germany (FRG);Canada;PiPz-2 Dachs;AEV;Armoured vehicles;1987;No;9;No;1990;No;New;2.0000;2.0000;18;No
