Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
25503;Greece;Cyprus;4K-7FA;APC;Armoured vehicles;1995;Yes;39;No;1997;No;New;0.3000;0.3000;11.7;No
25503;Greece;Cyprus;4K-7FA;APC;Armoured vehicles;1995;Yes;26;No;1996;No;New;0.3000;0.3000;7.8;No
23259;Greece;Cyprus;AMX-30B;Tank;Armoured vehicles;1993;Yes;10;No;1998;No;Second hand;1.8000;0.72;7.2;No
23259;Greece;Cyprus;AMX-30B;Tank;Armoured vehicles;1993;Yes;27;No;1997;No;Second hand;1.8000;0.72;19.44;No
23259;Greece;Cyprus;AMX-30B;Tank;Armoured vehicles;1993;Yes;15;No;1996;No;Second hand;1.8000;0.72;10.8;No
19933;Greece;Cyprus;4K-7FA;APC;Armoured vehicles;1990;Yes;49;Yes;1992;No;New;0.3000;0.3000;14.7;No
19933;Greece;Cyprus;4K-7FA;APC;Armoured vehicles;1990;Yes;32;Yes;1993;No;New;0.3000;0.3000;9.6;No
53846;Greece;Cyprus;Dilos;patrol craft;Ships;2000;No;1;No;2000;No;Second hand;4.5000;1.8;1.8;No
34713;Greece;Cyprus;Marmon-Herrington;Armoured car;Armoured vehicles;1964;No;15;Yes;1964;No;Second hand;0.1000;0.04;0.6;No
34713;Greece;Cyprus;Marmon-Herrington;Armoured car;Armoured vehicles;1964;No;15;Yes;1965;Yes;Second hand;0.1000;0.04;0.6;No
33159;Greece;Georgia;Combattante-2;FAC;Ships;2004;Yes;1;No;2004;No;Second hand;55.0000;22;22;No
53012;Greece;Georgia;Dilos;patrol craft;Ships;1998;Yes;1;No;1998;No;Second hand;4.5000;1.8;1.8;No
53012;Greece;Georgia;Dilos;patrol craft;Ships;1998;Yes;1;No;1999;No;Second hand;4.5000;1.8;1.8;No
37798;Greece;Iraq;BMP-1;IFV;Armoured vehicles;2005;No;64;No;2006;No;Second hand;0.9000;0.36;23.04;No
37798;Greece;Iraq;BMP-1;IFV;Armoured vehicles;2005;No;36;No;2005;No;Second hand;0.9000;0.36;12.96;No
28344;Greece;Spain;Boeing-707;Transport aircraft;Aircraft;1994;Yes;1;No;1994;Yes;Second hand;44.5000;17.8;17.8;No
32039;Greece;Macedonia (FYROM);Bell-205/UH-1H;Helicopter;Aircraft;2001;No;2;No;2001;No;Second hand;2.6200;1.048;2.096;No
30157;Greece;Macedonia (FYROM);4K-7FA;APC;Armoured vehicles;1999;No;10;No;1999;No;Second hand;0.3000;0.12;1.2;No
