Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
16160;India;Bangladesh;Model-56 105mm;Towed gun;Artillery;1971;No;30;Yes;1971;No;Second hand;0.4500;0.18;5.4;No
16159;India;Bangladesh;Ford;Patrol craft;Ships;1973;Yes;1;No;1974;No;Second hand;5.5000;2.2;2.2;No
16159;India;Bangladesh;Ford;Patrol craft;Ships;1973;Yes;1;No;1973;No;Second hand;5.5000;2.2;2.2;No
12255;India;Bangladesh;SA-316B Alouette-3;Light helicopter;Aircraft;1972;Yes;3;Yes;1973;No;Second hand;0.9000;0.36;1.08;No
12262;India;Bangladesh;DHC-3 Otter;Light transport ac;Aircraft;1971;Yes;4;No;1971;No;Second hand;0.6300;0.252;1.008;No
12261;India;Bangladesh;DHC-4 Caribou;Transport aircraft;Aircraft;1972;No;1;No;1972;No;Second hand;3.7500;1.5;1.5;No
50339;India;Ecuador;Druhv;Helicopter;Aircraft;2008;No;6;No;2009;No;New;4.5000;4.5000;27;No
35557;India;Bhutan;MPV;APV;Armoured vehicles;2003;Yes;1;Yes;2004;Yes;New;0.1100;0.1100;0.11;No
22248;India;Bhutan;Mi-4A/Hound-A;Helicopter;Aircraft;1968;No;1;No;1968;No;Second hand;1.8800;0.752;0.752;No
10068;India;Ghana;HT-2;Trainer aircraft;Aircraft;1958;No;12;No;1959;No;New;0.1000;0.1000;1.2;No
22979;India;Guinea-Bissau;SDB Mk-3;Patrol craft;Ships;1992;Yes;1;No;1993;No;Second hand;11.8000;4.72;4.72;No
26777;India;Mauritius;Do-228MP;MP aircraft;Aircraft;2004;Yes;1;No;2004;No;New;3.3000;3.3000;3.3;No
22020;India;Mauritius;SDB Mk-2;Patrol craft;Ships;1993;No;1;No;1993;No;Second hand;11.0000;4.4;4.4;No
20092;India;Mauritius;Do-228MP;MP aircraft;Aircraft;1989;No;1;No;1990;No;New;3.3000;3.3000;3.3;No
14915;India;Mauritius;Ford;Patrol craft;Ships;1974;Yes;1;No;1974;No;Second hand;5.5000;2.2;2.2;No
22483;India;Namibia;SA-315B Lama;Light helicopter;Aircraft;1994;No;2;No;1994;No;New;0.7500;0.7500;1.5;No
22482;India;Namibia;SA-316B Alouette-3;Light helicopter;Aircraft;1994;No;2;No;1995;No;New;0.9000;0.9000;1.8;No
51438;India;Namibia;SA-316B Alouette-3;Light helicopter;Aircraft;2009;No;2;Yes;2012;Yes;New;0.9000;0.9000;1.8;No
50409;India;Namibia;SA-315B Lama;Light helicopter;Aircraft;2009;No;1;No;2011;No;New;0.7500;0.7500;0.75;No
53002;India;Seychelles;Do-228MP;MP aircraft;Aircraft;2012;Yes;1;No;2013;No;New;3.3000;3.3000;3.3;No
50643;India;Seychelles;SDB Mk-5;Patrol craft;Ships;2004;No;1;No;2005;No;New;14.6000;14.6000;14.6;No
18898;India;Seychelles;SA-316B Alouette-3;Light helicopter;Aircraft;1988;No;1;No;1988;No;New;0.9000;0.9000;0.9;No
