Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
19707;Indonesia;Brunei;CN-235;Transport aircraft;Aircraft;1995;No;1;No;1997;No;New;8.2000;8.2000;8.2;No
10295;Indonesia;India;Vampire T-55;Trainer aircraft;Aircraft;1962;No;8;No;1963;No;Second hand;2.2500;0.9;7.2;No
25817;Indonesia;South Korea (ROK);CN-235;Transport aircraft;Aircraft;1997;No;6;No;2002;No;New;8.2000;8.2000;49.2;No
25817;Indonesia;South Korea (ROK);CN-235;Transport aircraft;Aircraft;1997;No;2;No;2001;No;New;8.2000;8.2000;16.4;No
30011;Indonesia;Malaysia;CN-235;Transport aircraft;Aircraft;2002;No;1;Yes;2006;Yes;New;8.2000;8.2000;8.2;No
30011;Indonesia;Malaysia;CN-235;Transport aircraft;Aircraft;2002;No;1;Yes;2005;No;New;8.2000;8.2000;8.2;No
21810;Indonesia;Malaysia;CN-235;Transport aircraft;Aircraft;1995;No;6;No;1999;No;New;8.2000;8.2000;49.2;No
53491;Indonesia;Senegal;CN-235;Transport aircraft;Aircraft;2011;No;1;No;2011;No;Second hand;10.0000;4;4;No
2873;Indonesia;Thailand;C-212;Transport aircraft;Aircraft;1978;Yes;1;No;1980;Yes;New;3.8000;3.8000;3.8;No
489;Indonesia;Thailand;C-212;Transport aircraft;Aircraft;1985;No;1;Yes;1986;Yes;New;3.8000;3.8000;3.8;No
489;Indonesia;Thailand;C-212;Transport aircraft;Aircraft;1985;No;2;Yes;1985;Yes;New;3.8000;3.8000;7.6;No
20967;Indonesia;UAE;CN-235;Transport aircraft;Aircraft;1992;No;3;Yes;1995;No;New;8.2000;8.2000;24.6;No
20967;Indonesia;UAE;CN-235;Transport aircraft;Aircraft;1992;No;2;Yes;1994;No;New;8.2000;8.2000;16.4;No
20967;Indonesia;UAE;CN-235;Transport aircraft;Aircraft;1992;No;2;No;1993;No;New;8.2000;8.2000;16.4;No
31125;Indonesia;Pakistan;CN-235;Transport aircraft;Aircraft;2002;No;3;Yes;2004;No;New;8.2000;8.2000;24.6;No
9690;Indonesia;Pakistan;PT-76;Light tank;Armoured vehicles;1968;Yes;16;Yes;1970;Yes;Second hand;0.9000;0.36;5.76;No
9690;Indonesia;Pakistan;PT-76;Light tank;Armoured vehicles;1968;Yes;16;Yes;1969;Yes;Second hand;0.9000;0.36;5.76;No
55773;Indonesia;Sri Lanka;P-2;APC;Aircraft;2008;Yes;5;Yes;2008;Yes;New;0.1200;0.1200;0.6;No
