Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
13515;Iran;DR Congo;DC-3/C-47 Skytrain;Transport aircraft;Aircraft;1962;Yes;3;No;1962;No;Second hand;2.5000;1;3;No
708;Iran;Ethiopia;F-5A Freedom Fighter;FGA aircraft;Aircraft;1974;No;3;No;1975;No;Second hand;8.0000;3.2;9.6;No
702;Iran;Ethiopia;F-86F Sabre;Fighter aircraft;Aircraft;1970;Yes;3;Yes;1972;Yes;Second hand;3.5000;1.4;4.2;No
702;Iran;Ethiopia;F-86F Sabre;Fighter aircraft;Aircraft;1970;Yes;4;Yes;1971;Yes;Second hand;3.5000;1.4;5.6;No
702;Iran;Ethiopia;F-86F Sabre;Fighter aircraft;Aircraft;1970;Yes;3;Yes;1970;Yes;Second hand;3.5000;1.4;4.2;No
22978;Iran;Greece;F-5A Freedom Fighter;FGA aircraft;Aircraft;1974;Yes;10;No;1975;No;Second hand;8.0000;3.2;32;No
10740;Iran;Jordan;F-5A Freedom Fighter;FGA aircraft;Aircraft;1974;No;12;No;1975;No;Second hand;8.0000;3.2;38.4;No
10740;Iran;Jordan;F-5A Freedom Fighter;FGA aircraft;Aircraft;1974;No;22;No;1974;No;Second hand;8.0000;3.2;70.4;No
50742;Iran;Sudan;Shahine;Towed MRL;Artillery;2007;Yes;5;Yes;2008;Yes;New;0.3000;0.3000;1.5;No
40184;Iran;Sudan;WZ-501/Type-86;IFV;Armoured vehicles;2001;Yes;10;Yes;2003;Yes;New;0.9000;0.9000;9;No
39426;Iran;Sudan;Rakhsh;APC;Armoured vehicles;2004;Yes;10;Yes;2005;Yes;New;0.1500;0.1500;1.5;No
39426;Iran;Sudan;Rakhsh;APC;Armoured vehicles;2004;Yes;10;Yes;2006;No;New;0.1500;0.1500;1.5;No
50818;Iran;Sudan;T-72Z;Tank;Armoured vehicles;2005;Yes;20;Yes;2006;Yes;New;1.5000;1.5000;30;No
54340;Iran;Syria;C-802/CSS-N-8;Anti-ship missile;Missiles;2010;Yes;25;Yes;2011;No;New;1.0000;1.0000;25;No
54339;Iran;Syria;C-801/C-802 CDS;Coast defence system;Sensors;2010;Yes;1;Yes;2011;No;New;15.0000;15.0000;15;No
51065;Iran;Syria;Tir;FAC;Ships;2006;Yes;6;No;2006;No;New;9.0000;9.0000;54;No
39824;Iran;Syria;C-802/CSS-N-8;Anti-ship missile;Missiles;2006;Yes;5;Yes;2011;Yes;New;1.0000;1.0000;5;No
39824;Iran;Syria;C-802/CSS-N-8;Anti-ship missile;Missiles;2006;Yes;5;Yes;2010;Yes;New;1.0000;1.0000;5;No
39824;Iran;Syria;C-802/CSS-N-8;Anti-ship missile;Missiles;2006;Yes;5;Yes;2009;Yes;New;1.0000;1.0000;5;No
40169;Iran;Syria;Fateh-110;SSM;Missiles;2007;No;50;Yes;2013;Yes;New;0.2000;0.2000;10;Yes
40169;Iran;Syria;Fateh-110;SSM;Missiles;2007;No;50;Yes;2012;Yes;New;0.2000;0.2000;10;Yes
40169;Iran;Syria;Fateh-110;SSM;Missiles;2007;No;200;Yes;2008;Yes;New;0.2000;0.2000;40;Yes
40169;Iran;Syria;Fateh-110;SSM;Missiles;2007;No;200;Yes;2009;No;New;0.2000;0.2000;40;Yes
40169;Iran;Syria;Fateh-110;SSM;Missiles;2007;No;200;Yes;2011;Yes;New;0.2000;0.2000;40;Yes
40169;Iran;Syria;Fateh-110;SSM;Missiles;2007;No;200;Yes;2010;No;New;0.2000;0.2000;40;Yes
52891;Iran;Venezuela;Mohajer;UAV;Aircraft;2007;Yes;9;Yes;2013;Yes;New;0.1000;0.1000;0.9;Yes
52891;Iran;Venezuela;Mohajer;UAV;Aircraft;2007;Yes;3;Yes;2012;No;New;0.1000;0.1000;0.3;Yes
23050;Iran;South Vietnam;F-5A Freedom Fighter;FGA aircraft;Aircraft;1972;No;30;No;1972;No;Second hand;8.0000;3.2;96;No
35623;Iran;Hezbollah (Lebanon)*;Mohajer;UAV;Aircraft;2004;Yes;8;No;2004;No;New;0.1000;0.1000;0.8;No
30310;Iran;Hezbollah (Lebanon)*;BGM-71 TOW;Anti-tank missile;Missiles;1998;Yes;10;Yes;1999;Yes;New;0.0100;0.0100;0.1;No
54323;Iran;Hezbollah (Lebanon)*;Ababil-T/R;SSM;Missiles;2005;Yes;2;Yes;2006;Yes;New;0.1000;0.1000;0.2;No
38932;Iran;Hezbollah (Lebanon)*;9M113/AT-5 Spandrel;Anti-tank missile;Missiles;2005;Yes;50;Yes;2006;Yes;New;0.0200;0.0200;1;No
33752;Iran;Hezbollah (Lebanon)*;Zelzal-2;Mobile SSM launcher;Artillery;2002;No;5;Yes;2002;Yes;New;0.5000;0.5000;2.5;No
31779;Iran;Hezbollah (Lebanon)*;M-1985 240mm;Self-propelled MRL;Artillery;1995;Yes;3;Yes;1996;Yes;New;0.4000;0.4000;1.2;No
31779;Iran;Hezbollah (Lebanon)*;M-1985 240mm;Self-propelled MRL;Artillery;1995;Yes;2;Yes;1995;Yes;New;0.4000;0.4000;0.8;No
26674;Iran;Hezbollah (Lebanon)*;Type-63 107mm;Towed MRL;Artillery;1990;Yes;3;Yes;1993;Yes;New;0.0500;0.0500;0.15;No
26674;Iran;Hezbollah (Lebanon)*;Type-63 107mm;Towed MRL;Artillery;1990;Yes;4;Yes;1992;Yes;New;0.0500;0.0500;0.2;No
26674;Iran;Hezbollah (Lebanon)*;Type-63 107mm;Towed MRL;Artillery;1990;Yes;3;Yes;1991;Yes;New;0.0500;0.0500;0.15;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1989;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1988;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1987;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1986;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1985;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1984;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1983;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1982;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1981;Yes;Second hand;0.4500;0.18;0.36;No
26659;Iran;Hezbollah (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1980;Yes;2;Yes;1980;Yes;Second hand;0.4500;0.18;0.36;No
26627;Iran;Hezbollah (Lebanon)*;C-802/CSS-N-8;Anti-ship missile;Missiles;2005;Yes;5;Yes;2006;No;New;1.0000;1.0000;5;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;25;Yes;2006;Yes;New;0.0100;0.0100;0.25;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;25;Yes;2005;Yes;New;0.0100;0.0100;0.25;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;25;Yes;2004;Yes;New;0.0100;0.0100;0.25;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;25;Yes;2003;Yes;New;0.0100;0.0100;0.25;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;25;Yes;2002;Yes;New;0.0100;0.0100;0.25;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;20;Yes;2001;Yes;New;0.0100;0.0100;0.2;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;20;Yes;2000;Yes;New;0.0100;0.0100;0.2;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;15;Yes;1999;Yes;New;0.0100;0.0100;0.15;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;15;Yes;1998;Yes;New;0.0100;0.0100;0.15;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;15;Yes;1997;Yes;New;0.0100;0.0100;0.15;No
25889;Iran;Hezbollah (Lebanon)*;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1980;Yes;15;Yes;1996;Yes;New;0.0100;0.0100;0.15;No
