Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
14997;Iraq;Djibouti;BRDM-2;Reconnaissance AV;Armoured vehicles;1979;Yes;12;Yes;1980;Yes;Second hand;0.1500;0.06;0.72;No
22047;Iraq;Jordan;Chieftain Mk-3;Tank;Armoured vehicles;1988;No;1;No;1988;No;Second hand;2.1000;0.84;0.84;No
18915;Iraq;Jordan;Chieftain Mk-5;Tank;Armoured vehicles;1988;No;89;Yes;1988;No;Second hand;2.2500;0.9;80.1;No
18917;Iraq;Jordan;M-47 Patton;Tank;Armoured vehicles;1988;No;60;Yes;1988;No;Second hand;1.0500;0.42;25.2;No
18916;Iraq;Jordan;M-113;APC;Armoured vehicles;1988;No;35;No;1988;No;Second hand;0.2500;0.1;3.5;No
18913;Iraq;Jordan;Scorpion;Light tank;Armoured vehicles;1988;No;19;No;1988;No;Second hand;0.8300;0.332;6.308;No
2809;Iraq;Jordan;M-60A1 Patton-2;Tank;Armoured vehicles;1980;No;36;No;1980;No;Second hand;1.8000;0.72;25.92;No
10983;Iraq;Lebanon;DH-82 Tiger Moth;Trainer aircraft;Aircraft;1956;Yes;6;No;1957;No;Second hand;0.1000;0.04;0.24;No
26626;Iraq;LF (Lebanon)*;D-30 122mm;Towed gun;Artillery;1988;No;18;Yes;1988;No;Second hand;0.3500;0.14;2.52;No
26625;Iraq;LF (Lebanon)*;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1988;No;18;Yes;1988;Yes;Second hand;0.4500;0.18;3.24;No
21026;Iraq;LF (Lebanon)*;2S4 240mm;Self-propelled mortar;Artillery;1988;Yes;3;Yes;1988;Yes;Second hand;0.9000;0.36;1.08;No
19361;Iraq;LF (Lebanon)*;M-113;APC;Armoured vehicles;1988;Yes;50;Yes;1988;No;Second hand;0.2500;0.1;5;No
19146;Iraq;LF (Lebanon)*;T-55;Tank;Armoured vehicles;1988;No;40;Yes;1989;No;Second hand;1.2500;0.5;20;No
19146;Iraq;LF (Lebanon)*;T-55;Tank;Armoured vehicles;1988;No;80;Yes;1988;No;Second hand;1.2500;0.5;40;No
1972;Iraq;Morocco;Sea Fury;Fighter aircraft;Aircraft;1959;Yes;4;No;1960;No;Second hand;2.0000;0.8;3.2;No
