Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
55850;Ireland;Australia;Bushmaster;APC;Armoured vehicles;2011;No;101;Yes;2012;No;New;0.2000;0.2000;20.2;Yes
55849;Ireland;Australia;Bushmaster;APC;Armoured vehicles;2008;No;41;Yes;2010;No;New;0.2000;0.2000;8.2;Yes
55848;Ireland;Australia;Bushmaster;APC;Armoured vehicles;2007;No;75;Yes;2010;No;New;0.2000;0.2000;15;Yes
55848;Ireland;Australia;Bushmaster;APC;Armoured vehicles;2007;No;53;Yes;2008;No;New;0.2000;0.2000;10.6;Yes
55848;Ireland;Australia;Bushmaster;APC;Armoured vehicles;2007;No;125;Yes;2009;No;New;0.2000;0.2000;25;Yes
55847;Ireland;Australia;Bushmaster;APC;Armoured vehicles;2006;No;72;Yes;2008;No;New;0.2000;0.2000;14.4;Yes
55847;Ireland;Australia;Bushmaster;APC;Armoured vehicles;2006;No;72;Yes;2007;No;New;0.2000;0.2000;14.4;Yes
55846;Ireland;Australia;Bushmaster;APC;Armoured vehicles;1999;Yes;74;Yes;2007;No;New;0.2000;0.2000;14.8;Yes
55846;Ireland;Australia;Bushmaster;APC;Armoured vehicles;1999;Yes;75;Yes;2005;No;New;0.2000;0.2000;15;Yes
55846;Ireland;Australia;Bushmaster;APC;Armoured vehicles;1999;Yes;150;Yes;2006;No;New;0.2000;0.2000;30;Yes
1672;Ireland;Belgium;BDX;APC;Armoured vehicles;1977;No;10;Yes;1981;No;New;0.1800;0.1800;1.8;Yes
1672;Ireland;Belgium;BDX;APC;Armoured vehicles;1977;No;50;Yes;1980;No;New;0.1800;0.1800;9;Yes
1672;Ireland;Belgium;BDX;APC;Armoured vehicles;1977;No;50;Yes;1979;No;New;0.1800;0.1800;9;Yes
1672;Ireland;Belgium;BDX;APC;Armoured vehicles;1977;No;13;Yes;1978;No;New;0.1800;0.1800;2.34;Yes
50494;Ireland;Chile;AS365/AS565 Panther;Helicopter;Aircraft;2008;No;1;Yes;2008;Yes;Second hand;3.5000;1.4;1.4;No
50494;Ireland;Chile;AS365/AS565 Panther;Helicopter;Aircraft;2008;No;1;Yes;2011;No;Second hand;3.5000;1.4;1.4;No
50494;Ireland;Chile;AS365/AS565 Panther;Helicopter;Aircraft;2008;No;1;Yes;2009;Yes;Second hand;3.5000;1.4;1.4;No
50494;Ireland;Chile;AS365/AS565 Panther;Helicopter;Aircraft;2008;No;1;Yes;2010;Yes;Second hand;3.5000;1.4;1.4;No
34586;Ireland;Macedonia (FYROM);Bell-206/OH-58;Light helicopter;Aircraft;2011;Yes;4;Yes;2013;No;Second hand;0.7000;0.28;1.12;No
