Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
37462;Israel;Australia;Litening;Aircraft EO system;Sensors;2005;No;18;Yes;2006;No;New;1.0000;1.0000;18;No
30542;Israel;Australia;EL/M-2022;MP aircraft radar;Sensors;1995;No;2;Yes;2005;No;New;2.5000;2.5000;5;No
30542;Israel;Australia;EL/M-2022;MP aircraft radar;Sensors;1995;No;5;Yes;2004;No;New;2.5000;2.5000;12.5;No
30542;Israel;Australia;EL/M-2022;MP aircraft radar;Sensors;1995;No;5;Yes;2003;No;New;2.5000;2.5000;12.5;No
30542;Israel;Australia;EL/M-2022;MP aircraft radar;Sensors;1995;No;6;No;2002;No;New;2.5000;2.5000;15;No
20637;Israel;Australia;Air refuel system;Air refuel system;Other;1988;No;2;Yes;1992;No;New;10.0000;10.0000;20;No
20637;Israel;Australia;Air refuel system;Air refuel system;Other;1988;No;2;Yes;1991;No;New;10.0000;10.0000;20;No
36377;Israel;Australia;Heron;UAV;Aircraft;2009;No;10;Yes;2009;No;New;3.0000;3.0000;30;No
36705;Israel;Azerbaijan;Lynx;Self-propelled MRL;Artillery;2005;Yes;6;Yes;2006;Yes;New;0.9500;0.9500;5.7;No
53823;Israel;Azerbaijan;Heron;UAV;Aircraft;2011;Yes;5;Yes;2013;Yes;New;3.0000;3.0000;15;No
53822;Israel;Azerbaijan;Searcher;UAV;Aircraft;2011;Yes;5;Yes;2013;Yes;New;0.3000;0.3000;1.5;No
53084;Israel;Azerbaijan;CARDOM 120mm;Self-propelled mortar;Artillery;2008;No;5;Yes;2011;Yes;New;0.2000;0.2000;1;No
53084;Israel;Azerbaijan;CARDOM 120mm;Self-propelled mortar;Artillery;2008;No;5;Yes;2010;Yes;New;0.2000;0.2000;1;No
52149;Israel;Azerbaijan;Spike-MR/LR;Anti-tank missile;Missiles;2008;No;50;Yes;2010;Yes;New;0.0300;0.0300;1.5;No
52149;Israel;Azerbaijan;Spike-MR/LR;Anti-tank missile;Missiles;2008;No;50;Yes;2009;Yes;New;0.0300;0.0300;1.5;No
52142;Israel;Azerbaijan;Sufa;APV;Armoured vehicles;2008;No;5;Yes;2010;Yes;New;0.1200;0.1200;0.6;No
