Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
40296;Italy;Afghanistan;G-222;Transport aircraft;Aircraft;2008;No;5;Yes;2011;No;Second hand but modernized;15.0000;9.9;49.5;No
40296;Italy;Afghanistan;G-222;Transport aircraft;Aircraft;2008;No;6;Yes;2010;No;Second hand but modernized;15.0000;9.9;59.4;No
40296;Italy;Afghanistan;G-222;Transport aircraft;Aircraft;2008;No;2;No;2009;No;Second hand but modernized;15.0000;9.9;19.8;No
34165;Italy;Albania;Bell-205/UH-1H;Helicopter;Aircraft;2003;No;7;Yes;2005;No;Second hand;2.6200;1.048;7.336;No
34051;Italy;Albania;Bell-206/OH-58;Light helicopter;Aircraft;2003;No;7;Yes;2003;No;Second hand;0.7000;0.28;1.96;No
36400;Italy;Australia;Model-56 105mm;Towed gun;Artillery;1959;Yes;20;Yes;1960;Yes;New;0.4500;0.4500;9;No
17558;Italy;Australia;HSS-1;Air search radar;Sensors;1986;No;2;Yes;1991;No;New;1.1900;1.1900;2.38;No
17558;Italy;Australia;HSS-1;Air search radar;Sensors;1986;No;2;Yes;1990;No;New;1.1900;1.1900;2.38;No
17558;Italy;Australia;HSS-1;Air search radar;Sensors;1986;No;2;Yes;1989;No;New;1.1900;1.1900;2.38;No
17558;Italy;Australia;HSS-1;Air search radar;Sensors;1986;No;2;Yes;1992;Yes;New;1.1900;1.1900;2.38;No
17558;Italy;Australia;HSS-1;Air search radar;Sensors;1986;No;2;Yes;1988;Yes;New;1.1900;1.1900;2.38;No
26485;Italy;Australia;MB-326B;Trainer/combat ac;Aircraft;1965;No;17;Yes;1971;No;New;2.1000;2.1000;35.7;No
26485;Italy;Australia;MB-326B;Trainer/combat ac;Aircraft;1965;No;20;Yes;1970;No;New;2.1000;2.1000;42;No
26485;Italy;Australia;MB-326B;Trainer/combat ac;Aircraft;1965;No;18;Yes;1969;No;New;2.1000;2.1000;37.8;No
26485;Italy;Australia;MB-326B;Trainer/combat ac;Aircraft;1965;No;20;Yes;1968;No;New;2.1000;2.1000;42;No
26484;Italy;Australia;MB-326B;Trainer/combat ac;Aircraft;1968;Yes;17;Yes;1972;No;New;2.1000;2.1000;35.7;No
26484;Italy;Australia;MB-326B;Trainer/combat ac;Aircraft;1968;Yes;5;Yes;1971;No;New;2.1000;2.1000;10.5;No
22229;Italy;Australia;Gaeta;MCM ship;Ships;1994;No;2;No;2002;No;New;55.0000;55.0000;110;Yes
22229;Italy;Australia;Gaeta;MCM ship;Ships;1994;No;1;No;2001;No;New;55.0000;55.0000;55;Yes
22229;Italy;Australia;Gaeta;MCM ship;Ships;1994;No;1;No;2000;No;New;55.0000;55.0000;55;Yes
22229;Italy;Australia;Gaeta;MCM ship;Ships;1994;No;2;No;1999;No;New;55.0000;55.0000;110;Yes
39516;Italy;Australia;A-109K;Light helicopter;Aircraft;2006;Yes;2;Yes;2007;Yes;New;1.6000;1.6000;3.2;No
51141;Italy;Bahamas;P-68;Light transport ac;Aircraft;2008;Yes;1;No;2009;No;New;0.3300;0.3300;0.33;No
38423;Italy;Bangladesh;Grifo;Combat ac radar;Sensors;2006;No;16;No;2006;No;New;1.0000;1.0000;16;No
37663;Italy;Bangladesh;Compact 40L70;Naval gun;Artillery;1998;Yes;2;No;2001;No;New;2.5000;2.5000;5;No
37662;Italy;Bangladesh;Super Rapid 76mm;Naval gun;Artillery;1998;Yes;1;No;2001;No;New;2.7500;2.7500;2.75;No
33941;Italy;Bangladesh;A-109K;Light helicopter;Aircraft;2010;No;2;No;2011;No;New;1.6000;1.6000;3.2;No
32027;Italy;Bangladesh;Otomat-2;Anti-ship missile;Missiles;1998;Yes;10;Yes;2002;Yes;New;1.1000;1.1000;11;No
29881;Italy;Bangladesh;Model-56 105mm;Towed gun;Artillery;1975;Yes;30;Yes;1977;Yes;New;0.4500;0.4500;13.5;No
29881;Italy;Bangladesh;Model-56 105mm;Towed gun;Artillery;1975;Yes;30;Yes;1976;Yes;New;0.4500;0.4500;13.5;No
29881;Italy;Bangladesh;Model-56 105mm;Towed gun;Artillery;1975;Yes;25;Yes;1975;Yes;New;0.4500;0.4500;11.25;No
55017;Italy;Bangladesh;Grifo;Combat ac radar;Sensors;2011;No;12;Yes;2013;No;New;1.0000;1.0000;12;No
55017;Italy;Bangladesh;Grifo;Combat ac radar;Sensors;2011;No;4;No;2012;No;New;1.0000;1.0000;4;No
26832;Italy;Bulgaria;M-113;APC;Armoured vehicles;1998;Yes;30;Yes;1999;Yes;Second hand;0.2500;0.1;3;No
35386;Italy;Bulgaria;C-27J Spartan;Transport aircraft;Aircraft;2006;No;1;No;2011;No;New;16.0000;16.0000;16;No
35386;Italy;Bulgaria;C-27J Spartan;Transport aircraft;Aircraft;2006;No;1;No;2008;No;New;16.0000;16.0000;16;No
