Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
20924;Japan;Brazil;Barroso Pereira;Transport ship;Ships;1953;Yes;1;No;1956;No;New;38.0000;38.0000;38;No
20924;Japan;Brazil;Barroso Pereira;Transport ship;Ships;1953;Yes;2;No;1955;No;New;38.0000;38.0000;76;No
8772;Japan;Cambodia;FD-25 Defender;Ground attack ac;Aircraft;1954;No;7;No;1954;No;New;0.2200;0.2200;1.54;No
29128;Japan;Dominican Republic;MU-2;Light transport ac;Aircraft;1985;Yes;1;Yes;1985;Yes;New;2.6800;2.6800;2.68;No
8727;Japan;Gabon;YS-11A;Transport aircraft;Aircraft;1968;Yes;2;No;1971;No;New;7.5800;7.5800;15.16;No
23974;Japan;India;Jija Bai;Patrol craft;Ships;1981;No;3;No;1985;No;New;8.5000;8.5000;25.5;Yes
23974;Japan;India;Jija Bai;Patrol craft;Ships;1981;No;2;No;1984;No;New;8.5000;8.5000;17;Yes
23974;Japan;India;Jija Bai;Patrol craft;Ships;1981;No;2;No;1983;No;New;8.5000;8.5000;17;Yes
14646;Japan;Indonesia;Multatuli;Support ship;Ships;1960;Yes;1;No;1961;No;New;37.4400;37.4400;37.44;No
14632;Japan;Indonesia;LST-1;Landing ship;Ships;1960;Yes;1;No;1961;No;New;23.6200;23.6200;23.62;No
8066;Japan;Indonesia;T-34 Mentor;Trainer aircraft;Aircraft;1958;Yes;1;No;1959;No;New;0.2400;0.2400;0.24;No
5356;Japan;Indonesia;T-34 Mentor;Trainer aircraft;Aircraft;1962;Yes;10;Yes;1964;No;New;0.2400;0.2400;2.4;No
5356;Japan;Indonesia;T-34 Mentor;Trainer aircraft;Aircraft;1962;Yes;15;Yes;1963;No;New;0.2400;0.2400;3.6;No
5356;Japan;Indonesia;T-34 Mentor;Trainer aircraft;Aircraft;1962;Yes;15;Yes;1962;No;New;0.2400;0.2400;3.6;No
20862;Japan;Iran;Iran Ajr;Landing ship;Ships;1978;Yes;5;No;1980;Yes;New;25.0000;25.0000;125;No
5897;Japan;South Korea (ROK);KH-4;Light helicopter;Aircraft;1965;Yes;2;No;1966;No;New;0.5000;0.5000;1;No
20753;Japan;Sierra Leone;Pompoli;Landing ship;Ships;1978;Yes;3;No;1980;No;New;14.0000;14.0000;42;No
