Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
36043;Jordan;Brazil;F-5E Tiger-2;FGA aircraft;Aircraft;2007;No;8;No;2009;Yes;Second hand;10.0000;4;32;No
36043;Jordan;Brazil;F-5E Tiger-2;FGA aircraft;Aircraft;2007;No;3;No;2008;No;Second hand;10.0000;4;12;No
20122;Jordan;Greece;F-5A Freedom Fighter;FGA aircraft;Aircraft;1989;No;4;No;1989;No;Second hand;8.0000;3.2;12.8;No
19577;Jordan;Greece;T-37B;Trainer aircraft;Aircraft;1988;No;10;No;1988;No;Second hand;1.8000;0.72;7.2;No
4153;Jordan;Greece;F-5A Freedom Fighter;FGA aircraft;Aircraft;1983;No;15;No;1983;No;Second hand;8.0000;3.2;48;No
23911;Jordan;Guatemala;S-76 Spirit;Helicopter;Aircraft;1988;Yes;3;No;1989;No;Second hand;3.0000;1.2;3.6;No
23469;Jordan;Iraq;S-76 Spirit;Helicopter;Aircraft;1985;Yes;2;Yes;1985;No;Second hand;3.0000;1.2;2.4;No
35329;Jordan;Iraq;BTR-94;IFV;Armoured vehicles;2004;No;50;No;2004;No;New;0.8000;0.8000;40;No
35322;Jordan;Iraq;Spartan;APC;Armoured vehicles;2004;No;26;Yes;2004;No;Second hand;0.1800;0.072;1.872;No
35322;Jordan;Iraq;Spartan;APC;Armoured vehicles;2004;No;74;Yes;2005;Yes;Second hand;0.1800;0.072;5.328;No
35321;Jordan;Iraq;M-113;APC;Armoured vehicles;2004;No;100;Yes;2005;Yes;Second hand;0.2500;0.1;10;No
35086;Jordan;Iraq;Bell-205/UH-1H;Helicopter;Aircraft;2004;No;12;No;2007;No;Second hand;2.6200;1.048;12.576;No
35086;Jordan;Iraq;Bell-205/UH-1H;Helicopter;Aircraft;2004;No;4;No;2005;No;Second hand;2.6200;1.048;4.192;No
39615;Jordan;Kenya;F-5E Tiger-2;FGA aircraft;Aircraft;2007;Yes;3;Yes;2012;Yes;Second hand;10.0000;4;12;No
39615;Jordan;Kenya;F-5E Tiger-2;FGA aircraft;Aircraft;2007;Yes;12;Yes;2010;No;Second hand;10.0000;4;48;No
50202;Jordan;Lebanon;M-60A3 Patton-2;Tank;Armoured vehicles;2008;Yes;33;Yes;2010;No;Second hand;2.1000;0.84;27.72;No
50202;Jordan;Lebanon;M-60A3 Patton-2;Tank;Armoured vehicles;2008;Yes;33;Yes;2009;Yes;Second hand;2.1000;0.84;27.72;No
3913;Jordan;Lebanon;M-48A5 Patton;Tank;Armoured vehicles;1983;No;40;Yes;1983;Yes;Second hand;1.7500;0.7;28;No
13994;Jordan;South Africa;Sea Cat;SAM;Missiles;1973;Yes;555;Yes;1974;Yes;Second hand;0.0400;0.016;8.88;No
11440;Jordan;South Africa;Centurion-3;Tank;Armoured vehicles;1973;Yes;41;No;1973;Yes;Second hand;1.3500;0.54;22.14;No
15300;Jordan;South Africa;Tigercat;SAM system;Air defence systems;1973;Yes;14;Yes;1974;Yes;Second hand;0.1000;0.04;0.56;No
18574;Jordan;New Zealand;AGM-65 Maverick;ASM;Missiles;1986;Yes;100;Yes;1986;Yes;New;0.1500;0.1500;15;No
28315;Jordan;Philippines;F-5A Freedom Fighter;FGA aircraft;Aircraft;1996;Yes;2;No;1997;No;Second hand;8.0000;3.2;6.4;No
22507;Jordan;Singapore;F-5E Tiger-2;FGA aircraft;Aircraft;1994;No;7;No;1994;No;Second hand;10.0000;4;28;No
15544;Jordan;Singapore;C-130B Hercules;Transport aircraft;Aircraft;1976;Yes;2;No;1977;No;Second hand;23.0000;9.2;18.4;No
51333;Jordan;Libya;Nimr Armored;APV;Armoured vehicles;2009;No;49;Yes;2013;No;New;0.0300;0.0300;1.47;No
9660;Jordan;Oman;Hunter;FGA aircraft;Aircraft;1975;No;31;No;1975;No;Second hand;4.0000;1.6;49.6;No
9720;Jordan;Pakistan;F-104A Starfighter;Fighter aircraft;Aircraft;1971;No;10;Yes;1971;No;Second hand;9.0000;3.6;36;No
13348;Jordan;Saudi Arabia;Varsity;Transport/trainer ac;Aircraft;1959;Yes;1;No;1959;No;Second hand;5.0000;2;2;No
29781;Jordan;United States;Boeing-707;Transport aircraft;Aircraft;1993;Yes;2;No;1994;No;Second hand;44.5000;17.8;35.6;No
53026;Jordan;Yemen;M-113;APC;Armoured vehicles;2009;Yes;25;No;2010;Yes;Second hand;0.2500;0.1;2.5;No
51779;Jordan;Yemen;RATEL;APC;Armoured vehicles;2008;Yes;10;Yes;2010;Yes;Second hand;0.3000;0.12;1.2;No
