Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
22692;Kazakhstan;Congo;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1999;Yes;2;No;1999;No;Second hand;0.4500;0.18;0.36;No
29842;Kazakhstan;Angola;D-30 122mm;Towed gun;Artillery;1998;Yes;24;No;1999;No;Second hand;0.3500;0.14;3.36;No
29842;Kazakhstan;Angola;D-30 122mm;Towed gun;Artillery;1998;Yes;4;No;1998;No;Second hand;0.3500;0.14;0.56;No
24593;Kazakhstan;Angola;M-46 130mm;Towed gun;Artillery;1998;Yes;24;No;1999;No;Second hand;0.6500;0.26;6.24;No
29841;Kazakhstan;Angola;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1998;Yes;4;No;1998;No;Second hand;0.4500;0.18;0.72;No
32209;Kazakhstan;Ethiopia;M-46 130mm;Towed gun;Artillery;1999;Yes;6;No;2000;No;Second hand;0.6500;0.26;1.56;No
32208;Kazakhstan;Ethiopia;D-30 122mm;Towed gun;Artillery;1999;Yes;100;No;2000;No;Second hand;0.3500;0.14;14;No
39697;Kazakhstan;Georgia;9M114/AT-6 Spiral;Anti-tank missile;Missiles;2005;Yes;758;No;2006;No;Second hand;0.0200;0.008;6.064;No
32443;Kazakhstan;India;53-65;AS torpedo;Missiles;1993;Yes;3;Yes;2001;Yes;New;1.1000;1.1000;3.3;No
32443;Kazakhstan;India;53-65;AS torpedo;Missiles;1993;Yes;3;Yes;2000;Yes;New;1.1000;1.1000;3.3;No
32443;Kazakhstan;India;53-65;AS torpedo;Missiles;1993;Yes;3;Yes;1999;Yes;New;1.1000;1.1000;3.3;No
32443;Kazakhstan;India;53-65;AS torpedo;Missiles;1993;Yes;3;Yes;1998;Yes;New;1.1000;1.1000;3.3;No
32443;Kazakhstan;India;53-65;AS torpedo;Missiles;1993;Yes;3;Yes;1997;Yes;New;1.1000;1.1000;3.3;No
23303;Kazakhstan;North Korea (DPRK);SON-9/Fire Can;Fire control radar;Sensors;1995;No;4;No;1995;No;Second hand;0.5000;0.2;0.8;No
23304;Kazakhstan;North Korea (DPRK);KS-19 100mm;AA gun;Air defence systems;1995;No;24;No;1995;No;Second hand;0.6000;0.24;5.76;No
29365;Kazakhstan;North Korea (DPRK);MiG-21bis/Fishbed-N;Fighter aircraft;Aircraft;1998;Yes;34;Yes;1999;Yes;Second hand;12.5000;5;170;No
35708;Kazakhstan;Kyrgyzstan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2003;No;2;No;2004;No;Second hand;6.7500;2.7;5.4;No
31926;Kazakhstan;Nepal;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;1999;Yes;2;No;2001;No;Second hand but modernized;6.7500;4.455;8.91;No
23344;Kazakhstan;Serbia;Igla-1/SA-16 Gimlet;Portable SAM;Missiles;1995;No;226;No;1995;No;Second hand;0.0700;0.028;6.328;No
27167;Kazakhstan;Macedonia (FYROM);BTR-80;APC;Armoured vehicles;1998;No;12;No;1998;No;Second hand;0.3500;0.14;1.68;No
24298;Kazakhstan;Sri Lanka;An-24/Coke;Transport aircraft;Aircraft;1995;Yes;4;No;1996;No;Second hand;7.5000;3;12;No
