Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
4102;Libya;Burkina Faso;EE-9 Cascavel;Armoured car;Armoured vehicles;1983;No;12;Yes;1983;No;New;0.7500;0.7500;9;No
15215;Libya;Central African Republic;Ferret;APV;Armoured vehicles;1980;Yes;22;Yes;1981;Yes;Second hand;0.1200;0.048;1.056;No
22999;Libya;Central African Republic;M-43 120mm;Mortar;Artillery;1982;No;4;No;1982;No;Second hand;0.0500;0.02;0.08;No
3871;Libya;Central African Republic;T-55;Tank;Armoured vehicles;1982;No;4;No;1982;No;Second hand;1.2500;0.5;2;No
3870;Libya;Central African Republic;BTR-152;APC;Armoured vehicles;1982;No;4;No;1982;No;Second hand;0.1300;0.052;0.208;No
29915;Libya;Chad;An-26/Curl;Transport aircraft;Aircraft;1994;Yes;1;No;1994;Yes;Second hand;8.5000;3.4;3.4;No
50855;Libya;Chad;An-26/Curl;Transport aircraft;Aircraft;2007;Yes;1;No;2008;Yes;Second hand;8.5000;3.4;3.4;No
35268;Libya;DR Congo;MiG-23MS/Flogger-E;Fighter aircraft;Aircraft;1998;Yes;2;Yes;1998;No;Second hand;13.0000;5.2;10.4;No
4395;Libya;Ethiopia;T-55;Tank;Armoured vehicles;1983;Yes;90;Yes;1984;No;Second hand;1.2500;0.5;45;No
17586;Libya;Iran;R-17/SS-1c Scud-B;SSM;Missiles;1985;Yes;20;Yes;1985;No;Second hand;1.5000;0.6;12;No
17586;Libya;Iran;R-17/SS-1c Scud-B;SSM;Missiles;1985;Yes;10;Yes;1987;No;Second hand;1.5000;0.6;6;No
17586;Libya;Iran;R-17/SS-1c Scud-B;SSM;Missiles;1985;Yes;10;Yes;1986;No;Second hand;1.5000;0.6;6;No
17404;Libya;Iran;9P117/Scud-B TEL;Mobile SSM launcher;Artillery;1985;Yes;3;Yes;1985;No;Second hand;1.0000;0.4;1.2;No
2975;Libya;Iran;EE-9 Cascavel;Armoured car;Armoured vehicles;1980;No;130;Yes;1980;No;New;0.7200;0.7200;93.6;No
3201;Libya;Iran;T-54;Tank;Armoured vehicles;1981;No;60;Yes;1981;No;Second hand;1.1000;0.44;26.4;No
3200;Libya;Iran;T-55;Tank;Armoured vehicles;1981;No;65;Yes;1981;No;Second hand;1.2500;0.5;32.5;No
3199;Libya;Iran;T-62;Tank;Armoured vehicles;1981;No;65;Yes;1981;No;Second hand;1.8000;0.72;46.8;No
4604;Libya;Lesotho;Mi-2/Hoplite;Light helicopter;Aircraft;1983;Yes;2;No;1983;No;Second hand;1.1000;0.44;0.88;No
21821;Libya;Malta;SS-11/AS-11;Anti-tank missile;Missiles;1978;No;60;Yes;1978;Yes;New;0.0100;0.0100;0.6;No
14748;Libya;Malta;Vosper Type-A/B;Patrol craft;Ships;1978;Yes;3;No;1978;No;Second hand;5.9000;2.36;7.08;No
1096;Libya;Malta;SA-316B Alouette-3;Light helicopter;Aircraft;1980;Yes;3;No;1980;No;Second hand;0.9000;0.36;1.08;No
22944;Libya;Malta;Bell-206/OH-58;Light helicopter;Aircraft;1973;No;1;No;1973;No;Second hand;0.7000;0.28;0.28;No
33263;Libya;Namibia;Mi-8T/Hip-C;Helicopter;Aircraft;2001;Yes;2;No;2002;Yes;Second hand;6.0000;2.4;4.8;No
17658;Libya;Namibia;Mi-24D/Hind-D;Combat helicopter;Aircraft;2001;Yes;2;No;2002;Yes;Second hand;8.3400;3.336;6.672;No
28289;Libya;Niger;An-26/Curl;Transport aircraft;Aircraft;1997;No;1;No;1997;No;Second hand;8.5000;3.4;3.4;No
2854;Libya;Seychelles;Rallye-235;Light aircraft;Aircraft;1980;No;2;No;1980;No;Second hand;0.2400;0.096;0.192;No
19990;Libya;Somalia;T-55;Tank;Armoured vehicles;1989;No;32;No;1990;No;Second hand;1.2500;0.5;16;No
29018;Libya;Sudan;Mi-24D/Hind-D;Combat helicopter;Aircraft;1988;Yes;2;Yes;1989;No;Second hand;8.3400;3.336;6.672;No
18044;Libya;Sudan;MiG-23BN/Flogger-H;FGA aircraft;Aircraft;1987;Yes;12;Yes;1988;No;Second hand;12.5000;5;60;No
15024;Libya;Togo;T-54;Tank;Armoured vehicles;1982;Yes;2;Yes;1982;Yes;Second hand;1.1000;0.44;0.88;No
14016;Libya;Togo;EE-9 Cascavel;Armoured car;Armoured vehicles;1982;Yes;3;Yes;1983;No;New;0.7500;0.7500;2.25;No
3946;Libya;Nicaragua;Strela-2/SA-7 Grail;Portable SAM;Missiles;1981;Yes;50;Yes;1983;Yes;New;0.0400;0.0400;2;No
3946;Libya;Nicaragua;Strela-2/SA-7 Grail;Portable SAM;Missiles;1981;Yes;50;Yes;1982;Yes;New;0.0400;0.0400;2;No
3945;Libya;Nicaragua;9K33 Osa/SA-8;Mobile SAM system;Air defence systems;1981;Yes;2;Yes;1982;Yes;New;10.0000;10.0000;20;No
3944;Libya;Nicaragua;9M33/SA-8 Gecko;SAM;Missiles;1981;Yes;60;Yes;1982;Yes;New;0.1000;0.1000;6;No
4212;Libya;Nicaragua;SF-260;Trainer aircraft;Aircraft;1982;No;6;Yes;1982;No;Second hand;0.2400;0.096;0.576;No
1457;Libya;Syria;MiG-23BN/Flogger-H;FGA aircraft;Aircraft;1978;Yes;3;Yes;1979;No;New;12.5000;12.5000;37.5;No
638;Libya;Syria;T-62;Tank;Armoured vehicles;1978;No;200;Yes;1979;Yes;New;1.8000;1.8000;360;No
3813;Libya;Syria;MiG-23MS/Flogger-E;Fighter aircraft;Aircraft;1982;No;15;Yes;1982;No;Second hand;13.0000;5.2;78;No
3814;Libya;Syria;MiG-21PF/Fishbed-D;Fighter aircraft;Aircraft;1982;No;15;Yes;1982;No;Second hand;9.7500;3.9;58.5;No
1842;Libya;Turkey;F-5A Freedom Fighter;FGA aircraft;Aircraft;1975;Yes;7;No;1975;No;Second hand;8.0000;3.2;22.4;No
35790;Libya;UAE;CH-47C Chinook;Helicopter;Aircraft;2003;No;3;Yes;2009;No;Second hand;15.0000;6;18;No
35790;Libya;UAE;CH-47C Chinook;Helicopter;Aircraft;2003;No;3;Yes;2006;Yes;Second hand;15.0000;6;18;No
35790;Libya;UAE;CH-47C Chinook;Helicopter;Aircraft;2003;No;3;Yes;2010;No;Second hand;15.0000;6;18;No
24627;Libya;Uganda;Bell-206/OH-58;Light helicopter;Aircraft;1986;Yes;3;No;1987;No;Second hand;0.7000;0.28;0.84;No
15028;Libya;Uganda;T-34/85;Tank;Armoured vehicles;1976;Yes;10;Yes;1976;Yes;Second hand;0.9000;0.36;3.6;No
15025;Libya;Uganda;M-30 122mm;Towed gun;Artillery;1975;Yes;20;Yes;1975;Yes;Second hand;0.4500;0.18;3.6;No
51815;Libya;Uganda;MiG-23BN/Flogger-H;FGA aircraft;Aircraft;2002;No;2;Yes;2002;No;Second hand;12.5000;5;10;No
24630;Libya;Uganda;L-39Z Albatros;Trainer/combat ac;Aircraft;1986;Yes;3;No;1987;No;Second hand;5.0000;2;6;No
18646;Libya;Uganda;SF-260;Trainer aircraft;Aircraft;1987;No;2;No;1987;No;Second hand;0.2400;0.096;0.192;No
20202;Libya;Western Sahara;Strela-2/SA-7 Grail;Portable SAM;Missiles;1988;Yes;25;Yes;1988;No;New;0.0400;0.0400;1;No
18326;Libya;Western Sahara;9M111/AT-4 Spigot;Anti-tank missile;Missiles;1987;Yes;50;Yes;1988;No;New;0.0100;0.0100;0.5;No
17451;Libya;GUNT (Chad)*;SF-260;Trainer aircraft;Aircraft;1985;Yes;4;Yes;1985;No;Second hand;0.2400;0.096;0.384;No
27227;Libya;GUNT (Chad)*;EE-9 Cascavel;Armoured car;Armoured vehicles;1986;Yes;5;Yes;1986;Yes;New;0.7500;0.7500;3.75;No
3658;Libya;GUNT (Chad)*;F-27 Friendship;Transport aircraft;Aircraft;1981;No;1;No;1985;No;Second hand;8.5000;3.4;3.4;No
19957;Libya;Egypt;L-39Z Albatros;Trainer/combat ac;Aircraft;1990;No;10;Yes;1990;No;Second hand;5.0000;2;20;No
2985;Libya;Morocco;EE-11 Urutu;APC;Armoured vehicles;1985;Yes;60;Yes;1985;Yes;New;0.2500;0.2500;15;No
37423;Libya;Pakistan;Atar-9;Turbojet;Engines;2004;No;75;Yes;2005;No;New;1.5000;1.5000;112.5;No
37423;Libya;Pakistan;Atar-9;Turbojet;Engines;2004;No;75;Yes;2004;No;New;1.5000;1.5000;112.5;No
35337;Libya;Pakistan;Mirage-5;FGA aircraft;Aircraft;2004;No;3;Yes;2009;Yes;Second hand;12.0000;4.8;14.4;No
35337;Libya;Pakistan;Mirage-5;FGA aircraft;Aircraft;2004;No;2;Yes;2007;Yes;Second hand;12.0000;4.8;9.6;No
35337;Libya;Pakistan;Mirage-5;FGA aircraft;Aircraft;2004;No;3;Yes;2008;No;Second hand;12.0000;4.8;14.4;No
35337;Libya;Pakistan;Mirage-5;FGA aircraft;Aircraft;2004;No;2;Yes;2010;Yes;Second hand;12.0000;4.8;9.6;No
31216;Libya;Zimbabwe;MiG-23MS/Flogger-E;Fighter aircraft;Aircraft;2000;No;3;Yes;2003;Yes;Second hand;13.0000;5.2;15.6;No
21254;Libya;MNLF (Philippines)*;Strela-2/SA-7 Grail;Portable SAM;Missiles;1971;Yes;10;Yes;1972;Yes;Second hand;0.0400;0.016;0.16;No
18554;Libya;Provisional IRA (UK)*;Strela-2/SA-7 Grail;Portable SAM;Missiles;1986;No;10;Yes;1986;No;New;0.0400;0.0400;0.4;No
18542;Libya;Provisional IRA (UK)*;Strela-2/SA-7 Grail;Portable SAM;Missiles;1987;No;20;No;1987;No;New;0.0400;0.0400;0.8;No
