Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
36230;Moldova;Angola;An-32/Cline;Transport aircraft;Aircraft;1999;Yes;3;No;2002;No;Second hand;11.0000;4.4;13.2;No
36228;Moldova;Angola;An-72A/Coaler-C;Transport aircraft;Aircraft;2000;Yes;2;Yes;2008;No;Second hand;25.0000;10;20;No
36228;Moldova;Angola;An-72A/Coaler-C;Transport aircraft;Aircraft;2000;Yes;1;No;2007;No;Second hand;25.0000;10;10;No
36228;Moldova;Angola;An-72A/Coaler-C;Transport aircraft;Aircraft;2000;Yes;1;No;2001;No;Second hand;25.0000;10;10;No
36228;Moldova;Angola;An-72A/Coaler-C;Transport aircraft;Aircraft;2000;Yes;1;No;2002;No;Second hand;25.0000;10;10;No
36228;Moldova;Angola;An-72A/Coaler-C;Transport aircraft;Aircraft;2000;Yes;2;Yes;2009;Yes;Second hand;25.0000;10;20;No
36228;Moldova;Angola;An-72A/Coaler-C;Transport aircraft;Aircraft;2000;Yes;1;No;2003;No;Second hand;25.0000;10;10;No
50679;Moldova;Angola;An-24/Coke;Transport aircraft;Aircraft;2000;No;1;No;2006;No;Second hand;7.5000;3;3;No
50679;Moldova;Angola;An-24/Coke;Transport aircraft;Aircraft;2000;No;1;No;2000;No;Second hand;7.5000;3;3;No
50676;Moldova;Angola;An-12/Cub;Transport aircraft;Aircraft;2000;Yes;2;Yes;2005;No;Second hand;23.0000;9.2;18.4;No
50676;Moldova;Angola;An-12/Cub;Transport aircraft;Aircraft;2000;Yes;4;Yes;2002;No;Second hand;23.0000;9.2;36.8;No
50676;Moldova;Angola;An-12/Cub;Transport aircraft;Aircraft;2000;Yes;1;No;2008;No;Second hand;23.0000;9.2;9.2;No
50676;Moldova;Angola;An-12/Cub;Transport aircraft;Aircraft;2000;Yes;1;No;2007;No;Second hand;23.0000;9.2;9.2;No
50676;Moldova;Angola;An-12/Cub;Transport aircraft;Aircraft;2000;Yes;2;Yes;2001;No;Second hand;23.0000;9.2;18.4;No
32216;Moldova;Guinea;9M113/AT-5 Spandrel;Anti-tank missile;Missiles;2000;Yes;60;No;2000;No;New;0.0200;0.0200;1.2;No
32215;Moldova;Guinea;BM-22/9P140 Uragan;Self-propelled MRL;Artillery;2000;Yes;3;No;2000;No;Second hand;1.1000;0.44;1.32;No
32034;Moldova;Namibia;Mi-8T/Hip-C;Helicopter;Aircraft;2001;No;2;Yes;2001;No;Second hand;6.0000;2.4;4.8;No
55198;Moldova;United Kingdom;Ka-32/Helix-C;Helicopter;Aircraft;2011;Yes;2;No;2011;Yes;Second hand;7.2500;2.9;5.8;No
55197;Moldova;United Kingdom;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2011;Yes;2;No;2011;Yes;Second hand;6.7500;2.7;5.4;No
21604;Moldova;Romania;MiG-29S/Fulcrum-C;FGA aircraft;Aircraft;1992;Yes;1;No;1992;No;Second hand;28.5000;11.4;11.4;No
25645;Moldova;United States;MiG-29S/Fulcrum-C;FGA aircraft;Aircraft;1997;No;14;No;1997;No;Second hand;28.5000;11.4;159.6;No
25640;Moldova;United States;MiG-29/Fulcrum-A;Fighter aircraft;Aircraft;1997;No;7;No;1997;No;Second hand;20.6500;8.26;57.82;No
22517;Moldova;Southern rebels (Yemen)*;BM-22/9P140 Uragan;Self-propelled MRL;Artillery;1994;No;7;No;1994;No;Second hand;1.1000;0.44;3.08;No
22311;Moldova;Southern rebels (Yemen)*;MiG-29/Fulcrum-A;Fighter aircraft;Aircraft;1994;No;4;Yes;1994;No;Second hand;20.6500;8.26;33.04;No
