Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
22757;Netherlands;Australia;LW-02;Air search radar;Sensors;1969;Yes;1;Yes;1971;Yes;New;7.0000;7.0000;7;No
22756;Netherlands;Australia;WM-20;Fire control radar;Sensors;1969;Yes;2;Yes;1973;Yes;New;6.0000;6.0000;12;No
22756;Netherlands;Australia;WM-20;Fire control radar;Sensors;1969;Yes;2;Yes;1971;Yes;New;6.0000;6.0000;12;No
22755;Netherlands;Australia;LW-02;Air search radar;Sensors;1967;Yes;1;No;1968;Yes;New;7.0000;7.0000;7;No
21347;Netherlands;Australia;LW-02;Air search radar;Sensors;1957;Yes;1;No;1965;No;New;7.0000;7.0000;7;No
21347;Netherlands;Australia;LW-02;Air search radar;Sensors;1957;Yes;1;No;1964;No;New;7.0000;7.0000;7;No
21347;Netherlands;Australia;LW-02;Air search radar;Sensors;1957;Yes;2;No;1963;No;New;7.0000;7.0000;14;No
21346;Netherlands;Australia;LW-02;Air search radar;Sensors;1963;Yes;2;No;1969;Yes;New;7.0000;7.0000;14;No
21345;Netherlands;Australia;WM-20;Fire control radar;Sensors;1963;Yes;2;No;1969;Yes;New;6.0000;6.0000;12;No
37659;Netherlands;Bangladesh;MIRADOR;EO search/fire control;Sensors;1998;Yes;1;No;2001;No;New;2.5000;2.5000;2.5;No
32030;Netherlands;Bangladesh;LIROD;Fire control radar;Sensors;1999;Yes;1;No;2001;No;New;2.5000;2.5000;2.5;No
32029;Netherlands;Bangladesh;Variant;Air/sea search radar;Sensors;1998;Yes;1;No;2001;No;New;4.7500;4.7500;4.75;No
32028;Netherlands;Bangladesh;DA-08;Air search radar;Sensors;1998;Yes;1;No;2001;No;New;9.0000;9.0000;9;No
38583;Netherlands;Canada;WM-20;Fire control radar;Sensors;1968;Yes;2;No;1973;No;New;6.0000;6.0000;12;No
38583;Netherlands;Canada;WM-20;Fire control radar;Sensors;1968;Yes;6;No;1972;No;New;6.0000;6.0000;36;No
21090;Netherlands;Canada;DA-08;Air search radar;Sensors;1986;No;1;No;1991;No;New;9.0000;9.0000;9;No
21090;Netherlands;Canada;DA-08;Air search radar;Sensors;1986;No;2;No;1994;No;New;9.0000;9.0000;18;No
21090;Netherlands;Canada;DA-08;Air search radar;Sensors;1986;No;1;No;1992;No;New;9.0000;9.0000;9;No
21088;Netherlands;Canada;LW-08;Air search radar;Sensors;1986;No;1;No;1991;No;New;9.5000;9.5000;9.5;No
21088;Netherlands;Canada;LW-08;Air search radar;Sensors;1986;No;2;No;1994;No;New;9.5000;9.5000;19;No
21088;Netherlands;Canada;LW-08;Air search radar;Sensors;1986;No;1;No;1992;No;New;9.5000;9.5000;9.5;No
39603;Netherlands;Canada;Leopard-2A4;Tank;Armoured vehicles;2007;No;12;Yes;2013;No;Second hand;4.0000;1.6;19.2;No
39603;Netherlands;Canada;Leopard-2A4;Tank;Armoured vehicles;2007;No;10;Yes;2012;No;Second hand;4.0000;1.6;16;No
39603;Netherlands;Canada;Leopard-2A4;Tank;Armoured vehicles;2007;No;12;Yes;2008;No;Second hand;4.0000;1.6;19.2;No
