Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
21334;New Zealand;Australia;CT-4 Airtrainer;Trainer aircraft;Aircraft;1972;No;17;Yes;1975;No;New;0.1500;0.1500;2.55;No
21334;New Zealand;Australia;CT-4 Airtrainer;Trainer aircraft;Aircraft;1972;No;20;Yes;1974;Yes;New;0.1500;0.1500;3;No
2760;New Zealand;Australia;CT-4 Airtrainer;Trainer aircraft;Aircraft;1980;No;10;Yes;1982;No;New;0.1500;0.1500;1.5;No
2760;New Zealand;Australia;CT-4 Airtrainer;Trainer aircraft;Aircraft;1980;No;4;Yes;1981;No;New;0.1500;0.1500;0.6;No
30015;New Zealand;Australia;A-4K Skyhawk-2;FGA aircraft;Aircraft;1991;No;6;No;1991;No;Second hand;14.0000;5.6;33.6;No
5373;New Zealand;Indonesia;Airtourer;Trainer aircraft;Aircraft;1970;Yes;2;Yes;1972;No;New;0.0800;0.0800;0.16;No
8802;New Zealand;Malaysia;Dove;Light transport ac;Aircraft;1964;No;2;No;1967;No;Second hand but modernized;0.6000;0.396;0.792;No
8831;New Zealand;Singapore;Airtourer;Trainer aircraft;Aircraft;1972;Yes;4;No;1973;No;New;0.0800;0.0800;0.32;No
8357;New Zealand;Singapore;Airtourer;Trainer aircraft;Aircraft;1969;Yes;2;No;1969;No;New;0.0800;0.0800;0.16;No
34796;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;2003;No;3;Yes;2005;No;New;0.1500;0.1500;0.45;No
34796;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;2003;No;5;Yes;2004;No;New;0.1500;0.1500;0.75;No
34795;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;2001;No;4;No;2002;No;New;0.1500;0.1500;0.6;No
31226;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;1998;Yes;6;Yes;2000;No;New;0.1500;0.1500;0.9;No
31226;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;1998;Yes;6;Yes;1999;No;New;0.1500;0.1500;0.9;No
21767;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;1990;No;6;No;1992;No;New;0.1500;0.1500;0.9;No
6726;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;1972;No;12;No;1974;No;New;0.1500;0.1500;1.8;No
6726;New Zealand;Thailand;CT-4 Airtrainer;Trainer aircraft;Aircraft;1972;No;12;No;1973;No;New;0.1500;0.1500;1.8;No
27183;New Zealand;Tonga;Airtourer;Trainer aircraft;Aircraft;1985;Yes;1;No;1986;No;Second hand;0.0800;0.032;0.032;No
25875;New Zealand;Pakistan;F-27 Friendship;Transport aircraft;Aircraft;1994;Yes;1;No;1994;No;Second hand;8.5000;3.4;3.4;No
25874;New Zealand;Pakistan;F-27 Friendship;Transport aircraft;Aircraft;1991;No;1;No;1992;Yes;Second hand;8.5000;3.4;3.4;No
32264;New Zealand;United States;MB-339C;Trainer/combat ac;Aircraft;2012;No;9;No;2012;No;Second hand;6.0000;2.4;21.6;No
31774;New Zealand;United States;A-4K Skyhawk-2;FGA aircraft;Aircraft;2012;No;8;No;2012;No;Second hand;14.0000;5.6;44.8;No
55009;New Zealand;United States;J-52;Turbojet;Engines;2012;No;20;No;2012;No;Second hand;1.1000;0.44;8.8;No
14597;New Zealand;North Yemen;F-27 Friendship;Transport aircraft;Aircraft;1984;Yes;2;No;1985;Yes;Second hand;8.5000;3.4;6.8;No
14597;New Zealand;North Yemen;F-27 Friendship;Transport aircraft;Aircraft;1984;Yes;3;No;1984;Yes;Second hand;8.5000;3.4;10.2;No
