Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
27963;Nicaragua;Ecuador;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;1992;Yes;2;No;1995;No;Second hand;6.7500;2.7;5.4;No
29511;Nicaragua;Bolivia;C-212;Transport aircraft;Aircraft;1989;No;1;No;1989;No;Second hand;3.8000;1.52;1.52;No
24167;Nicaragua;Costa Rica;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;1992;Yes;1;No;1993;Yes;Second hand;6.7500;2.7;2.7;No
25905;Nicaragua;Guatemala;P-51D Mustang;Fighter aircraft;Aircraft;1955;No;1;No;1955;No;Second hand;2.0000;0.8;0.8;No
28511;Nicaragua;Peru;Long Track;Air search radar;Sensors;1991;No;2;No;1992;No;Second hand;8.0000;3.2;6.4;No
24244;Nicaragua;Peru;P-12/Spoon Rest;Air search radar;Sensors;1992;No;3;Yes;1992;Yes;Second hand;4.5000;1.8;5.4;No
24243;Nicaragua;Peru;P-37/Bar Lock;Air search radar;Sensors;1992;No;2;Yes;1992;Yes;Second hand;5.0000;2;4;No
21505;Nicaragua;Peru;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;1992;No;2;No;1993;No;Second hand;6.7500;2.7;5.4;No
21505;Nicaragua;Peru;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;1992;No;11;No;1992;No;Second hand;6.7500;2.7;29.7;No
21503;Nicaragua;Peru;Mi-24D/Hind-D;Combat helicopter;Aircraft;1992;No;7;No;1992;No;Second hand;8.3400;3.336;23.352;No
21502;Nicaragua;Peru;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;1992;No;2;No;1993;No;Second hand;6.7500;2.7;5.4;No
21497;Nicaragua;Peru;Igla-1/SA-16 Gimlet;Portable SAM;Missiles;1992;No;108;Yes;1993;No;New;0.0700;0.0700;7.56;No
21497;Nicaragua;Peru;Igla-1/SA-16 Gimlet;Portable SAM;Missiles;1992;No;108;Yes;1992;No;New;0.0700;0.0700;7.56;No
26107;Nicaragua;FMLN (El Salvador)*;Igla-1/SA-16 Gimlet;Portable SAM;Missiles;1990;Yes;10;Yes;1990;Yes;New;0.0700;0.0700;0.7;No
20347;Nicaragua;FMLN (El Salvador)*;FIM-43C Redeye;Portable SAM;Missiles;1989;Yes;10;Yes;1989;Yes;New;0.0400;0.0400;0.4;No
20161;Nicaragua;FMLN (El Salvador)*;Strela-3/SA-14 Gremlin;Portable SAM;Missiles;1990;No;45;Yes;1990;Yes;New;0.0600;0.0600;2.7;No
19906;Nicaragua;FMLN (El Salvador)*;Strela-2/SA-7 Grail;Portable SAM;Missiles;1989;Yes;50;Yes;1990;No;New;0.0400;0.0400;2;No
19906;Nicaragua;FMLN (El Salvador)*;Strela-2/SA-7 Grail;Portable SAM;Missiles;1989;Yes;50;Yes;1989;No;New;0.0400;0.0400;2;No
