Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
14024;North Korea (DPRK);DR Congo;Project-123/P-4;FAC;Ships;1973;Yes;3;No;1974;No;Second hand;9.0000;3.6;10.8;No
51795;North Korea (DPRK);Ethiopia;YW-531/Type-63;APC;Armoured vehicles;2000;Yes;10;Yes;2000;Yes;New;0.2500;0.2500;2.5;No
52060;North Korea (DPRK);Guyana;Type-63 107mm;Towed MRL;Artillery;1982;Yes;6;Yes;1983;No;New;0.0500;0.0500;0.3;No
52058;North Korea (DPRK);Guyana;D-30 122mm;Towed gun;Artillery;1979;Yes;12;No;1980;No;New;0.3500;0.3500;4.2;No
28256;North Korea (DPRK);Iran;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1986;No;1000;Yes;1989;Yes;New;0.0100;0.0100;10;No
28256;North Korea (DPRK);Iran;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1986;No;1000;Yes;1988;Yes;New;0.0100;0.0100;10;No
28256;North Korea (DPRK);Iran;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1986;No;1000;Yes;1987;Yes;New;0.0100;0.0100;10;No
28256;North Korea (DPRK);Iran;9M14M/AT-3 Sagger;Anti-tank missile;Missiles;1986;No;1000;Yes;1986;Yes;New;0.0100;0.0100;10;No
26404;North Korea (DPRK);Iran;Type-63 107mm;Towed MRL;Artillery;1982;Yes;25;Yes;1986;Yes;New;0.0500;0.0500;1.25;No
26404;North Korea (DPRK);Iran;Type-63 107mm;Towed MRL;Artillery;1982;Yes;50;Yes;1985;Yes;New;0.0500;0.0500;2.5;No
26404;North Korea (DPRK);Iran;Type-63 107mm;Towed MRL;Artillery;1982;Yes;50;Yes;1984;Yes;New;0.0500;0.0500;2.5;No
26404;North Korea (DPRK);Iran;Type-63 107mm;Towed MRL;Artillery;1982;Yes;50;Yes;1983;Yes;New;0.0500;0.0500;2.5;No
26404;North Korea (DPRK);Iran;Type-63 107mm;Towed MRL;Artillery;1982;Yes;25;Yes;1982;Yes;New;0.0500;0.0500;1.25;No
25440;North Korea (DPRK);Iran;Chaho;Patrol craft;Ships;1986;Yes;3;No;1987;No;New;8.0000;8.0000;24;No
20677;North Korea (DPRK);Iran;9P117/Scud-B TEL;Mobile SSM launcher;Artillery;1993;Yes;6;Yes;1993;No;New;1.0000;1.0000;6;No
20677;North Korea (DPRK);Iran;9P117/Scud-B TEL;Mobile SSM launcher;Artillery;1993;Yes;2;Yes;1995;Yes;New;1.0000;1.0000;2;No
20677;North Korea (DPRK);Iran;9P117/Scud-B TEL;Mobile SSM launcher;Artillery;1993;Yes;2;Yes;1994;Yes;New;1.0000;1.0000;2;No
20156;North Korea (DPRK);Iran;M-1978 170mm;Self-propelled gun;Artillery;1986;No;10;Yes;1988;No;New;1.1000;1.1000;11;No
20156;North Korea (DPRK);Iran;M-1978 170mm;Self-propelled gun;Artillery;1986;No;10;Yes;1987;No;New;1.1000;1.1000;11;No
