Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
36720;Norway;Australia;Protector;APC turret;Other;2006;Yes;59;Yes;2007;Yes;New;0.0500;0.0500;2.95;No
54696;Norway;Australia;Skandi Bergen;OPV;Ships;2012;No;1;No;2012;No;Second hand;65.0000;26;26;No
29040;Norway;Australia;Penguin-2;Anti-ship missile;Missiles;1999;No;30;Yes;2003;Yes;New;0.7500;0.7500;22.5;Yes
29040;Norway;Australia;Penguin-2;Anti-ship missile;Missiles;1999;No;10;Yes;2002;No;New;0.7500;0.7500;7.5;Yes
24979;Norway;Australia;Penguin-2;Anti-ship missile;Missiles;1998;No;22;Yes;2002;No;New;0.7500;0.7500;16.5;Yes
24979;Norway;Australia;Penguin-2;Anti-ship missile;Missiles;1998;No;22;Yes;2001;No;New;0.7500;0.7500;16.5;Yes
52961;Norway;Canada;Protector;APC turret;Other;2006;No;25;No;2006;No;New;0.0500;0.0500;1.25;No
52285;Norway;Canada;Protector;APC turret;Other;2005;No;50;No;2006;No;New;0.0500;0.0500;2.5;No
37784;Norway;Canada;ALT;Anti-tank AV turret;Other;1986;Yes;36;Yes;1988;Yes;New;0.6000;0.6000;21.6;Yes
37784;Norway;Canada;ALT;Anti-tank AV turret;Other;1986;Yes;36;Yes;1987;Yes;New;0.6000;0.6000;21.6;Yes
52966;Norway;Croatia;Protector;APC turret;Other;2008;Yes;26;Yes;2012;No;New;0.0500;0.0500;1.3;No
52965;Norway;Croatia;Protector;APC turret;Other;2007;Yes;24;Yes;2011;No;New;0.0500;0.0500;1.2;No
52965;Norway;Croatia;Protector;APC turret;Other;2007;Yes;25;Yes;2010;Yes;New;0.0500;0.0500;1.25;No
52965;Norway;Croatia;Protector;APC turret;Other;2007;Yes;5;Yes;2009;Yes;New;0.0500;0.0500;0.25;No
28783;Norway;Austria;Bell-212/UH-1N;Helicopter;Aircraft;1998;No;1;No;1998;No;Second hand;3.7000;1.48;1.48;No
14266;Norway;Belgium;Aggressive;Minesweeper;Ships;1966;Yes;2;No;1966;No;Second hand;18.8100;7.524;15.048;No
51221;Norway;Botswana;Do-328;Transport aircraft;Aircraft;2009;No;1;No;2009;No;Second hand;8.5000;3.4;3.4;No
50534;Norway;Brazil;Penguin-2;Anti-ship missile;Missiles;2008;No;8;Yes;2012;Yes;New;0.7500;0.7500;6;No
52963;Norway;Czech Republic;Protector;APC turret;Other;2008;No;15;Yes;2008;No;New;0.0500;0.0500;0.75;No
52958;Norway;Czech Republic;Protector;APC turret;Other;2009;No;30;Yes;2012;No;New;0.0500;0.0500;1.5;No
52958;Norway;Czech Republic;Protector;APC turret;Other;2009;No;19;Yes;2011;No;New;0.0500;0.0500;0.95;No
52958;Norway;Czech Republic;Protector;APC turret;Other;2009;No;10;Yes;2010;Yes;New;0.0500;0.0500;0.5;No
25506;Norway;Denmark;MIM-23B HAWK;SAM;Missiles;1995;Yes;25;No;1996;No;New;0.1700;0.1700;4.25;No
15848;Norway;Denmark;Type-207;Submarine;Ships;1986;No;1;No;1991;No;Second hand but modernized;45.0000;29.7;29.7;No
15848;Norway;Denmark;Type-207;Submarine;Ships;1986;No;1;No;1990;No;Second hand but modernized;45.0000;29.7;29.7;No
15848;Norway;Denmark;Type-207;Submarine;Ships;1986;No;1;No;1989;No;Second hand but modernized;45.0000;29.7;29.7;No
14276;Norway;Denmark;S-38/S-Boot;FAC;Ships;1951;Yes;6;Yes;1951;Yes;Second hand;12.5000;5;30;No
9000;Norway;Denmark;AGM-12B Bullpup;ASM;Missiles;1962;Yes;150;Yes;1963;Yes;New;0.1000;0.1000;15;Yes
9000;Norway;Denmark;AGM-12B Bullpup;ASM;Missiles;1962;Yes;250;Yes;1965;Yes;New;0.1000;0.1000;25;Yes
9000;Norway;Denmark;AGM-12B Bullpup;ASM;Missiles;1962;Yes;250;Yes;1966;Yes;New;0.1000;0.1000;25;Yes
9000;Norway;Denmark;AGM-12B Bullpup;ASM;Missiles;1962;Yes;250;Yes;1967;Yes;New;0.1000;0.1000;25;Yes
9000;Norway;Denmark;AGM-12B Bullpup;ASM;Missiles;1962;Yes;150;Yes;1969;Yes;New;0.1000;0.1000;15;Yes
9000;Norway;Denmark;AGM-12B Bullpup;ASM;Missiles;1962;Yes;200;Yes;1964;No;New;0.1000;0.1000;20;Yes
9000;Norway;Denmark;AGM-12B Bullpup;ASM;Missiles;1962;Yes;250;Yes;1968;Yes;New;0.1000;0.1000;25;Yes
22988;Norway;Estonia;Storm;Patrol craft;Ships;1994;No;1;No;1995;No;Second hand;7.5000;3;3;No
38083;Norway;Finland;ST-570 Toadfish;ASW sonar;Sensors;1996;Yes;2;No;2005;No;New;1.5000;1.5000;3;No
38083;Norway;Finland;ST-570 Toadfish;ASW sonar;Sensors;1996;Yes;1;No;1998;No;New;1.5000;1.5000;1.5;No
38083;Norway;Finland;ST-570 Toadfish;ASW sonar;Sensors;1996;Yes;1;No;2006;Yes;New;1.5000;1.5000;1.5;No
29027;Norway;Finland;MD-500E;Light helicopter;Aircraft;1998;No;1;No;1999;No;Second hand;0.7000;0.28;0.28;No
52962;Norway;Finland;Protector;APC turret;Other;2006;Yes;25;Yes;2007;Yes;New;0.0500;0.0500;1.25;No
52962;Norway;Finland;Protector;APC turret;Other;2006;Yes;25;Yes;2008;Yes;New;0.0500;0.0500;1.25;No
50930;Norway;Finland;NASAMS;SAM system;Air defence systems;2009;No;2;Yes;2013;No;New;16.0000;16.0000;32;Yes
14077;Norway;Germany (FRG);Tjeld;FAC;Ships;1959;No;2;No;1960;No;New;12.5000;12.5000;25;No
24506;Norway;Greece;Penguin-2;Anti-ship missile;Missiles;1996;No;25;Yes;1997;Yes;New;0.7500;0.7500;18.75;No
21216;Norway;Greece;Penguin-2;Anti-ship missile;Missiles;1993;No;16;Yes;1995;No;New;0.7500;0.7500;12;No
21216;Norway;Greece;Penguin-2;Anti-ship missile;Missiles;1993;No;4;Yes;1994;No;New;0.7500;0.7500;3;No
14422;Norway;Greece;Tjeld;FAC;Ships;1965;No;6;No;1967;No;New;12.5000;12.5000;75;No
8021;Norway;Greece;HU-16B Albatross;MP/transport ac;Aircraft;1968;Yes;8;Yes;1969;No;Second hand;4.0000;1.6;12.8;No
1055;Norway;Greece;Penguin-2;Anti-ship missile;Missiles;1976;Yes;38;Yes;1981;Yes;New;0.7500;0.7500;28.5;No
1055;Norway;Greece;Penguin-2;Anti-ship missile;Missiles;1976;Yes;37;Yes;1980;Yes;New;0.7500;0.7500;27.75;No
