Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
34899;Pakistan;Bangladesh;T-37B;Trainer aircraft;Aircraft;2003;No;10;Yes;2004;Yes;Second hand;1.8000;0.72;7.2;No
33392;Pakistan;Bangladesh;Red Arrow-8;Anti-tank missile;Missiles;2001;Yes;170;Yes;2004;No;New;0.0100;0.0100;1.7;No
33392;Pakistan;Bangladesh;Red Arrow-8;Anti-tank missile;Missiles;2001;Yes;60;Yes;2001;No;New;0.0100;0.0100;0.6;No
16158;Pakistan;Bangladesh;M-24 Chaffee;Light tank;Armoured vehicles;1971;No;10;Yes;1971;Yes;Second hand;0.7500;0.3;3;No
19594;Pakistan;Bangladesh;F-6/Farmer;Fighter aircraft;Aircraft;1989;No;40;Yes;1990;No;Second hand;5.0000;2;80;No
32452;Pakistan;Iran;Delvar;Cargo ship;Ships;1979;Yes;1;Yes;1980;Yes;New;15.0000;15.0000;15;No
32452;Pakistan;Iran;Delvar;Cargo ship;Ships;1979;Yes;2;Yes;1982;No;New;15.0000;15.0000;30;No
32452;Pakistan;Iran;Delvar;Cargo ship;Ships;1979;Yes;2;Yes;1981;No;New;15.0000;15.0000;30;No
20271;Pakistan;Iran;MFI-17 Supporter;Trainer aircraft;Aircraft;1989;No;12;Yes;1991;No;New;0.2200;0.2200;2.64;No
20271;Pakistan;Iran;MFI-17 Supporter;Trainer aircraft;Aircraft;1989;No;10;Yes;1990;No;New;0.2200;0.2200;2.2;No
20271;Pakistan;Iran;MFI-17 Supporter;Trainer aircraft;Aircraft;1989;No;3;No;1989;No;New;0.2200;0.2200;0.66;No
34845;Pakistan;Iran;MFI-17 Supporter;Trainer aircraft;Aircraft;2002;No;1;No;2002;Yes;New;0.2200;0.2200;0.22;No
36271;Pakistan;Iraq;Mohafiz;APV;Armoured vehicles;2004;No;20;No;2005;No;New;0.1000;0.1000;2;No
36271;Pakistan;Iraq;Mohafiz;APV;Armoured vehicles;2004;No;40;Yes;2006;Yes;New;0.1000;0.1000;4;No
36270;Pakistan;Iraq;Talha;APC;Armoured vehicles;2004;No;44;No;2005;No;New;0.2600;0.2600;11.44;No
13171;Pakistan;Jordan;F-86F Sabre;Fighter aircraft;Aircraft;1966;Yes;4;No;1967;No;Second hand;3.5000;1.4;5.6;No
30251;Pakistan;Malaysia;Red Arrow-8;Anti-tank missile;Missiles;2001;No;225;Yes;2003;Yes;New;0.0100;0.0100;2.25;No
30251;Pakistan;Malaysia;Red Arrow-8;Anti-tank missile;Missiles;2001;No;225;Yes;2002;Yes;New;0.0100;0.0100;2.25;No
30151;Pakistan;Malaysia;QW-1 Vanguard;Portable SAM;Missiles;2001;No;80;Yes;2003;Yes;New;0.0700;0.0700;5.6;No
30151;Pakistan;Malaysia;QW-1 Vanguard;Portable SAM;Missiles;2001;No;80;Yes;2002;Yes;New;0.0700;0.0700;5.6;No
22514;Pakistan;Syria;MFI-17 Supporter;Trainer aircraft;Aircraft;1994;No;6;No;1994;No;New;0.2200;0.2200;1.32;No
24414;Pakistan;Oman;MFI-17 Supporter;Trainer aircraft;Aircraft;2002;No;5;No;2002;No;New;0.2200;0.2200;1.1;No
22502;Pakistan;Oman;MFI-17 Supporter;Trainer aircraft;Aircraft;1994;No;3;No;1994;No;New;0.2200;0.2200;0.66;No
32896;Pakistan;Saudi Arabia;MFI-17 Supporter;Trainer aircraft;Aircraft;2003;Yes;20;Yes;2005;No;New;0.2200;0.2200;4.4;No
55764;Pakistan;Sri Lanka;Red Arrow-8;Anti-tank missile;Missiles;2007;Yes;100;Yes;2008;Yes;New;0.0100;0.0100;1;No
30725;Pakistan;Sri Lanka;KRL-122 122mm;Self-propelled MRL;Artillery;2000;No;6;Yes;2000;No;New;0.4500;0.4500;2.7;No
