Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
56147;Poland;Burkina Faso;Xenon;Light aircraft;Aircraft;2010;No;2;No;2010;No;New;0.0600;0.0600;0.12;No
34078;Poland;Croatia;MiG-21PFM/Fishbed-F;Fighter aircraft;Aircraft;2002;No;2;Yes;2004;Yes;Second hand;10.0000;4;8;No
34078;Poland;Croatia;MiG-21PFM/Fishbed-F;Fighter aircraft;Aircraft;2002;No;2;Yes;2003;Yes;Second hand;10.0000;4;8;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;4;No;1990;No;New;1.1000;1.1000;4.4;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;10;No;1989;No;New;1.1000;1.1000;11;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;8;No;1987;No;New;1.1000;1.1000;8.8;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;7;No;1986;No;New;1.1000;1.1000;7.7;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;6;No;1985;No;New;1.1000;1.1000;6.6;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;6;No;1984;No;New;1.1000;1.1000;6.6;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;7;No;1983;No;New;1.1000;1.1000;7.7;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;7;No;1982;No;New;1.1000;1.1000;7.7;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;3;No;1979;No;New;1.1000;1.1000;3.3;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;3;No;1978;No;New;1.1000;1.1000;3.3;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;6;No;1975;No;New;1.1000;1.1000;6.6;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;2;No;1973;No;New;1.1000;1.1000;2.2;No
19209;Poland;Czechoslovakia;Mi-2/Hoplite;Light helicopter;Aircraft;1971;Yes;2;No;1972;No;New;1.1000;1.1000;2.2;No
53971;Poland;Czechoslovakia;Su-7B/Fitter-A;FGA aircraft;Aircraft;1971;No;1;No;1971;No;Second hand;6.5000;2.6;2.6;No
