Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
29846;Romania;Bosnia and Herzegovina;M-46 130mm;Towed gun;Artillery;1998;Yes;8;No;1998;No;Second hand;0.6500;0.26;2.08;No
28165;Romania;Bosnia and Herzegovina;APR-40 122mm;Self-propelled MRL;Artillery;1997;Yes;18;No;1997;No;New;0.4500;0.4500;8.1;No
52128;Romania;Burkina Faso;APR-40 122mm;Self-propelled MRL;Artillery;2009;No;5;No;2009;No;Second hand;0.4500;0.18;0.9;No
29911;Romania;DR Congo;SA-330 Puma;Helicopter;Aircraft;1970;Yes;1;No;1971;No;New;6.0000;6.0000;6;No
4109;Romania;Angola;SA-316B Alouette-3;Light helicopter;Aircraft;1982;Yes;12;Yes;1985;No;New;0.9000;0.9000;10.8;No
4109;Romania;Angola;SA-316B Alouette-3;Light helicopter;Aircraft;1982;Yes;12;Yes;1984;No;New;0.9000;0.9000;10.8;No
4109;Romania;Angola;SA-316B Alouette-3;Light helicopter;Aircraft;1982;Yes;12;Yes;1983;No;New;0.9000;0.9000;10.8;No
25770;Romania;Cameroon;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1995;Yes;20;No;1996;No;Second hand;0.4500;0.18;3.6;No
22178;Romania;Cameroon;M-46 130mm;Towed gun;Artillery;1991;Yes;12;No;1992;No;Second hand;0.6500;0.26;3.12;No
33883;Romania;Cote dIvoire;SA-330 Puma;Helicopter;Aircraft;2002;No;4;No;2003;No;New;6.0000;6.0000;24;No
4862;Romania;Ethiopia;SA-316B Alouette-3;Light helicopter;Aircraft;1977;Yes;10;Yes;1978;Yes;New;0.9000;0.9000;9;No
32212;Romania;Guinea;M-46 130mm;Towed gun;Artillery;2000;Yes;12;No;2000;No;Second hand;0.6500;0.26;3.12;No
25198;Romania;Guinea;SA-330 Puma;Helicopter;Aircraft;1978;Yes;1;Yes;1979;Yes;New;6.0000;6.0000;6;No
5150;Romania;Guinea;SA-316B Alouette-3;Light helicopter;Aircraft;1973;Yes;1;Yes;1974;Yes;New;0.9000;0.9000;0.9;No
22111;Romania;Hungary;Yak-52;Trainer aircraft;Aircraft;1994;No;12;No;1994;No;New;0.3100;0.3100;3.72;No
15438;Romania;Iraq;T-55;Tank;Armoured vehicles;1981;Yes;50;Yes;1984;No;New;1.2500;1.2500;62.5;No
15438;Romania;Iraq;T-55;Tank;Armoured vehicles;1981;Yes;50;Yes;1983;No;New;1.2500;1.2500;62.5;No
15438;Romania;Iraq;T-55;Tank;Armoured vehicles;1981;Yes;50;Yes;1982;No;New;1.2500;1.2500;62.5;No
22029;Romania;Kenya;SA-330 Puma;Helicopter;Aircraft;1977;Yes;3;Yes;1980;Yes;New;6.0000;6.0000;18;No
22029;Romania;Kenya;SA-330 Puma;Helicopter;Aircraft;1977;Yes;3;Yes;1979;Yes;New;6.0000;6.0000;18;No
22029;Romania;Kenya;SA-330 Puma;Helicopter;Aircraft;1977;Yes;3;Yes;1978;Yes;New;6.0000;6.0000;18;No
1779;Romania;Lebanon;SA-330 Puma;Helicopter;Aircraft;1983;Yes;6;No;1984;No;New;6.0000;6.0000;36;No
18322;Romania;Liberia;BS-3 100mm;Towed gun;Artillery;1986;Yes;8;Yes;1987;No;Second hand;0.3500;0.14;1.12;No
18321;Romania;Liberia;M-30 122mm;Towed gun;Artillery;1986;Yes;6;Yes;1987;No;Second hand;0.4500;0.18;1.08;No
18001;Romania;Liberia;BTR-60PB;APC;Armoured vehicles;1986;Yes;8;Yes;1987;No;Second hand;0.2500;0.1;0.8;No
18000;Romania;Liberia;APR-40 122mm;Self-propelled MRL;Artillery;1986;Yes;6;Yes;1987;No;New;0.4500;0.4500;2.7;No
17999;Romania;Liberia;BTR-50;APC;Armoured vehicles;1986;Yes;8;Yes;1987;No;Second hand;0.2500;0.1;0.8;No
29091;Romania;Moldova;D-30 122mm;Towed gun;Artillery;1992;Yes;18;No;1992;No;Second hand;0.3500;0.14;2.52;No
28500;Romania;Moldova;M-43 120mm;Mortar;Artillery;1994;Yes;30;Yes;1995;Yes;Second hand;0.0500;0.02;0.6;No
22958;Romania;Moldova;BTR-60PB;APC;Armoured vehicles;1992;Yes;80;No;1995;No;Second hand;0.2500;0.1;8;No
22958;Romania;Moldova;BTR-60PB;APC;Armoured vehicles;1992;Yes;30;No;1994;No;Second hand;0.2500;0.1;3;No
22958;Romania;Moldova;BTR-60PB;APC;Armoured vehicles;1992;Yes;51;No;1992;No;Second hand;0.2500;0.1;5.1;No
56906;Romania;Mozambique;R40S Festival;Light aircraft;Aircraft;2012;Yes;2;Yes;2013;Yes;New;0.0600;0.0600;0.12;No
23115;Romania;Nigeria;APR-40 122mm;Self-propelled MRL;Artillery;1991;Yes;6;Yes;1991;Yes;New;0.4500;0.4500;2.7;No
23115;Romania;Nigeria;APR-40 122mm;Self-propelled MRL;Artillery;1991;Yes;5;No;1992;No;New;0.4500;0.4500;2.25;No
22003;Romania;Nigeria;M-82 130mm;Towed gun;Artillery;1991;No;4;No;1992;No;Second hand;0.6500;0.26;1.04;No
21285;Romania;Sudan;SA-330 Puma;Helicopter;Aircraft;1984;No;5;No;1985;No;New;6.0000;6.0000;30;No
4774;Romania;Sudan;SA-330 Puma;Helicopter;Aircraft;1984;No;5;Yes;1985;No;New;6.0000;6.0000;30;No
4774;Romania;Sudan;SA-330 Puma;Helicopter;Aircraft;1984;No;5;Yes;1984;No;New;6.0000;6.0000;30;No
54052;Romania;Netherlands;Holland;OPV;Ships;2007;No;1;No;2013;No;New;108.1000;108.1000;108.1;No
