Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
54430;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2013;No;12;No;2013;No;New;6.7500;6.7500;81;No
51940;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2011;No;12;No;2012;No;New;6.7500;6.7500;81;No
51940;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2011;No;9;No;2011;No;New;6.7500;6.7500;60.75;No
52626;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2010;No;10;No;2010;No;New;6.7500;6.7500;67.5;No
50788;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2009;No;4;No;2009;No;New;6.7500;6.7500;27;No
33636;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2002;Yes;4;No;2005;No;Second hand;6.7500;2.7;10.8;No
33636;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2002;Yes;3;No;2002;No;Second hand;6.7500;2.7;8.1;No
33756;Russia;Afghanistan;An-12/Cub;Transport aircraft;Aircraft;2002;Yes;1;Yes;2002;Yes;Second hand;23.0000;9.2;9.2;No
33281;Russia;Afghanistan;Mi-24D/Hind-D;Combat helicopter;Aircraft;2002;Yes;5;Yes;2002;Yes;Second hand;8.3400;3.336;16.68;No
53791;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2010;Yes;6;No;2011;No;Second hand;6.7500;2.7;16.2;No
33640;Russia;Afghanistan;Mi-8MT/Mi-17/Hip-H;Helicopter;Aircraft;2005;Yes;4;Yes;2005;Yes;Second hand;6.7500;2.7;10.8;No
35266;Russia;Armenia;Il-76M/Candid-B;Transport aircraft;Aircraft;2004;No;2;No;2004;No;Second hand;85.0000;34;68;No
54260;Russia;Armenia;Tigr;APV;Armoured vehicles;2010;Yes;10;Yes;2011;No;New;0.1500;0.1500;1.5;No
52984;Russia;Armenia;5V55U/SA-10C Grumble;SAM;Missiles;2007;Yes;72;Yes;2010;Yes;Second hand;1.0000;0.4;28.8;No
52984;Russia;Armenia;5V55U/SA-10C Grumble;SAM;Missiles;2007;Yes;72;Yes;2009;Yes;Second hand;1.0000;0.4;28.8;No
24743;Russia;Armenia;M-1943/D-1 152mm;Towed gun;Artillery;1995;Yes;9;Yes;1996;Yes;Second hand;0.5000;0.2;1.8;No
24743;Russia;Armenia;M-1943/D-1 152mm;Towed gun;Artillery;1995;Yes;9;Yes;1995;Yes;Second hand;0.5000;0.2;1.8;No
24745;Russia;Armenia;D-20 152mm;Towed gun;Artillery;1995;Yes;9;Yes;1996;Yes;Second hand;0.5000;0.2;1.8;No
24745;Russia;Armenia;D-20 152mm;Towed gun;Artillery;1995;Yes;9;Yes;1995;Yes;Second hand;0.5000;0.2;1.8;No
24747;Russia;Armenia;9P117/Scud-B TEL;Mobile SSM launcher;Artillery;1995;Yes;8;No;1996;No;Second hand;1.0000;0.4;3.2;No
24746;Russia;Armenia;D-30 122mm;Towed gun;Artillery;1995;Yes;18;Yes;1996;Yes;Second hand;0.3500;0.14;2.52;No
24746;Russia;Armenia;D-30 122mm;Towed gun;Artillery;1995;Yes;18;Yes;1995;Yes;Second hand;0.3500;0.14;2.52;No
24748;Russia;Armenia;R-17/SS-1c Scud-B;SSM;Missiles;1995;Yes;24;No;1996;No;Second hand;1.5000;0.6;14.4;No
24753;Russia;Armenia;T-72;Tank;Armoured vehicles;1994;No;27;Yes;1996;No;Second hand;2.1400;0.856;23.112;No
24753;Russia;Armenia;T-72;Tank;Armoured vehicles;1994;No;27;Yes;1995;No;Second hand;2.1400;0.856;23.112;No
24753;Russia;Armenia;T-72;Tank;Armoured vehicles;1994;No;30;Yes;1994;No;Second hand;2.1400;0.856;25.68;No
24752;Russia;Armenia;BMP-2;IFV;Armoured vehicles;1995;No;33;Yes;1996;No;Second hand;0.9000;0.36;11.88;No
24752;Russia;Armenia;BMP-2;IFV;Armoured vehicles;1995;No;17;Yes;1995;Yes;Second hand;0.9000;0.36;6.12;No
25783;Russia;Armenia;BRDM-2;Tank destroyer;Armoured vehicles;1993;Yes;2;Yes;1996;Yes;Second hand;0.8000;0.32;0.64;No
25783;Russia;Armenia;BRDM-2;Tank destroyer;Armoured vehicles;1993;Yes;2;Yes;1995;Yes;Second hand;0.8000;0.32;0.64;No
24859;Russia;Armenia;Igla/SA-18 Grouse;Portable SAM;Missiles;1995;Yes;100;Yes;1996;Yes;New;0.0800;0.0800;8;No
24859;Russia;Armenia;Igla/SA-18 Grouse;Portable SAM;Missiles;1995;Yes;100;Yes;1995;Yes;New;0.0800;0.0800;8;No
24751;Russia;Armenia;9M33/SA-8 Gecko;SAM;Missiles;1993;Yes;20;Yes;1994;Yes;New;0.1000;0.1000;2;No
24751;Russia;Armenia;9M33/SA-8 Gecko;SAM;Missiles;1993;Yes;20;Yes;1993;Yes;New;0.1000;0.1000;2;No
24749;Russia;Armenia;3M8M1/SA-4 Ganef;SAM;Missiles;1993;Yes;349;Yes;1994;Yes;New;0.2000;0.2000;69.8;No
24744;Russia;Armenia;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1995;Yes;9;Yes;1996;Yes;Second hand;0.4500;0.18;1.62;No
24744;Russia;Armenia;BM-21 Grad 122mm;Self-propelled MRL;Artillery;1995;Yes;9;Yes;1995;Yes;Second hand;0.4500;0.18;1.62;No
24750;Russia;Armenia;2K11 Krug/SA-4 Ganef;SAM system;Air defence systems;1993;Yes;9;Yes;1994;Yes;Second hand;35.0000;14;126;No
25364;Russia;Armenia;9M111/AT-4 Spigot;Anti-tank missile;Missiles;1993;Yes;236;Yes;1996;Yes;Second hand;0.0100;0.004;0.944;No
25364;Russia;Armenia;9M111/AT-4 Spigot;Anti-tank missile;Missiles;1993;Yes;236;Yes;1995;Yes;Second hand;0.0100;0.004;0.944;No
25364;Russia;Armenia;9M111/AT-4 Spigot;Anti-tank missile;Missiles;1993;Yes;236;Yes;1994;Yes;Second hand;0.0100;0.004;0.944;No
25364;Russia;Armenia;9M111/AT-4 Spigot;Anti-tank missile;Missiles;1993;Yes;237;Yes;1993;Yes;Second hand;0.0100;0.004;0.948;No
52983;Russia;Armenia;S-300PS/SA-10B;SAM system;Air defence systems;2007;Yes;1;Yes;2009;Yes;Second hand;50.0000;20;20;No
52983;Russia;Armenia;S-300PS/SA-10B;SAM system;Air defence systems;2007;Yes;1;Yes;2010;Yes;Second hand;50.0000;20;20;No
57158;Russia;Azerbaijan;Igla-S/SA-24;Portable SAM;Missiles;2011;Yes;1000;No;2012;No;New;0.0800;0.0800;80;No
56616;Russia;Azerbaijan;9M117/AT-10 Stabber;Anti-tank missile;Missiles;2011;Yes;1000;Yes;2013;Yes;New;0.0200;0.0200;20;No
56398;Russia;Azerbaijan;9M317/SA-17 Grizzly;SAM;Missiles;2012;No;100;Yes;2013;No;New;0.2500;0.2500;25;No
56310;Russia;Azerbaijan;2S31 Vena;Self-propelled mortar;Artillery;2011;Yes;6;Yes;2012;Yes;New;0.9000;0.9000;5.4;No
56310;Russia;Azerbaijan;2S31 Vena;Self-propelled mortar;Artillery;2011;Yes;12;Yes;2013;No;New;0.9000;0.9000;10.8;No
