Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
10766;Saudi Arabia;Jordan;Hunter;Fighter aircraft;Aircraft;1967;No;3;No;1967;No;Second hand;3.6000;1.44;4.32;No
18310;Saudi Arabia;Jordan;AN/TPS-43;Air search radar;Sensors;1985;No;1;No;1985;No;New;9.0000;9.0000;9;No
4466;Saudi Arabia;Somalia;AML-60/90;Armoured car;Armoured vehicles;1984;Yes;20;Yes;1984;No;Second hand;0.3500;0.14;2.8;No
3079;Saudi Arabia;Sudan;M-41 Walker Bulldog;Light tank;Armoured vehicles;1981;No;53;Yes;1981;No;Second hand;1.1000;0.44;23.32;No
3078;Saudi Arabia;Sudan;M-47 Patton;Tank;Armoured vehicles;1981;No;17;No;1981;No;Second hand;1.0500;0.42;7.14;No
52187;Saudi Arabia;Turkey;C-130E Hercules;Transport aircraft;Aircraft;2010;No;6;Yes;2011;No;Second hand;24.0000;9.6;57.6;No
3104;Saudi Arabia;Egypt;C-123K Provider;Transport aircraft;Aircraft;1980;Yes;1;No;1981;No;Second hand;5.7500;2.3;2.3;No
22242;Saudi Arabia;Morocco;FH-70 155mm;Towed gun;Artillery;1991;Yes;35;Yes;1993;Yes;Second hand;1.0000;0.4;14;No
9669;Saudi Arabia;Oman;Bell-205/UH-1H;Helicopter;Aircraft;1971;Yes;2;No;1972;No;Second hand;2.6200;1.048;2.096;No
30163;Saudi Arabia;Palestine;Bell-212/UH-1N;Helicopter;Aircraft;1996;Yes;1;No;1996;Yes;Second hand;3.7000;1.48;1.48;No
53365;Saudi Arabia;United States;Boeing-707;Transport aircraft;Aircraft;2005;No;1;No;2006;No;Second hand;44.5000;17.8;17.8;No
53419;Saudi Arabia;Yemen;Al Shibl;APV/APC;Armoured vehicles;2010;Yes;10;Yes;2010;Yes;New;0.1400;0.1400;1.4;No
13535;Saudi Arabia;North Yemen;T-6 Texan;Trainer aircraft;Aircraft;1954;Yes;2;No;1955;Yes;Second hand;0.3200;0.128;0.256;No
512;Saudi Arabia;North Yemen;VIGILANT;Anti-tank missile;Missiles;1976;No;100;Yes;1976;No;New;0.0100;0.0100;1;No
511;Saudi Arabia;North Yemen;F-5A Freedom Fighter;FGA aircraft;Aircraft;1977;No;4;No;1977;No;Second hand;8.0000;3.2;12.8;No
