Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
39726;Slovakia;Afghanistan;D-30 122mm;Towed gun;Artillery;2006;No;24;No;2006;No;Second hand;0.3500;0.14;3.36;No
31702;Slovakia;Armenia;Su-25/Frogfoot-A;Ground attack ac;Aircraft;2004;Yes;10;Yes;2004;No;Second hand;12.0000;4.8;48;No
34635;Slovakia;Azerbaijan;T-72M1;Tank;Armoured vehicles;2002;Yes;1;No;2002;No;Second hand;2.6000;1.04;1.04;No
51678;Slovakia;Central African Republic;OT-90;APC;Armoured vehicles;2008;No;3;Yes;2008;No;Second hand;0.3200;0.128;0.384;No
24487;Slovakia;Ecuador;RM-70 122mm;Self-propelled MRL;Artillery;1994;Yes;6;No;1995;No;Second hand;0.4800;0.192;1.152;No
34640;Slovakia;Angola;L-29 Delfin;Trainer aircraft;Aircraft;2002;Yes;6;No;2002;No;Second hand;1.0000;0.4;2.4;No
32520;Slovakia;Angola;L-29 Delfin;Trainer aircraft;Aircraft;1999;Yes;6;No;1999;No;Second hand;1.0000;0.4;2.4;No
32218;Slovakia;Angola;T-55AM-2;Tank;Armoured vehicles;1999;Yes;55;No;2000;No;Second hand;1.5000;0.6;33;No
32218;Slovakia;Angola;T-55AM-2;Tank;Armoured vehicles;1999;Yes;150;No;1999;No;Second hand;1.5000;0.6;90;No
30319;Slovakia;Angola;Su-22/Fitter-H/J/K;FGA aircraft;Aircraft;1999;Yes;5;No;2001;No;Second hand;13.0000;5.2;26;No
30319;Slovakia;Angola;Su-22/Fitter-H/J/K;FGA aircraft;Aircraft;1999;Yes;6;No;1999;No;Second hand;13.0000;5.2;31.2;No
23237;Slovakia;Angola;OT-64C;APC;Armoured vehicles;1993;Yes;9;No;1994;No;Second hand;0.2200;0.088;0.792;No
23236;Slovakia;Angola;RM-70 122mm;Self-propelled MRL;Artillery;1993;Yes;40;No;1994;No;Second hand;0.4800;0.192;7.68;No
39725;Slovakia;Angola;L-39C Albatros;Trainer aircraft;Aircraft;2005;Yes;2;No;2006;No;Second hand;4.4100;1.764;3.528;No
25800;Slovakia;Cambodia;Mi-8T/Hip-C;Helicopter;Aircraft;1995;Yes;2;No;1997;No;Second hand;6.0000;2.4;4.8;No
57087;Slovakia;Cambodia;BMP-1;IFV;Armoured vehicles;2012;No;8;No;2012;No;Second hand;0.9000;0.36;2.88;No
33808;Slovakia;Cyprus;Zuzana 155mm;Self-propelled gun;Artillery;2001;Yes;12;No;2007;No;New;1.3000;1.3000;15.6;No
55911;Slovakia;Cyprus;Tatrapan;APC;Armoured vehicles;2001;Yes;2;Yes;2007;Yes;New;0.2700;0.2700;0.54;No
28898;Slovakia;India;VT-72B;ARV;Armoured vehicles;1994;Yes;39;Yes;1997;No;New;1.2400;1.2400;48.36;No
28898;Slovakia;India;VT-72B;ARV;Armoured vehicles;1994;Yes;39;Yes;1996;No;New;1.2400;1.2400;48.36;No
27080;Slovakia;India;VT-72B;ARV;Armoured vehicles;1999;No;21;Yes;2002;Yes;New;1.2400;1.2400;26.04;No
27080;Slovakia;India;VT-72B;ARV;Armoured vehicles;1999;No;21;Yes;2001;Yes;New;1.2400;1.2400;26.04;No
21847;Slovakia;India;VT-72B;ARV;Armoured vehicles;1993;No;35;No;1995;No;New;1.2400;1.2400;43.4;No
