Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
53510;South Africa;Azerbaijan;Marauder;APC;Armoured vehicles;2011;No;30;Yes;2012;No;New;0.1900;0.1900;5.7;No
53509;South Africa;Azerbaijan;Matador;APC;Armoured vehicles;2011;No;30;Yes;2012;No;New;0.1300;0.1300;3.9;No
51147;South Africa;Azerbaijan;Marauder;APC;Armoured vehicles;2009;No;7;No;2010;No;New;0.2200;0.2200;1.54;No
51147;South Africa;Azerbaijan;Marauder;APC;Armoured vehicles;2009;No;8;Yes;2011;No;New;0.2200;0.2200;1.76;No
51147;South Africa;Azerbaijan;Marauder;APC;Armoured vehicles;2009;No;10;No;2009;No;New;0.2200;0.2200;2.2;No
51146;South Africa;Azerbaijan;Matador;APC;Armoured vehicles;2009;No;15;No;2010;No;New;0.1300;0.1300;1.95;No
51146;South Africa;Azerbaijan;Matador;APC;Armoured vehicles;2009;No;10;Yes;2011;No;New;0.1300;0.1300;1.3;No
52147;South Africa;Azerbaijan;Vector;Helicopter turret;Other;2007;No;5;Yes;2009;Yes;New;0.5000;0.5000;2.5;No
52147;South Africa;Azerbaijan;Vector;Helicopter turret;Other;2007;No;5;Yes;2010;Yes;New;0.5000;0.5000;2.5;No
39722;South Africa;Burkina Faso;AML-60/90;Armoured car;Armoured vehicles;2005;Yes;4;No;2006;No;Second hand;0.3500;0.14;0.56;No
51451;South Africa;Burkina Faso;GILA;APC;Armoured vehicles;2009;Yes;6;No;2009;No;New;0.2000;0.2000;1.2;No
52792;South Africa;Burundi;Casspir;APC;Armoured vehicles;2008;Yes;17;No;2010;No;Second hand but modernized;0.2000;0.132;2.244;No
52792;South Africa;Burundi;Casspir;APC;Armoured vehicles;2008;Yes;10;No;2009;No;Second hand but modernized;0.2000;0.132;1.32;No
37487;South Africa;Canada;RG-31 Nyala;APC;Armoured vehicles;2005;No;50;No;2006;No;New;0.1800;0.1800;9;No
36554;South Africa;Canada;RG-31 Nyala;APC;Armoured vehicles;2006;No;25;No;2006;No;New;0.1800;0.1800;4.5;No
35747;South Africa;Canada;RG-31 Nyala;APC;Armoured vehicles;2003;Yes;1;No;2003;No;New;0.1800;0.1800;0.18;No
30072;South Africa;Canada;RG-31 Nyala;APC;Armoured vehicles;1999;No;2;No;1999;No;New;0.1800;0.1800;0.36;No
27081;South Africa;Congo;Mamba;APC;Armoured vehicles;1996;Yes;18;No;1997;No;New;0.1500;0.1500;2.7;No
56467;South Africa;Congo;Maverick;APC;Armoured vehicles;2012;Yes;5;No;2012;No;New;0.1000;0.1000;0.5;No
