Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
27892;South Korea (ROK);Bangladesh;DW-2000H;Frigate;Ships;1998;No;1;No;2001;No;New;183.0000;183.0000;183;No
26013;South Korea (ROK);Bangladesh;Sea Dragon;OPV;Ships;1995;No;1;No;1997;No;New;20.0000;20.0000;20;No
30767;South Korea (ROK);Bangladesh;Sea Dolphin;Patrol craft;Ships;2000;No;2;No;2000;No;Second hand;12.0000;4.8;9.6;No
25446;South Korea (ROK);Chile;KH-178 105mm;Towed gun;Artillery;1991;No;16;Yes;1991;Yes;New;0.6000;0.6000;9.6;No
51840;South Korea (ROK);Ghana;Sea Dolphin;Patrol craft;Ships;2010;No;1;No;2011;No;Second hand;12.0000;4.8;4.8;No
28687;South Korea (ROK);India;Samar;OPV;Ships;1991;No;1;No;1998;No;New;40.0000;40.0000;40;Yes
28687;South Korea (ROK);India;Samar;OPV;Ships;1991;No;1;No;1997;No;New;40.0000;40.0000;40;Yes
28687;South Korea (ROK);India;Samar;OPV;Ships;1991;No;1;No;1996;No;New;40.0000;40.0000;40;Yes
20583;South Korea (ROK);India;Sukhanya;OPV;Ships;1987;No;1;No;1993;No;New;36.0000;36.0000;36;Yes
20583;South Korea (ROK);India;Sukhanya;OPV;Ships;1987;No;3;No;1991;No;New;36.0000;36.0000;108;Yes
20583;South Korea (ROK);India;Sukhanya;OPV;Ships;1987;No;2;No;1990;No;New;36.0000;36.0000;72;Yes
20583;South Korea (ROK);India;Sukhanya;OPV;Ships;1987;No;1;No;1989;No;New;36.0000;36.0000;36;Yes
36310;South Korea (ROK);Indonesia;KT-1 Woong Bee;Trainer aircraft;Aircraft;2005;No;3;No;2008;No;New;1.6500;1.6500;4.95;No
36310;South Korea (ROK);Indonesia;KT-1 Woong Bee;Trainer aircraft;Aircraft;2005;No;2;No;2007;No;New;1.6500;1.6500;3.3;No
31892;South Korea (ROK);Indonesia;LPD-122m;AALS;Ships;2000;Yes;1;No;2003;No;New;86.1500;86.1500;86.15;No
14655;South Korea (ROK);Indonesia;Alligator;Landing ship;Ships;1981;No;2;No;1982;No;New;31.5000;31.5000;63;No
3195;South Korea (ROK);Indonesia;Alligator;Landing ship;Ships;1979;No;4;No;1981;No;New;31.5000;31.5000;126;No
104;South Korea (ROK);Indonesia;PSMM-5;FAC;Ships;1976;No;2;No;1980;No;New;52.5000;52.5000;105;No
104;South Korea (ROK);Indonesia;PSMM-5;FAC;Ships;1976;No;2;No;1979;No;New;52.5000;52.5000;105;No
51741;South Korea (ROK);Indonesia;LVTP-7;APC;Armoured vehicles;2009;No;10;No;2009;No;Second hand;0.9000;0.36;3.6;No
56795;South Korea (ROK);Indonesia;KH-179 155mm;Towed gun;Artillery;2011;Yes;18;No;2012;No;Second hand;0.8500;0.34;6.12;No
35936;South Korea (ROK);Indonesia;KH-178 105mm;Towed gun;Artillery;2010;Yes;54;Yes;2011;No;New;0.6000;0.6000;32.4;No
34231;South Korea (ROK);Indonesia;KT-1 Woong Bee;Trainer aircraft;Aircraft;2005;Yes;1;Yes;2011;Yes;New;1.6500;1.6500;1.65;No
34231;South Korea (ROK);Indonesia;KT-1 Woong Bee;Trainer aircraft;Aircraft;2005;Yes;7;Yes;2012;No;New;1.6500;1.6500;11.55;No
35922;South Korea (ROK);Indonesia;Barracuda;APC;Armoured vehicles;2003;Yes;20;Yes;2004;No;New;0.2000;0.2000;4;No
31418;South Korea (ROK);Indonesia;KT-1 Woong Bee;Trainer aircraft;Aircraft;2001;No;6;No;2003;No;New;1.6500;1.6500;9.9;No
31418;South Korea (ROK);Indonesia;KT-1 Woong Bee;Trainer aircraft;Aircraft;2001;No;1;No;2005;No;New;1.6500;1.6500;1.65;No
30911;South Korea (ROK);Indonesia;LPD-122m;AALS;Ships;2004;No;1;No;2011;No;New;86.1500;86.1500;86.15;Yes
30911;South Korea (ROK);Indonesia;LPD-122m;AALS;Ships;2004;No;1;No;2009;No;New;86.1500;86.1500;86.15;Yes
30911;South Korea (ROK);Indonesia;LPD-122m;AALS;Ships;2004;No;2;No;2007;No;New;86.1500;86.1500;172.3;Yes
40313;South Korea (ROK);Indonesia;T-50 Golden Eagle;Trainer/combat ac;Aircraft;2011;No;12;Yes;2013;No;New;17.8000;17.8000;213.6;No
