Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
37621;Soviet Union;Afghanistan;AI-25;Turbofan;Engines;1977;Yes;12;No;1977;No;New;0.6000;0.6000;7.2;No
33112;Soviet Union;Afghanistan;Mi-8T/Hip-C;Helicopter;Aircraft;1979;Yes;14;Yes;1980;No;New;6.0000;6.0000;84;No
33112;Soviet Union;Afghanistan;Mi-8T/Hip-C;Helicopter;Aircraft;1979;Yes;19;Yes;1979;No;New;6.0000;6.0000;114;No
33112;Soviet Union;Afghanistan;Mi-8T/Hip-C;Helicopter;Aircraft;1979;Yes;17;Yes;1981;Yes;New;6.0000;6.0000;102;No
33110;Soviet Union;Afghanistan;MiG-21MF/Fishbed-J;Fighter aircraft;Aircraft;1987;Yes;10;Yes;1990;Yes;Second hand;11.2000;4.48;44.8;No
33110;Soviet Union;Afghanistan;MiG-21MF/Fishbed-J;Fighter aircraft;Aircraft;1987;Yes;10;Yes;1989;Yes;Second hand;11.2000;4.48;44.8;No
33110;Soviet Union;Afghanistan;MiG-21MF/Fishbed-J;Fighter aircraft;Aircraft;1987;Yes;10;Yes;1988;Yes;Second hand;11.2000;4.48;44.8;No
33110;Soviet Union;Afghanistan;MiG-21MF/Fishbed-J;Fighter aircraft;Aircraft;1987;Yes;10;Yes;1987;Yes;Second hand;11.2000;4.48;44.8;No
33108;Soviet Union;Afghanistan;Strela-3/SA-14 Gremlin;Portable SAM;Missiles;1985;Yes;25;Yes;1989;Yes;New;0.0600;0.0600;1.5;No
33108;Soviet Union;Afghanistan;Strela-3/SA-14 Gremlin;Portable SAM;Missiles;1985;Yes;25;Yes;1988;Yes;New;0.0600;0.0600;1.5;No
33108;Soviet Union;Afghanistan;Strela-3/SA-14 Gremlin;Portable SAM;Missiles;1985;Yes;25;Yes;1987;Yes;New;0.0600;0.0600;1.5;No
33108;Soviet Union;Afghanistan;Strela-3/SA-14 Gremlin;Portable SAM;Missiles;1985;Yes;25;Yes;1986;Yes;New;0.0600;0.0600;1.5;No
33107;Soviet Union;Afghanistan;3M11/AT-2a Swatter;Anti-tank missile;Missiles;1980;Yes;333;Yes;1982;Yes;New;0.0200;0.0200;6.66;No
33107;Soviet Union;Afghanistan;3M11/AT-2a Swatter;Anti-tank missile;Missiles;1980;Yes;334;Yes;1981;Yes;New;0.0200;0.0200;6.68;No
33107;Soviet Union;Afghanistan;3M11/AT-2a Swatter;Anti-tank missile;Missiles;1980;Yes;333;Yes;1980;Yes;New;0.0200;0.0200;6.66;No
33101;Soviet Union;Afghanistan;R-60/AA-8 Aphid;SRAAM;Missiles;1988;Yes;80;Yes;1990;Yes;New;0.0900;0.0900;7.2;No
33101;Soviet Union;Afghanistan;R-60/AA-8 Aphid;SRAAM;Missiles;1988;Yes;85;Yes;1989;Yes;New;0.0900;0.0900;7.65;No
33101;Soviet Union;Afghanistan;R-60/AA-8 Aphid;SRAAM;Missiles;1988;Yes;85;Yes;1988;Yes;New;0.0900;0.0900;7.65;No
32533;Soviet Union;Afghanistan;Kh-25/AS-10 Karen;ASM/ARM;Missiles;1988;Yes;100;Yes;1989;Yes;New;0.1500;0.1500;15;No
32533;Soviet Union;Afghanistan;Kh-25/AS-10 Karen;ASM/ARM;Missiles;1988;Yes;100;Yes;1988;Yes;New;0.1500;0.1500;15;No
32384;Soviet Union;Afghanistan;Strela-10/SA-13 Gopher;SAM;Missiles;1986;Yes;200;Yes;1988;Yes;New;0.0600;0.0600;12;No
32384;Soviet Union;Afghanistan;Strela-10/SA-13 Gopher;SAM;Missiles;1986;Yes;200;Yes;1987;Yes;New;0.0600;0.0600;12;No
29611;Soviet Union;Afghanistan;BRDM-1;Reconnaissance AV;Armoured vehicles;1970;Yes;25;Yes;1971;Yes;Second hand;0.1200;0.048;1.2;No
29610;Soviet Union;Afghanistan;BRDM-2;Reconnaissance AV;Armoured vehicles;1979;Yes;25;Yes;1988;Yes;Second hand;0.1500;0.06;1.5;No
29610;Soviet Union;Afghanistan;BRDM-2;Reconnaissance AV;Armoured vehicles;1979;Yes;25;Yes;1987;Yes;Second hand;0.1500;0.06;1.5;No
29610;Soviet Union;Afghanistan;BRDM-2;Reconnaissance AV;Armoured vehicles;1979;Yes;25;Yes;1986;Yes;Second hand;0.1500;0.06;1.5;No
