Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
30827;Spain;Australia;A-330 MRTT;Tanker/transport ac;Aircraft;2004;No;4;Yes;2011;No;New;98.0000;98.0000;392;Yes
50102;Spain;Cape Verde;C-212;Transport aircraft;Aircraft;2008;No;1;No;2009;No;Second hand;3.8000;1.52;1.52;No
3997;Spain;Chad;C-212;Transport aircraft;Aircraft;1983;No;1;No;1983;No;New;3.8000;3.8000;3.8;No
3165;Spain;Congo;Piranha;Patrol craft;Ships;1980;No;3;No;1983;No;New;6.0000;6.0000;18;No
15362;Spain;Djibouti;C-212;Transport aircraft;Aircraft;1985;No;2;No;1986;No;New;3.8000;3.8000;7.6;No
35893;Spain;Ecuador;C-212;Transport aircraft;Aircraft;2004;No;2;No;2005;No;New;3.8000;3.8000;7.6;No
35892;Spain;Ecuador;CN-235;Transport aircraft;Aircraft;2004;No;1;No;2005;No;New;8.2000;8.2000;8.2;No
19025;Spain;Ecuador;CN-235;Transport aircraft;Aircraft;1988;No;2;No;1989;No;New;8.2000;8.2000;16.4;No
17575;Spain;Ecuador;BLR;APC;Armoured vehicles;1986;Yes;22;Yes;1986;Yes;New;0.2200;0.2200;4.84;No
34954;Spain;Ecuador;CN-235MP;MP aircraft;Aircraft;2003;No;1;No;2005;No;New;17.2000;17.2000;17.2;No
21252;Spain;Angola;Alcotan-30;Patrol craft;Ships;1991;No;3;No;1993;No;New;5.6000;5.6000;16.8;No
21252;Spain;Angola;Alcotan-30;Patrol craft;Ships;1991;No;1;No;1994;No;New;5.6000;5.6000;5.6;No
20951;Spain;Angola;C-212MP;MP aircraft;Aircraft;1990;Yes;2;Yes;1994;Yes;New;4.8000;4.8000;9.6;No
19065;Spain;Angola;C-212;Transport aircraft;Aircraft;1988;No;4;No;1989;No;New;3.8000;3.8000;15.2;No
4850;Spain;Angola;C-212;Transport aircraft;Aircraft;1985;No;4;No;1986;No;New;3.8000;3.8000;15.2;No
4850;Spain;Angola;C-212;Transport aircraft;Aircraft;1985;No;4;No;1985;No;New;3.8000;3.8000;15.2;No
30842;Spain;Austria;CN-235;Transport aircraft;Aircraft;2000;No;1;No;2000;No;New;10.0000;10.0000;10;No
23356;Spain;Bolivia;C-212;Transport aircraft;Aircraft;1988;Yes;1;No;1989;No;New;3.8000;3.8000;3.8;No
20017;Spain;Bolivia;C-212;Transport aircraft;Aircraft;1992;Yes;1;No;1992;No;New;3.8000;3.8000;3.8;No
40097;Spain;Bolivia;C-212;Transport aircraft;Aircraft;2006;No;2;No;2009;No;Second hand;3.8000;1.52;3.04;No
40097;Spain;Bolivia;C-212;Transport aircraft;Aircraft;2006;No;1;No;2007;No;Second hand;3.8000;1.52;1.52;No
18146;Spain;Botswana;CN-235;Transport aircraft;Aircraft;1986;No;1;No;1988;No;New;8.2000;8.2000;8.2;No
18146;Spain;Botswana;CN-235;Transport aircraft;Aircraft;1986;No;1;No;1987;No;New;8.2000;8.2000;8.2;No
51480;Spain;Botswana;CN-235;Transport aircraft;Aircraft;2008;No;1;No;2010;Yes;New;8.2000;8.2000;8.2;No
51480;Spain;Botswana;CN-235;Transport aircraft;Aircraft;2008;No;1;No;2009;No;New;8.2000;8.2000;8.2;No
23354;Spain;Botswana;C-212;Transport aircraft;Aircraft;1992;No;2;No;1993;No;New;3.8000;3.8000;7.6;No
30401;Spain;Brazil;C-295;Transport aircraft;Aircraft;2005;No;4;Yes;2007;No;New;12.0000;12.0000;48;No
30401;Spain;Brazil;C-295;Transport aircraft;Aircraft;2005;No;2;Yes;2008;No;New;12.0000;12.0000;24;No
30401;Spain;Brazil;C-295;Transport aircraft;Aircraft;2005;No;2;No;2009;No;New;12.0000;12.0000;24;No
30401;Spain;Brazil;C-295;Transport aircraft;Aircraft;2005;No;4;No;2006;No;New;12.0000;12.0000;48;No
54889;Spain;Cameroon;CN-235;Transport aircraft;Aircraft;2012;No;1;No;2013;No;New;8.2000;8.2000;8.2;No
32176;Spain;Chile;Bell-412;Helicopter;Aircraft;2000;No;2;No;2001;No;Second hand;5.0000;2;4;No
25852;Spain;Chile;Scorpene;Submarine;Ships;1997;No;1;No;2006;No;New;299.2000;299.2000;299.2;No
25328;Spain;Chile;C-212;Transport aircraft;Aircraft;1996;Yes;3;No;1997;No;New;3.8000;3.8000;11.4;No
21662;Spain;Chile;C-212;Transport aircraft;Aircraft;1994;No;2;Yes;1994;No;New;3.8000;3.8000;7.6;No
19691;Spain;Chile;CN-235;Transport aircraft;Aircraft;1989;No;1;Yes;1989;No;New;8.2000;8.2000;8.2;No
19691;Spain;Chile;CN-235;Transport aircraft;Aircraft;1989;No;2;No;1990;No;New;8.2000;8.2000;16.4;No
18766;Spain;Chile;CN-235;Transport aircraft;Aircraft;1996;Yes;1;No;1997;Yes;New;8.2000;8.2000;8.2;No
17230;Spain;Chile;Guacolda;Patrol craft;Ships;1963;No;2;No;1966;No;New;7.0300;7.0300;14.06;No
17230;Spain;Chile;Guacolda;Patrol craft;Ships;1963;No;2;No;1965;No;New;7.0300;7.0300;14.06;No
1031;Spain;Chile;C-212;Transport aircraft;Aircraft;1978;No;10;No;1978;No;New;3.8000;3.8000;38;No
53261;Spain;Chile;C-295MPA;ASW aircraft;Aircraft;2007;No;2;No;2011;No;New;27.5000;27.5000;55;No
51165;Spain;Chile;Scorpion;Light tank;Armoured vehicles;2008;Yes;15;No;2008;No;Second hand;0.8300;0.332;4.98;No
40109;Spain;Chile;C-295MPA;MP aircraft;Aircraft;2007;No;1;No;2010;No;New;21.5000;21.5000;21.5;No
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;3;Yes;1991;No;New;4.0000;4.0000;12;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;3;Yes;1990;No;New;4.0000;4.0000;12;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;3;Yes;1989;No;New;4.0000;4.0000;12;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;3;Yes;1988;No;New;4.0000;4.0000;12;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;3;Yes;1987;No;New;4.0000;4.0000;12;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;2;Yes;1986;No;New;4.0000;4.0000;8;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;4;Yes;1983;No;New;4.0000;4.0000;16;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;2;Yes;1995;Yes;New;4.0000;4.0000;8;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;2;Yes;1994;Yes;New;4.0000;4.0000;8;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;2;Yes;1993;Yes;New;4.0000;4.0000;8;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;1;Yes;1992;Yes;New;4.0000;4.0000;4;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;4;Yes;1982;Yes;New;4.0000;4.0000;16;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;3;No;1997;No;New;4.0000;4.0000;12;Yes
2000;Spain;Chile;C-101 Aviojet;Trainer/combat ac;Aircraft;1980;No;2;No;1996;No;New;4.0000;4.0000;8;Yes
33165;Spain;Colombia;CN-235MP;MP aircraft;Aircraft;2002;No;2;No;2003;No;New;17.2000;17.2000;34.4;No
25355;Spain;Colombia;PB-57;Patrol craft;Ships;1997;No;2;No;1998;No;Second hand but modernized;25.0000;16.5;33;No
25354;Spain;Colombia;CN-235;Transport aircraft;Aircraft;1997;No;3;No;1998;No;New;8.2000;8.2000;24.6;No
22998;Spain;Colombia;Cormoran;Patrol craft;Ships;1995;No;1;No;1996;No;Second hand but modernized;17.6000;11.616;11.616;No
18598;Spain;Colombia;C-212;Transport aircraft;Aircraft;1990;No;2;Yes;1991;Yes;New;3.8000;3.8000;7.6;No
55703;Spain;Colombia;C-295;Transport aircraft;Aircraft;2012;No;1;No;2013;No;New;12.0000;12.0000;12;No
51732;Spain;Colombia;CN-235MP;MP aircraft;Aircraft;2009;No;1;No;2010;No;New;17.2000;17.2000;17.2;No
40346;Spain;Colombia;C-295;Transport aircraft;Aircraft;2007;No;1;No;2009;No;New;12.0000;12.0000;12;No
40346;Spain;Colombia;C-295;Transport aircraft;Aircraft;2007;No;3;No;2008;No;New;12.0000;12.0000;36;No
37202;Spain;Colombia;C-212;Transport aircraft;Aircraft;2005;No;1;No;2005;No;Second hand;3.8000;1.52;1.52;No
34376;Spain;Colombia;C-212;Transport aircraft;Aircraft;2004;No;2;No;2005;No;Second hand;3.8000;1.52;3.04;No
39620;Spain;Colombia;SBT 155mm;Towed gun;Artillery;2005;No;2;Yes;2008;Yes;New;1.0000;1.0000;2;No
39620;Spain;Colombia;SBT 155mm;Towed gun;Artillery;2005;No;13;No;2007;No;New;1.0000;1.0000;13;No
35384;Spain;Czech Republic;C-295;Transport aircraft;Aircraft;2009;No;4;Yes;2011;No;New;12.0000;12.0000;48;No
31534;Spain;Dominican Republic;C-212;Transport aircraft;Aircraft;2000;No;1;No;2000;No;New;3.8000;3.8000;3.8;No
30309;Spain;Dominican Republic;C-212;Transport aircraft;Aircraft;1999;No;2;No;2000;No;New;3.8000;3.8000;7.6;No
29148;Spain;Dominican Republic;ECIA 120mm;Mortar;Artillery;1982;Yes;24;Yes;1982;Yes;New;0.0500;0.0500;1.2;No
2576;Spain;Equatorial Guinea;C-212;Transport aircraft;Aircraft;1980;Yes;3;Yes;1982;Yes;Second hand;3.8000;1.52;4.56;No
34651;Spain;Finland;C-295;Transport aircraft;Aircraft;2006;No;2;No;2007;No;New;12.0000;12.0000;24;No
51926;Spain;Finland;C-295;Transport aircraft;Aircraft;2010;No;1;No;2011;No;New;12.0000;12.0000;12;No
21221;Spain;Gabon;Teruel 140mm;Self-propelled MRL;Artillery;1983;Yes;8;No;1984;No;New;0.4500;0.4500;3.6;No
19913;Spain;Gabon;CN-235;Transport aircraft;Aircraft;1989;No;1;No;1990;No;New;8.2000;8.2000;8.2;No
51224;Spain;Ghana;C-295;Transport aircraft;Aircraft;2011;No;1;No;2012;No;New;12.0000;12.0000;12;No
51224;Spain;Ghana;C-295;Transport aircraft;Aircraft;2011;No;1;No;2011;No;New;12.0000;12.0000;12;No
26788;Spain;Guatemala;ECIA 120mm;Mortar;Artillery;1980;Yes;12;Yes;1981;Yes;New;0.0500;0.0500;0.6;No
28424;Spain;Indonesia;C-212;Transport aircraft;Aircraft;1996;No;2;No;1999;No;New;3.8000;3.8000;7.6;Yes
25496;Spain;Indonesia;C-212MP;MP aircraft;Aircraft;1996;No;2;Yes;2006;No;New;4.8000;4.8000;9.6;Yes
25496;Spain;Indonesia;C-212MP;MP aircraft;Aircraft;1996;No;2;Yes;2005;No;New;4.8000;4.8000;9.6;Yes
25496;Spain;Indonesia;C-212MP;MP aircraft;Aircraft;1996;No;2;Yes;2007;Yes;New;4.8000;4.8000;9.6;Yes
25305;Spain;Indonesia;C-212;Transport aircraft;Aircraft;1983;Yes;4;Yes;1984;No;New;3.8000;3.8000;15.2;Yes
25305;Spain;Indonesia;C-212;Transport aircraft;Aircraft;1983;Yes;4;Yes;1987;Yes;New;3.8000;3.8000;15.2;Yes
25305;Spain;Indonesia;C-212;Transport aircraft;Aircraft;1983;Yes;4;Yes;1986;Yes;New;3.8000;3.8000;15.2;Yes
25305;Spain;Indonesia;C-212;Transport aircraft;Aircraft;1983;Yes;4;Yes;1985;Yes;New;3.8000;3.8000;15.2;Yes
25305;Spain;Indonesia;C-212;Transport aircraft;Aircraft;1983;Yes;4;No;1989;No;New;3.8000;3.8000;15.2;Yes
99;Spain;Indonesia;C-212;Transport aircraft;Aircraft;1976;No;2;No;1980;No;New;3.8000;3.8000;7.6;Yes
39062;Spain;Indonesia;C-295;Transport aircraft;Aircraft;2012;No;3;No;2013;No;New;12.0000;12.0000;36;Yes
39062;Spain;Indonesia;C-295;Transport aircraft;Aircraft;2012;No;2;No;2012;No;New;12.0000;12.0000;24;Yes
20290;Spain;Iraq;Al Fao 210mm;Self-propelled gun;Artillery;1989;Yes;2;No;1989;No;New;1.2500;1.2500;2.5;No
20444;Spain;Ireland;CN-235MP;MP aircraft;Aircraft;1991;No;2;No;1994;No;New;17.2000;17.2000;34.4;No
20269;Spain;Ireland;CN-235;Transport aircraft;Aircraft;1991;No;1;No;1991;No;New;10.0000;10.0000;10;No
39044;Spain;Jordan;Mirage F-1E;FGA aircraft;Aircraft;2005;No;1;No;2006;No;Second hand;20.0000;8;8;No
34127;Spain;Jordan;C-295;Transport aircraft;Aircraft;2003;No;1;No;2004;No;New;12.0000;12.0000;12;No
34127;Spain;Jordan;C-295;Transport aircraft;Aircraft;2003;No;1;No;2003;No;New;12.0000;12.0000;12;No
5735;Spain;Jordan;C-212;Transport aircraft;Aircraft;1974;No;3;No;1976;No;New;3.8000;3.8000;11.4;No
5735;Spain;Jordan;C-212;Transport aircraft;Aircraft;1974;No;1;No;1975;No;New;3.8000;3.8000;3.8;No
4886;Spain;Jordan;C-101 Aviojet;Trainer/combat ac;Aircraft;1986;No;8;Yes;1988;No;New;4.0000;4.0000;32;No
4886;Spain;Jordan;C-101 Aviojet;Trainer/combat ac;Aircraft;1986;No;8;Yes;1987;No;New;4.0000;4.0000;32;No
35924;Spain;Kenya;Jasiri;OPV;Ships;2003;No;1;No;2012;No;New;31.0000;31.0000;31;No
33983;Spain;Kenya;Galana;Landing ship;Ships;1994;No;2;No;1994;No;New;15.0000;15.0000;30;No
30429;Spain;Kenya;Shujaa;Patrol craft;Ships;1992;Yes;2;No;1997;No;New;20.5000;20.5000;41;No
20842;Spain;South Korea (ROK);CN-235;Transport aircraft;Aircraft;1992;No;10;No;1994;No;New;8.2000;8.2000;82;No
20842;Spain;South Korea (ROK);CN-235;Transport aircraft;Aircraft;1992;No;2;No;1993;No;New;8.2000;8.2000;16.4;No
33955;Spain;Lesotho;C-212;Transport aircraft;Aircraft;2000;Yes;1;No;2001;No;New;3.8000;3.8000;3.8;No
20661;Spain;Lesotho;C-212;Transport aircraft;Aircraft;1990;No;1;No;1991;No;New;3.8000;3.8000;3.8;No
19459;Spain;Lesotho;C-212;Transport aircraft;Aircraft;1988;Yes;2;No;1989;No;New;3.8000;3.8000;7.6;No
