Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
32112;Sweden;Australia;RBS-70 Mk-3 Bolide;Portable SAM;Missiles;2003;No;30;Yes;2005;No;New;0.1200;0.1200;3.6;No
32112;Sweden;Australia;RBS-70 Mk-3 Bolide;Portable SAM;Missiles;2003;No;30;Yes;2004;No;New;0.1200;0.1200;3.6;No
32112;Sweden;Australia;RBS-70 Mk-3 Bolide;Portable SAM;Missiles;2003;No;30;Yes;2006;No;New;0.1200;0.1200;3.6;No
32112;Sweden;Australia;RBS-70 Mk-3 Bolide;Portable SAM;Missiles;2003;No;30;Yes;2003;No;New;0.1200;0.1200;3.6;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;2006;No;New;2.5000;2.5000;2.5;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;2005;No;New;2.5000;2.5000;2.5;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;2004;No;New;2.5000;2.5000;2.5;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;2003;No;New;2.5000;2.5000;2.5;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;2002;No;New;2.5000;2.5000;2.5;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;2001;No;New;2.5000;2.5000;2.5;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;1998;No;New;2.5000;2.5000;2.5;No
20946;Sweden;Australia;CEROS-200;Fire control radar;Sensors;1991;Yes;1;No;1996;No;New;2.5000;2.5000;2.5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;2006;No;New;5.0000;5.0000;5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;2005;No;New;5.0000;5.0000;5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;2004;No;New;5.0000;5.0000;5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;2003;No;New;5.0000;5.0000;5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;2002;No;New;5.0000;5.0000;5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;2001;No;New;5.0000;5.0000;5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;1998;No;New;5.0000;5.0000;5;No
20220;Sweden;Australia;Sea Giraffe-150;Air search radar;Sensors;1991;No;1;No;1996;No;New;5.0000;5.0000;5;No
52452;Sweden;Australia;Giraffe AMB;Air search radar;Sensors;2010;No;1;No;2013;No;New;7.5000;7.5000;7.5;No
52452;Sweden;Australia;Giraffe AMB;Air search radar;Sensors;2010;No;2;No;2012;No;New;7.5000;7.5000;15;No
17867;Sweden;Australia;Collins;Submarine;Ships;1987;No;1;No;2003;No;New;245.0000;245.0000;245;Yes
17867;Sweden;Australia;Collins;Submarine;Ships;1987;No;2;No;2001;No;New;245.0000;245.0000;490;Yes
17867;Sweden;Australia;Collins;Submarine;Ships;1987;No;1;No;1999;No;New;245.0000;245.0000;245;Yes
17867;Sweden;Australia;Collins;Submarine;Ships;1987;No;1;No;1998;No;New;245.0000;245.0000;245;Yes
17867;Sweden;Australia;Collins;Submarine;Ships;1987;No;1;No;1996;No;New;245.0000;245.0000;245;Yes
14479;Sweden;Australia;RBS-70;Portable SAM;Missiles;1985;No;100;Yes;1987;No;New;0.1000;0.1000;10;No
37170;Sweden;Canada;SAK-70 Mk-2 57mm;Naval gun;Artillery;1986;Yes;2;Yes;1992;No;New;2.5000;2.5000;5;No
37170;Sweden;Canada;SAK-70 Mk-2 57mm;Naval gun;Artillery;1986;Yes;3;Yes;1996;No;New;2.5000;2.5000;7.5;No
37170;Sweden;Canada;SAK-70 Mk-2 57mm;Naval gun;Artillery;1986;Yes;3;No;1995;No;New;2.5000;2.5000;7.5;No
37170;Sweden;Canada;SAK-70 Mk-2 57mm;Naval gun;Artillery;1986;Yes;4;No;1994;No;New;2.5000;2.5000;10;No
37170;Sweden;Canada;SAK-70 Mk-2 57mm;Naval gun;Artillery;1986;Yes;2;No;1993;No;New;2.5000;2.5000;5;No
18161;Sweden;Canada;Sea Giraffe-150;Air search radar;Sensors;1985;Yes;2;Yes;1996;No;New;5.0000;5.0000;10;No
18161;Sweden;Canada;Sea Giraffe-150;Air search radar;Sensors;1985;Yes;2;Yes;1995;Yes;New;5.0000;5.0000;10;No
18161;Sweden;Canada;Sea Giraffe-150;Air search radar;Sensors;1985;Yes;5;Yes;1994;Yes;New;5.0000;5.0000;25;No
18161;Sweden;Canada;Sea Giraffe-150;Air search radar;Sensors;1985;Yes;2;Yes;1993;Yes;New;5.0000;5.0000;10;No
18161;Sweden;Canada;Sea Giraffe-150;Air search radar;Sensors;1985;Yes;1;Yes;1992;Yes;New;5.0000;5.0000;5;No
55447;Sweden;Chad;MD5;Diesel engine;Engines;2012;No;22;Yes;2012;Yes;New;0.0200;0.0200;0.44;No
52595;Sweden;Croatia;DI-12;Diesel engine (AV);Engines;2008;No;42;Yes;2012;No;New;0.0600;0.0600;2.52;No
52594;Sweden;Croatia;DI-12;Diesel engine (AV);Engines;2007;No;45;Yes;2011;No;New;0.0600;0.0600;2.7;No
52594;Sweden;Croatia;DI-12;Diesel engine (AV);Engines;2007;No;10;Yes;2009;No;New;0.0600;0.0600;0.6;No
52594;Sweden;Croatia;DI-12;Diesel engine (AV);Engines;2007;No;25;Yes;2010;No;New;0.0600;0.0600;1.5;No
52594;Sweden;Croatia;DI-12;Diesel engine (AV);Engines;2007;No;2;Yes;2012;No;New;0.0600;0.0600;0.12;No
52594;Sweden;Croatia;DI-12;Diesel engine (AV);Engines;2007;No;2;Yes;2008;No;New;0.0600;0.0600;0.12;No
32781;Sweden;Austria;B-17A;Bomber aircraft;Aircraft;1960;Yes;1;Yes;1960;Yes;Second hand;1.3000;0.52;0.52;No
31883;Sweden;Austria;Saab-105XT;Trainer/combat ac;Aircraft;1969;No;7;Yes;1971;No;New;6.9600;6.9600;48.72;No
31883;Sweden;Austria;Saab-105XT;Trainer/combat ac;Aircraft;1969;No;13;No;1972;No;New;6.9600;6.9600;90.48;No
24980;Sweden;Austria;RBS-56B Bill-2;Anti-tank missile;Missiles;1996;No;500;Yes;2001;Yes;New;0.0300;0.0300;15;No
24980;Sweden;Austria;RBS-56B Bill-2;Anti-tank missile;Missiles;1996;No;500;Yes;2000;Yes;New;0.0300;0.0300;15;No
24980;Sweden;Austria;RBS-56B Bill-2;Anti-tank missile;Missiles;1996;No;500;Yes;1999;Yes;New;0.0300;0.0300;15;No
24980;Sweden;Austria;RBS-56B Bill-2;Anti-tank missile;Missiles;1996;No;290;Yes;1998;Yes;New;0.0300;0.0300;8.7;No
21466;Sweden;Austria;Saab-91 Safir;Trainer aircraft;Aircraft;1963;Yes;12;Yes;1965;No;New;0.1700;0.1700;2.04;No
21466;Sweden;Austria;Saab-91 Safir;Trainer aircraft;Aircraft;1963;Yes;12;Yes;1964;No;New;0.1700;0.1700;2.04;No
19822;Sweden;Austria;J-29F;Fighter aircraft;Aircraft;1961;No;7;Yes;1964;No;Second hand;3.1300;1.252;8.764;No
19822;Sweden;Austria;J-29F;Fighter aircraft;Aircraft;1961;No;8;Yes;1963;No;Second hand;3.1300;1.252;10.016;No
19822;Sweden;Austria;J-29F;Fighter aircraft;Aircraft;1961;No;8;Yes;1962;No;Second hand;3.1300;1.252;10.016;No
19822;Sweden;Austria;J-29F;Fighter aircraft;Aircraft;1961;No;7;Yes;1961;No;Second hand;3.1300;1.252;8.764;No
19383;Sweden;Austria;RBS-56 Bill;Anti-tank missile;Missiles;1989;No;100;Yes;1993;No;New;0.0200;0.0200;2;No
19383;Sweden;Austria;RBS-56 Bill;Anti-tank missile;Missiles;1989;No;300;Yes;1991;No;New;0.0200;0.0200;6;No
19383;Sweden;Austria;RBS-56 Bill;Anti-tank missile;Missiles;1989;No;100;Yes;1989;No;New;0.0200;0.0200;2;No
19383;Sweden;Austria;RBS-56 Bill;Anti-tank missile;Missiles;1989;No;250;Yes;1992;No;New;0.0200;0.0200;5;No
19383;Sweden;Austria;RBS-56 Bill;Anti-tank missile;Missiles;1989;No;250;Yes;1990;No;New;0.0200;0.0200;5;No
1644;Sweden;Austria;Saab-105XT;Trainer/combat ac;Aircraft;1968;No;10;No;1971;No;New;6.9600;6.9600;69.6;No
1644;Sweden;Austria;Saab-105XT;Trainer/combat ac;Aircraft;1968;No;10;No;1970;No;New;6.9600;6.9600;69.6;No
14105;Sweden;Austria;J-35 Draken;Fighter aircraft;Aircraft;1985;No;10;No;1989;No;Second hand but modernized;10.5000;6.93;69.3;No
14105;Sweden;Austria;J-35 Draken;Fighter aircraft;Aircraft;1985;No;14;No;1988;No;Second hand but modernized;10.5000;6.93;97.02;No
32559;Sweden;Bahrain;Giraffe-75;Air search radar;Sensors;1979;Yes;2;No;1984;No;New;4.0000;4.0000;8;No
21696;Sweden;Bahrain;9LV;Fire control radar;Sensors;1979;Yes;2;No;1984;No;New;2.5000;2.5000;5;No
