Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
54709;Taiwan (ROC);Gambia;Dvora;FAC;Ships;2009;Yes;4;No;2009;No;Second hand;10.0000;4;16;No
55718;Taiwan (ROC);Guatemala;Bell-205/UH-1H;Helicopter;Aircraft;2012;No;2;Yes;2012;No;Second hand;2.6200;1.048;2.096;No
29648;Taiwan (ROC);Guatemala;Bell-205/UH-1H;Helicopter;Aircraft;1996;Yes;2;Yes;1996;Yes;Second hand;2.6200;1.048;2.096;No
53247;Taiwan (ROC);Panama;Bell-407;Light helicopter;Aircraft;2008;Yes;1;No;2009;Yes;Second hand;1.1000;0.44;0.44;No
50026;Taiwan (ROC);Panama;Bell-407;Light helicopter;Aircraft;2002;Yes;1;No;2002;No;Second hand;1.1000;0.44;0.44;No
25758;Taiwan (ROC);Panama;Bell-205/UH-1H;Helicopter;Aircraft;1997;No;5;No;1997;No;Second hand;2.6200;1.048;5.24;No
24328;Taiwan (ROC);Paraguay;Bell-205/UH-1H;Helicopter;Aircraft;1996;No;2;No;1996;No;Second hand;2.6200;1.048;2.096;No
31807;Taiwan (ROC);Paraguay;Bell-205/UH-1H;Helicopter;Aircraft;2001;No;6;No;2001;No;Second hand;2.6200;1.048;6.288;No
20387;Taiwan (ROC);Paraguay;T-33A Shooting Star;Trainer aircraft;Aircraft;1990;Yes;6;No;1990;No;Second hand;2.5000;1;6;No
19744;Taiwan (ROC);Philippines;F-5A Freedom Fighter;FGA aircraft;Aircraft;1988;No;4;No;1989;No;Second hand;8.0000;3.2;12.8;No
24651;Taiwan (ROC);Turkey;F-5A Freedom Fighter;FGA aircraft;Aircraft;1988;Yes;9;Yes;1989;No;Second hand;8.0000;3.2;28.8;No
23049;Taiwan (ROC);South Vietnam;F-5A Freedom Fighter;FGA aircraft;Aircraft;1972;No;48;No;1972;No;Second hand;8.0000;3.2;153.6;No
54637;Taiwan (ROC);United States;RB-69A;Reconnaissance ac;Aircraft;1967;No;2;No;1967;No;Second hand;15.0000;6;12;No
