Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
31006;Turkey;Azerbaijan;AB-25;Patrol craft;Ships;2000;Yes;1;No;2000;No;Second hand;8.5000;3.4;3.4;No
56615;Turkey;Azerbaijan;TR-300 300mm;Self-propelled MRL;Artillery;2010;No;20;Yes;2013;No;New;0.9500;0.9500;19;No
53089;Turkey;Azerbaijan;T-122 122mm;Self-propelled MRL;Artillery;2010;No;40;Yes;2013;No;New;0.4500;0.4500;18;No
54816;Turkey;Azerbaijan;Shorland;APV;Armoured vehicles;2010;No;22;Yes;2011;No;New;0.1000;0.1000;2.2;No
54816;Turkey;Azerbaijan;Shorland;APV;Armoured vehicles;2010;No;15;Yes;2010;No;New;0.1000;0.1000;1.5;No
53276;Turkey;Azerbaijan;Cobra;APV;Armoured vehicles;2010;No;20;Yes;2011;No;New;0.1500;0.1500;3;No
53276;Turkey;Azerbaijan;Cobra;APV;Armoured vehicles;2010;No;15;Yes;2010;No;New;0.1500;0.1500;2.25;No
53226;Turkey;Azerbaijan;Roketsan 107mm;Self-propelled MRL;Artillery;2010;Yes;20;Yes;2013;No;New;0.2000;0.2000;4;No
53226;Turkey;Azerbaijan;Roketsan 107mm;Self-propelled MRL;Artillery;2010;Yes;10;Yes;2011;Yes;New;0.2000;0.2000;2;No
57150;Turkey;Bangladesh;Cobra;APV;Armoured vehicles;2012;Yes;10;Yes;2013;No;New;0.1500;0.1500;1.5;No
50406;Turkey;Bangladesh;Cobra;APV;Armoured vehicles;2006;No;7;No;2007;No;New;0.1500;0.1500;1.05;No
50406;Turkey;Bangladesh;Cobra;APV;Armoured vehicles;2006;No;15;Yes;2008;No;New;0.1500;0.1500;2.25;No
56417;Turkey;Bahrain;Cobra;APV;Armoured vehicles;2011;Yes;61;No;2012;No;New;0.1500;0.1500;9.15;No
53384;Turkey;Bahrain;ARMA;APC;Armoured vehicles;2010;No;13;No;2010;No;New;0.2700;0.2700;3.51;No
53091;Turkey;Bahrain;ARMA;APC;Armoured vehicles;2010;No;60;Yes;2012;No;New;0.2700;0.2700;16.2;No
50285;Turkey;Bahrain;Cobra;APV;Armoured vehicles;2006;Yes;15;No;2008;No;New;0.1500;0.1500;2.25;No
39670;Turkey;Bahrain;Akrep/Scorpion;APV;Armoured vehicles;2004;No;21;No;2005;No;New;0.1200;0.1200;2.52;No
53052;Turkey;Colombia;HY1-12 120mm;Towed mortar;Artillery;2008;No;38;Yes;2009;No;New;0.1000;0.1000;3.8;No
28678;Turkey;Georgia;AB-25;Patrol craft;Ships;1998;No;1;No;1998;No;Second hand;8.5000;3.4;3.4;No
52200;Turkey;Georgia;MRTP-33;Patrol craft;Ships;2008;No;1;No;2009;No;New;11.2000;11.2000;11.2;No
52200;Turkey;Georgia;MRTP-33;Patrol craft;Ships;2008;No;1;No;2008;No;New;11.2000;11.2000;11.2;No
51212;Turkey;Georgia;Ejder;APC;Armoured vehicles;2008;Yes;50;Yes;2009;No;New;0.2700;0.2700;13.5;No
51212;Turkey;Georgia;Ejder;APC;Armoured vehicles;2008;Yes;20;Yes;2008;No;New;0.2700;0.2700;5.4;No
50112;Turkey;Georgia;Cobra;APV;Armoured vehicles;2006;Yes;41;Yes;2007;No;New;0.1500;0.1500;6.15;No
50112;Turkey;Georgia;Cobra;APV;Armoured vehicles;2006;Yes;59;Yes;2008;Yes;New;0.1500;0.1500;8.85;No
32057;Turkey;Georgia;Bell-205/UH-1H;Helicopter;Aircraft;2001;Yes;2;No;2001;No;Second hand;2.6200;1.048;2.096;No
35706;Turkey;Iraq;Akrep/Scorpion;APV;Armoured vehicles;2005;Yes;551;Yes;2006;No;New;0.1200;0.1200;66.12;No
35706;Turkey;Iraq;Akrep/Scorpion;APV;Armoured vehicles;2005;Yes;22;No;2005;No;New;0.1200;0.1200;2.64;No
5781;Turkey;Jordan;Model-4 Ugur;Trainer aircraft;Aircraft;1956;No;3;No;1956;No;New;0.1600;0.1600;0.48;No
28081;Turkey;Jordan;CN-235;Transport aircraft;Aircraft;1998;No;2;No;1999;No;New;10.0000;10.0000;20;No
52242;Turkey;Malaysia;AIFV-APC;APC;Armoured vehicles;2008;No;28;No;2010;No;New;0.2600;0.2600;7.28;No
33300;Turkey;Malaysia;AIFV;IFV;Armoured vehicles;2008;No;28;No;2010;No;New;0.8600;0.8600;24.08;No
28284;Turkey;Malaysia;AIFV-APC;APC;Armoured vehicles;2000;No;50;Yes;2004;No;New;0.2600;0.2600;13;No
28284;Turkey;Malaysia;AIFV-APC;APC;Armoured vehicles;2000;No;67;Yes;2003;No;New;0.2600;0.2600;17.42;No
