Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
36164;Ukraine;Armenia;L-39C Albatros;Trainer aircraft;Aircraft;2003;Yes;2;No;2004;No;Second hand;4.4100;1.764;3.528;No
53618;Ukraine;Armenia;L-39C Albatros;Trainer aircraft;Aircraft;2009;Yes;2;No;2010;No;Second hand;4.4100;1.764;3.528;No
53618;Ukraine;Armenia;L-39C Albatros;Trainer aircraft;Aircraft;2009;Yes;2;No;2011;No;Second hand;4.4100;1.764;3.528;No
39082;Ukraine;Azerbaijan;BMP-1;IFV;Armoured vehicles;2004;Yes;2;No;2005;No;Second hand;0.9000;0.36;0.72;No
39081;Ukraine;Azerbaijan;M-43 120mm;Mortar;Artillery;2004;Yes;13;No;2006;No;Second hand;0.0500;0.02;0.26;No
39081;Ukraine;Azerbaijan;M-43 120mm;Mortar;Artillery;2004;Yes;72;No;2005;No;Second hand;0.0500;0.02;1.44;No
35354;Ukraine;Azerbaijan;T-72M1;Tank;Armoured vehicles;2002;Yes;17;No;2006;No;Second hand;2.6000;1.04;17.68;No
35354;Ukraine;Azerbaijan;T-72M1;Tank;Armoured vehicles;2002;Yes;25;No;2005;No;Second hand;2.6000;1.04;26;No
35354;Ukraine;Azerbaijan;T-72M1;Tank;Armoured vehicles;2002;Yes;3;No;2004;No;Second hand;2.6000;1.04;3.12;No
34633;Ukraine;Azerbaijan;T-12 100mm/2A19;Towed gun;Artillery;2002;Yes;72;No;2002;No;Second hand;0.3300;0.132;9.504;No
23280;Ukraine;Azerbaijan;T-55;Tank;Armoured vehicles;1993;Yes;50;No;1994;No;Second hand;1.2500;0.5;25;No
23280;Ukraine;Azerbaijan;T-55;Tank;Armoured vehicles;1993;Yes;100;No;1993;No;Second hand;1.2500;0.5;50;No
56399;Ukraine;Azerbaijan;80K6M;Air search radar;Sensors;2012;Yes;1;Yes;2013;No;New;13.0000;13.0000;13;No
52145;Ukraine;Azerbaijan;Mi-24P/Hind-F;Combat helicopter;Aircraft;2007;No;1;No;2010;No;Second hand but modernized;9.5300;6.2898;6.2898;No
52145;Ukraine;Azerbaijan;Mi-24P/Hind-F;Combat helicopter;Aircraft;2007;No;11;No;2009;No;Second hand but modernized;9.5300;6.2898;69.1878;No
36162;Ukraine;Azerbaijan;BM-9A52 Smerch;Self-propelled MRL;Artillery;2003;Yes;11;No;2005;No;Second hand;1.2000;0.48;5.28;No
36162;Ukraine;Azerbaijan;BM-9A52 Smerch;Self-propelled MRL;Artillery;2003;Yes;1;No;2004;No;Second hand;1.2000;0.48;0.48;No
52140;Ukraine;Azerbaijan;R-2;Anti-tank missile;Missiles;2008;Yes;200;Yes;2009;Yes;New;0.0400;0.0400;8;No
52140;Ukraine;Azerbaijan;R-2;Anti-tank missile;Missiles;2008;Yes;200;Yes;2010;Yes;New;0.0400;0.0400;8;No
52079;Ukraine;Azerbaijan;2S3 152mm;Self-propelled gun;Artillery;2008;Yes;10;No;2010;No;Second hand;1.0000;0.4;4;No
52079;Ukraine;Azerbaijan;2S3 152mm;Self-propelled gun;Artillery;2008;Yes;6;No;2009;No;Second hand;1.0000;0.4;2.4;No
51677;Ukraine;Azerbaijan;2S7 Pion 203mm;Self-propelled gun;Artillery;2007;Yes;3;No;2008;No;Second hand;1.1000;0.44;1.32;No
51676;Ukraine;Azerbaijan;Strela-3/SA-14 Gremlin;Portable SAM;Missiles;2007;Yes;18;Yes;2008;No;New;0.0600;0.0600;1.08;No
51674;Ukraine;Azerbaijan;2S1 122mm;Self-propelled gun;Artillery;2007;Yes;7;No;2010;No;Second hand;0.9000;0.36;2.52;No
