Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
24707;UAE;Bosnia and Herzegovina;AMX-30B;Tank;Armoured vehicles;1996;No;36;Yes;1997;No;Second hand;1.8000;0.72;25.92;No
24268;UAE;Bosnia and Herzegovina;Model-56 105mm;Towed gun;Artillery;1996;No;36;No;1996;No;Second hand;0.4500;0.18;6.48;No
50229;UAE;Bahrain;L-42;Landing craft;Ships;2008;No;2;No;2010;No;New;7.4000;7.4000;14.8;No
24091;UAE;Indonesia;DHC-5 Buffalo;Transport aircraft;Aircraft;1995;Yes;5;No;1995;No;Second hand;13.2200;5.288;26.44;No
36712;UAE;Iraq;VCR-TT;APC;Armoured vehicles;2005;Yes;10;Yes;2005;Yes;Second hand;0.1600;0.064;0.64;No
35660;UAE;Iraq;M-3 VTT;APC;Armoured vehicles;2004;No;44;No;2004;No;Second hand;0.1600;0.064;2.816;No
35614;UAE;Iraq;Bell-206/OH-58;Light helicopter;Aircraft;2004;No;5;No;2005;No;Second hand;0.7000;0.28;1.4;No
37068;UAE;Jordan;AS-350/AS-550 Fennec;Light helicopter;Aircraft;2005;No;10;Yes;2005;No;New;0.9000;0.9000;9;No
56231;UAE;Jordan;AT-802U;Ground attack ac;Aircraft;2013;No;6;Yes;2013;No;New;5.5000;5.5000;33;No
50905;UAE;Lebanon;SA-330 Puma;Helicopter;Aircraft;2009;No;10;No;2010;No;Second hand;6.0000;2.4;24;No
39612;UAE;Lebanon;SA-342 Gazelle;Light helicopter;Aircraft;2006;Yes;9;No;2007;No;Second hand;0.8000;0.32;2.88;No
20032;UAE;Liberia;DHC-4 Caribou;Transport aircraft;Aircraft;1989;No;1;No;1990;No;Second hand;3.7500;1.5;1.5;No
51800;UAE;Malaysia;Yabhon Aludra;UAV;Aircraft;2008;No;4;No;2008;No;New;0.2000;0.2000;0.8;No
53004;UAE;Seychelles;Rodman-101;Patrol craft;Ships;2010;No;2;No;2011;No;Second hand;3.5000;1.4;2.8;No
4070;UAE;Somalia;Hunter;FGA aircraft;Aircraft;1983;Yes;8;Yes;1983;No;Second hand;4.0000;1.6;12.8;No
4069;UAE;Somalia;BN-2 Islander;Light transport ac;Aircraft;1983;Yes;4;No;1983;No;Second hand;0.6000;0.24;0.96;No
38214;UAE;Tanzania;Shorts-330;Transport aircraft;Aircraft;2006;Yes;1;No;2006;No;Second hand;4.5000;1.8;1.8;No
23307;UAE;Netherlands;L-118 105mm;Towed gun;Artillery;1995;Yes;8;Yes;1995;No;Second hand;0.6000;0.24;1.92;No
35881;UAE;Oman;Mahmal;Landing ship;Ships;2005;No;1;No;2006;No;New;15.0000;15.0000;15;No
9659;UAE;Oman;Saladin;Armoured car;Armoured vehicles;1973;Yes;28;No;1974;No;Second hand;0.7000;0.28;7.84;No
56536;UAE;Pakistan;Hawker-4000;Light transport ac;Aircraft;2011;Yes;2;Yes;2013;No;Second hand;13.0000;5.2;10.4;No
51313;UAE;Pakistan;SA-330 Puma;Helicopter;Aircraft;2009;No;14;No;2009;No;Second hand;6.0000;2.4;33.6;No
21784;UAE;Pakistan;SA-316B Alouette-3;Light helicopter;Aircraft;1987;Yes;4;No;1987;No;Second hand;0.9000;0.36;1.44;No
