Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
38469;United Kingdom;Australia;Type-2093;MCM sonar;Sensors;1994;No;1;No;2003;No;New;12.0000;12.0000;12;No
38469;United Kingdom;Australia;Type-2093;MCM sonar;Sensors;1994;No;1;No;2002;No;New;12.0000;12.0000;12;No
38469;United Kingdom;Australia;Type-2093;MCM sonar;Sensors;1994;No;1;No;2001;No;New;12.0000;12.0000;12;No
38469;United Kingdom;Australia;Type-2093;MCM sonar;Sensors;1994;No;2;No;2000;No;New;12.0000;12.0000;24;No
38469;United Kingdom;Australia;Type-2093;MCM sonar;Sensors;1994;No;1;No;1999;No;New;12.0000;12.0000;12;No
36673;United Kingdom;Australia;Cymbeline;Arty locating radar;Sensors;1973;Yes;5;Yes;1974;Yes;New;2.3800;2.3800;11.9;No
33135;United Kingdom;Australia;AS-Mk-10 Limbo;ASW mortar;ASW weapons;1950;No;2;No;1957;No;New;5.0000;5.0000;10;No
33135;United Kingdom;Australia;AS-Mk-10 Limbo;ASW mortar;ASW weapons;1950;No;2;No;1955;No;New;5.0000;5.0000;10;No
33135;United Kingdom;Australia;AS-Mk-10 Limbo;ASW mortar;ASW weapons;1950;No;2;No;1954;No;New;5.0000;5.0000;10;No
33134;United Kingdom;Australia;Squid;ASW mortar;ASW weapons;1950;No;2;No;1953;No;New;1.5000;1.5000;3;No
32111;United Kingdom;Australia;Rapier;SAM system;Air defence systems;2001;No;20;Yes;2002;No;Second hand but modernized;7.0000;4.62;92.4;No
29094;United Kingdom;Australia;Canberra B-2;Bomber aircraft;Aircraft;1955;Yes;2;No;1956;No;New;8.5000;8.5000;17;No
28864;United Kingdom;Australia;Bloodhound-1;SAM system;Air defence systems;1959;Yes;1;Yes;1962;Yes;New;30.0000;30.0000;30;No
26486;United Kingdom;Australia;Tide;Support ship;Ships;1953;Yes;1;No;1962;No;Second hand;125.0000;50;50;No
25973;United Kingdom;Australia;ASRAAM;SRAAM;Missiles;1998;No;50;Yes;2004;No;New;0.1800;0.1800;9;No
25973;United Kingdom;Australia;ASRAAM;SRAAM;Missiles;1998;No;140;Yes;2003;No;New;0.1800;0.1800;25.2;No
25973;United Kingdom;Australia;ASRAAM;SRAAM;Missiles;1998;No;141;Yes;2002;No;New;0.1800;0.1800;25.38;No
25973;United Kingdom;Australia;ASRAAM;SRAAM;Missiles;1998;No;50;Yes;2001;No;New;0.1800;0.1800;9;No
25973;United Kingdom;Australia;ASRAAM;SRAAM;Missiles;1998;No;19;Yes;2000;No;New;0.1800;0.1800;3.42;No
25861;United Kingdom;Australia;Sea King HAS-5;ASW helicopter;Aircraft;1996;No;1;No;1996;No;Second hand;15.0000;6;6;No
25787;United Kingdom;Australia;Saracen;APC;Armoured vehicles;1958;Yes;10;Yes;1960;Yes;New;0.2000;0.2000;2;No
25787;United Kingdom;Australia;Saracen;APC;Armoured vehicles;1958;Yes;10;Yes;1959;Yes;New;0.2000;0.2000;2;No
25786;United Kingdom;Australia;Saladin;Armoured car;Armoured vehicles;1958;Yes;18;Yes;1960;Yes;New;0.7000;0.7000;12.6;No
23607;United Kingdom;Australia;B-29 Superfortress;Bomber aircraft;Aircraft;1952;Yes;2;No;1952;No;Second hand;9.0000;3.6;7.2;No
23676;United Kingdom;Australia;102mm Mk-20;Naval gun;Artillery;1950;No;1;Yes;1957;Yes;Second hand but modernized;1.2500;0.825;0.825;No
23676;United Kingdom;Australia;102mm Mk-20;Naval gun;Artillery;1950;No;1;Yes;1956;Yes;Second hand but modernized;1.2500;0.825;0.825;No
23676;United Kingdom;Australia;102mm Mk-20;Naval gun;Artillery;1950;No;1;Yes;1955;Yes;Second hand but modernized;1.2500;0.825;0.825;No
23676;United Kingdom;Australia;102mm Mk-20;Naval gun;Artillery;1950;No;1;Yes;1954;Yes;Second hand but modernized;1.2500;0.825;0.825;No
22227;United Kingdom;Australia;Gannet;ASW aircraft;Aircraft;1953;No;6;Yes;1955;No;New;6.5000;6.5000;39;No
22227;United Kingdom;Australia;Gannet;ASW aircraft;Aircraft;1953;No;10;Yes;1956;No;New;6.5000;6.5000;65;No
22227;United Kingdom;Australia;Gannet;ASW aircraft;Aircraft;1953;No;10;Yes;1958;No;New;6.5000;6.5000;65;No
22227;United Kingdom;Australia;Gannet;ASW aircraft;Aircraft;1953;No;10;Yes;1957;No;New;6.5000;6.5000;65;No
22223;United Kingdom;Australia;Venom NF-2;Fighter aircraft;Aircraft;1952;Yes;20;Yes;1955;No;New;3.7500;3.7500;75;No
22223;United Kingdom;Australia;Venom NF-2;Fighter aircraft;Aircraft;1952;Yes;19;Yes;1956;Yes;New;3.7500;3.7500;71.25;No
21336;United Kingdom;Australia;Blindfire;Fire control radar;Sensors;1977;No;4;Yes;1980;No;New;2.5000;2.5000;10;No
21336;United Kingdom;Australia;Blindfire;Fire control radar;Sensors;1977;No;4;Yes;1979;No;New;2.5000;2.5000;10;No
21336;United Kingdom;Australia;Blindfire;Fire control radar;Sensors;1977;No;2;No;1981;No;New;2.5000;2.5000;5;No
21335;United Kingdom;Australia;Ham;Minesweeper;Ships;1966;No;2;Yes;1967;No;Second hand;6.0000;2.4;4.8;No
21335;United Kingdom;Australia;Ham;Minesweeper;Ships;1966;No;1;Yes;1966;Yes;Second hand;6.0000;2.4;2.4;No
14226;United Kingdom;Australia;Ton;Minesweeper;Ships;1961;No;6;No;1962;No;Second hand but modernized;11.5000;7.59;45.54;No
14221;United Kingdom;Australia;Sea Cat;SAM;Missiles;1969;Yes;13;Yes;1971;Yes;New;0.0400;0.0400;0.52;No
14221;United Kingdom;Australia;Sea Cat;SAM;Missiles;1969;Yes;12;Yes;1970;Yes;New;0.0400;0.0400;0.48;No
14215;United Kingdom;Australia;Mod. Majestic;Aircraft carrier;Ships;1949;No;1;No;1955;No;New;400.0000;400.0000;400;No
8557;United Kingdom;Australia;Ferret;APV;Armoured vehicles;1955;Yes;133;Yes;1957;Yes;New;0.1200;0.1200;15.96;No
8557;United Kingdom;Australia;Ferret;APV;Armoured vehicles;1955;Yes;132;Yes;1956;Yes;New;0.1200;0.1200;15.84;No
8551;United Kingdom;Australia;Sea Cat;SAM;Missiles;1963;Yes;12;Yes;1964;No;New;0.0400;0.0400;0.48;No
8551;United Kingdom;Australia;Sea Cat;SAM;Missiles;1963;Yes;12;Yes;1967;Yes;New;0.0400;0.0400;0.48;No
8551;United Kingdom;Australia;Sea Cat;SAM;Missiles;1963;Yes;13;Yes;1966;Yes;New;0.0400;0.0400;0.52;No
8551;United Kingdom;Australia;Sea Cat;SAM;Missiles;1963;Yes;13;Yes;1965;Yes;New;0.0400;0.0400;0.52;No
8548;United Kingdom;Australia;Bloodhound-1;SAM;Missiles;1959;Yes;15;Yes;1963;Yes;New;0.3500;0.3500;5.25;No
8548;United Kingdom;Australia;Bloodhound-1;SAM;Missiles;1959;Yes;15;Yes;1962;Yes;New;0.3500;0.3500;5.25;No
7249;United Kingdom;Australia;Centurion-3;Tank;Armoured vehicles;1951;Yes;68;Yes;1956;Yes;New;1.3500;1.3500;91.8;No
7249;United Kingdom;Australia;Centurion-3;Tank;Armoured vehicles;1951;Yes;25;Yes;1955;Yes;New;1.3500;1.3500;33.75;No
7249;United Kingdom;Australia;Centurion-3;Tank;Armoured vehicles;1951;Yes;25;Yes;1954;Yes;New;1.3500;1.3500;33.75;No
7249;United Kingdom;Australia;Centurion-3;Tank;Armoured vehicles;1951;Yes;25;Yes;1953;Yes;New;1.3500;1.3500;33.75;No
7243;United Kingdom;Australia;HS-748;Transport aircraft;Aircraft;1971;Yes;2;No;1973;No;New;8.5000;8.5000;17;No
7241;United Kingdom;Australia;HS-748;Transport aircraft;Aircraft;1965;No;4;No;1969;No;New;8.5000;8.5000;34;No
7241;United Kingdom;Australia;HS-748;Transport aircraft;Aircraft;1965;No;4;No;1968;No;New;8.5000;8.5000;34;No
7228;United Kingdom;Australia;Scout;Light helicopter;Aircraft;1962;No;2;No;1964;No;New;0.8000;0.8000;1.6;No
7226;United Kingdom;Australia;Wessex HAS-1;ASW helicopter;Aircraft;1961;No;27;No;1962;No;New;7.5000;7.5000;202.5;No
7220;United Kingdom;Australia;Sycamore;Light helicopter;Aircraft;1951;Yes;2;Yes;1954;Yes;New;0.5000;0.5000;1;No
4957;United Kingdom;Australia;Sea King HAS-1;ASW helicopter;Aircraft;1972;No;5;Yes;1974;No;New;10.0000;10.0000;50;No
4957;United Kingdom;Australia;Sea King HAS-1;ASW helicopter;Aircraft;1972;No;5;Yes;1975;No;New;10.0000;10.0000;50;No
3350;United Kingdom;Australia;Sea King HAS-5;ASW helicopter;Aircraft;1980;No;2;No;1983;No;New;15.0000;15.0000;30;No
2217;United Kingdom;Australia;Bristol-170 Freighter;Transport aircraft;Aircraft;1950;Yes;1;No;1951;No;New;4.3800;4.3800;4.38;No
2216;United Kingdom;Australia;Meteor;Fighter aircraft;Aircraft;1950;Yes;39;Yes;1951;Yes;New;3.0000;3.0000;117;No
2216;United Kingdom;Australia;Meteor;Fighter aircraft;Aircraft;1950;Yes;60;Yes;1950;Yes;New;3.0000;3.0000;180;No
2214;United Kingdom;Australia;Sea Fury;Fighter aircraft;Aircraft;1949;Yes;24;Yes;1950;No;New;2.0000;2.0000;48;No
1388;United Kingdom;Australia;Rapier;SAM system;Air defence systems;1975;No;5;Yes;1981;No;New;7.0000;7.0000;35;No
1388;United Kingdom;Australia;Rapier;SAM system;Air defence systems;1975;No;5;Yes;1980;No;New;7.0000;7.0000;35;No
1388;United Kingdom;Australia;Rapier;SAM system;Air defence systems;1975;No;5;Yes;1979;No;New;7.0000;7.0000;35;No
1388;United Kingdom;Australia;Rapier;SAM system;Air defence systems;1975;No;5;Yes;1978;No;New;7.0000;7.0000;35;No
56885;United Kingdom;Australia;Avon;Turbojet;Engines;1951;No;1;Yes;1961;No;New;1.2500;1.2500;1.25;No
56885;United Kingdom;Australia;Avon;Turbojet;Engines;1951;No;6;Yes;1960;No;New;1.2500;1.2500;7.5;No
56885;United Kingdom;Australia;Avon;Turbojet;Engines;1951;No;20;Yes;1959;No;New;1.2500;1.2500;25;No
56885;United Kingdom;Australia;Avon;Turbojet;Engines;1951;No;30;Yes;1958;No;New;1.2500;1.2500;37.5;No
56885;United Kingdom;Australia;Avon;Turbojet;Engines;1951;No;30;Yes;1957;No;New;1.2500;1.2500;37.5;No
56885;United Kingdom;Australia;Avon;Turbojet;Engines;1951;No;24;Yes;1956;No;New;1.2500;1.2500;30;No
55185;United Kingdom;Australia;UFH/M-777 155mm;Towed gun;Artillery;2012;No;9;Yes;2013;No;New;1.0000;1.0000;9;No
53033;United Kingdom;Australia;Enforcer;AALS;Ships;2011;No;1;No;2011;No;Second hand;100.0000;40;40;No
50364;United Kingdom;Australia;UFH/M-777 155mm;Towed gun;Artillery;2010;Yes;35;No;2012;No;New;1.0000;1.0000;35;No
14224;United Kingdom;Australia;Oberon;Submarine;Ships;1963;No;2;No;1969;No;New;75.0000;75.0000;150;No
14224;United Kingdom;Australia;Oberon;Submarine;Ships;1963;No;1;No;1968;No;New;75.0000;75.0000;75;No
14224;United Kingdom;Australia;Oberon;Submarine;Ships;1963;No;1;No;1967;No;New;75.0000;75.0000;75;No
7244;United Kingdom;Australia;Viper;Turbojet;Engines;1965;No;17;Yes;1972;No;New;0.4000;0.4000;6.8;No
7244;United Kingdom;Australia;Viper;Turbojet;Engines;1965;No;22;Yes;1971;No;New;0.4000;0.4000;8.8;No
7244;United Kingdom;Australia;Viper;Turbojet;Engines;1965;No;20;Yes;1970;No;New;0.4000;0.4000;8;No
7244;United Kingdom;Australia;Viper;Turbojet;Engines;1965;No;18;Yes;1969;No;New;0.4000;0.4000;7.2;No
7244;United Kingdom;Australia;Viper;Turbojet;Engines;1965;No;20;Yes;1968;No;New;0.4000;0.4000;8;No
187;United Kingdom;Australia;Oberon;Submarine;Ships;1971;No;1;No;1978;No;New;75.0000;75.0000;75;No
187;United Kingdom;Australia;Oberon;Submarine;Ships;1971;No;1;No;1977;No;New;75.0000;75.0000;75;No
24527;United Kingdom;Australia;Hawk-100;Trainer/combat ac;Aircraft;1997;No;27;Yes;2001;No;New;10.0000;10.0000;270;No
24527;United Kingdom;Australia;Hawk-100;Trainer/combat ac;Aircraft;1997;No;6;Yes;2000;No;New;10.0000;10.0000;60;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;10;Yes;1989;No;New;0.1000;0.1000;1;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;10;Yes;1988;No;New;0.1000;0.1000;1;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1985;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1984;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1983;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1982;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1981;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1980;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1979;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1978;No;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1987;Yes;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1986;Yes;New;0.1000;0.1000;5;No
186;United Kingdom;Australia;Rapier-1;SAM;Missiles;1975;No;50;Yes;1977;Yes;New;0.1000;0.1000;5;No
53607;United Kingdom;Australia;Air refuel system;Air refuel system;Other;2004;No;1;No;2012;No;New;10.0000;10.0000;10;No
53607;United Kingdom;Australia;Air refuel system;Air refuel system;Other;2004;No;4;Yes;2011;No;New;10.0000;10.0000;40;No
29728;United Kingdom;Australia;MSTAR;Ground surv radar;Sensors;1999;No;15;Yes;2003;No;New;0.5000;0.5000;7.5;Yes
29728;United Kingdom;Australia;MSTAR;Ground surv radar;Sensors;1999;No;15;Yes;2005;Yes;New;0.5000;0.5000;7.5;Yes
29728;United Kingdom;Australia;MSTAR;Ground surv radar;Sensors;1999;No;16;Yes;2004;Yes;New;0.5000;0.5000;8;Yes
29728;United Kingdom;Australia;MSTAR;Ground surv radar;Sensors;1999;No;15;Yes;2002;Yes;New;0.5000;0.5000;7.5;Yes
22241;United Kingdom;Australia;Vampire T-55;Trainer aircraft;Aircraft;1954;Yes;13;Yes;1960;No;New;2.2500;2.2500;29.25;Yes
22241;United Kingdom;Australia;Vampire T-55;Trainer aircraft;Aircraft;1954;Yes;15;Yes;1958;No;New;2.2500;2.2500;33.75;Yes
22241;United Kingdom;Australia;Vampire T-55;Trainer aircraft;Aircraft;1954;Yes;14;Yes;1957;Yes;New;2.2500;2.2500;31.5;Yes
22241;United Kingdom;Australia;Vampire T-55;Trainer aircraft;Aircraft;1954;Yes;14;Yes;1956;Yes;New;2.2500;2.2500;31.5;Yes
22241;United Kingdom;Australia;Vampire T-55;Trainer aircraft;Aircraft;1954;Yes;14;No;1959;No;New;2.2500;2.2500;31.5;Yes
22224;United Kingdom;Australia;Vampire T-55;Trainer aircraft;Aircraft;1951;No;35;No;1952;No;New;2.2500;2.2500;78.75;Yes
22224;United Kingdom;Australia;Vampire T-55;Trainer aircraft;Aircraft;1951;No;5;No;1954;No;New;2.2500;2.2500;11.25;Yes
