Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
30680;United States;Australia;AGM-158A JASSM;ASM;Missiles;2006;Yes;50;Yes;2011;No;New;1.2500;1.2500;62.5;No
30680;United States;Australia;AGM-158A JASSM;ASM;Missiles;2006;Yes;105;Yes;2012;No;New;1.2500;1.2500;131.25;No
17482;United States;Portugal;Mk-15 Phalanx;CIWS;Air defence systems;1986;No;3;No;1991;No;New;7.0000;7.0000;21;No
29639;United States;Brazil;P-3A Orion;ASW aircraft;Aircraft;2002;No;1;Yes;2013;No;Second hand;28.0100;11.204;11.204;No
29639;United States;Brazil;P-3A Orion;ASW aircraft;Aircraft;2002;No;4;Yes;2012;No;Second hand;28.0100;11.204;44.816;No
29639;United States;Brazil;P-3A Orion;ASW aircraft;Aircraft;2002;No;2;No;2011;No;Second hand;28.0100;11.204;22.408;No
55951;United States;Colombia;Bell-412;Helicopter;Aircraft;2012;No;2;No;2013;No;New;5.0000;5.0000;10;No
35493;United States;Turkey;AN/APG-68;Combat ac radar;Sensors;2005;Yes;50;Yes;2013;No;New;2.0000;2.0000;100;No
35493;United States;Turkey;AN/APG-68;Combat ac radar;Sensors;2005;Yes;2;Yes;2011;No;New;2.0000;2.0000;4;No
35493;United States;Turkey;AN/APG-68;Combat ac radar;Sensors;2005;Yes;10;Yes;2010;No;New;2.0000;2.0000;20;No
35493;United States;Turkey;AN/APG-68;Combat ac radar;Sensors;2005;Yes;50;Yes;2012;No;New;2.0000;2.0000;100;No
31729;United States;Taiwan (ROC);AH-64D Apache;Combat helicopter;Aircraft;2010;Yes;8;Yes;2013;No;New;15.5000;15.5000;124;No
31729;United States;Taiwan (ROC);AH-64D Apache;Combat helicopter;Aircraft;2010;Yes;2;Yes;2012;No;New;15.5000;15.5000;31;No
50570;United States;United Kingdom;RC-135 Rivet joint;SIGINT aircraft;Aircraft;2010;No;1;No;2013;No;New;150.0000;150.0000;150;No
17990;United States;Japan;CH-53E Super Stallion;Helicopter;Aircraft;1987;Yes;1;No;1994;No;New;22.7800;22.7800;22.78;No
17990;United States;Japan;CH-53E Super Stallion;Helicopter;Aircraft;1987;Yes;4;No;1992;No;New;22.7800;22.7800;91.12;No
40075;United States;UAE;AGM-114L HELLFIRE;Anti-tank missile;Missiles;2009;No;195;Yes;2013;Yes;New;0.0700;0.0700;13.65;No
40075;United States;UAE;AGM-114L HELLFIRE;Anti-tank missile;Missiles;2009;No;195;Yes;2012;Yes;New;0.0700;0.0700;13.65;No
37932;United States;South Africa;T-800;Turboshaft;Engines;2003;No;8;No;2007;No;New;0.8000;0.8000;6.4;No
51082;United States;Colombia;ASV-150/M-1117;APC;Armoured vehicles;2009;No;39;Yes;2010;Yes;New;0.3500;0.3500;13.65;No
37276;United States;Spain;LM-2500;Gas turbine;Engines;1996;No;2;No;2012;No;New;7.0000;7.0000;14;No
37276;United States;Spain;LM-2500;Gas turbine;Engines;1996;No;2;No;2006;No;New;7.0000;7.0000;14;No
37276;United States;Spain;LM-2500;Gas turbine;Engines;1996;No;2;No;2004;No;New;7.0000;7.0000;14;No
37276;United States;Spain;LM-2500;Gas turbine;Engines;1996;No;2;No;2003;No;New;7.0000;7.0000;14;No
37276;United States;Spain;LM-2500;Gas turbine;Engines;1996;No;2;No;2002;No;New;7.0000;7.0000;14;No
50947;United States;Lebanon;Cessna-208 Caravan;Light transport ac;Aircraft;2008;Yes;1;No;2009;No;New;0.9000;0.9000;0.9;No
36379;United States;Australia;ScanEagle;UAV;Aircraft;2007;No;4;Yes;2007;No;New;0.0400;0.0400;0.16;No
54355;United States;Lebanon;Cessna-208 Caravan;Light transport ac;Aircraft;2011;Yes;1;No;2013;No;Second hand but modernized;0.9000;0.594;0.594;No
36317;United States;Japan;ScanEagle;UAV;Aircraft;2012;No;2;Yes;2013;No;New;0.0400;0.0400;0.08;No
51461;United States;Mexico;S-70/UH-60L;Helicopter;Aircraft;2010;No;3;No;2011;No;New;7.2500;7.2500;21.75;No
30942;United States;United Kingdom;F-35B JSF;FGA aircraft;Aircraft;2006;Yes;1;No;2013;Yes;New;65.0000;65.0000;65;Yes
30942;United States;United Kingdom;F-35B JSF;FGA aircraft;Aircraft;2006;Yes;2;No;2012;No;New;65.0000;65.0000;130;Yes
38247;United States;Mexico;S-70/UH-60L;Helicopter;Aircraft;2010;No;3;Yes;2012;Yes;New;7.2500;7.2500;21.75;No
39635;United States;Yemen;M-113;APC;Armoured vehicles;2005;Yes;32;No;2006;No;Second hand;0.2500;0.1;3.2;No
38996;United States;Saudi Arabia;M-1A1 Abrams;Tank;Armoured vehicles;2008;No;15;Yes;2012;Yes;Second hand but modernized;4.0000;2.64;39.6;No
21194;United States;Kuwait;Patriot;SAM system;Air defence systems;1993;No;3;Yes;1996;No;New;55.0000;55.0000;165;No
21194;United States;Kuwait;Patriot;SAM system;Air defence systems;1993;No;2;Yes;1995;Yes;New;55.0000;55.0000;110;No
38218;United States;Australia;MH-60R Seahawk;ASW helicopter;Aircraft;2011;No;2;No;2013;No;New;18.0000;18.0000;36;No
39453;United States;Romania;AE-2100;Turboprop;Engines;2006;Yes;4;Yes;2013;No;New;1.5000;1.5000;6;No
39453;United States;Romania;AE-2100;Turboprop;Engines;2006;Yes;4;Yes;2010;No;New;1.5000;1.5000;6;No
39453;United States;Romania;AE-2100;Turboprop;Engines;2006;Yes;2;Yes;2012;No;New;1.5000;1.5000;3;No
39453;United States;Romania;AE-2100;Turboprop;Engines;2006;Yes;4;Yes;2011;No;New;1.5000;1.5000;6;No
30638;United States;South Korea (ROK);Boeing-737 AEW&C;AEW&C aircraft;Aircraft;2006;No;2;No;2012;No;New;250.0000;250.0000;500;Yes
30638;United States;South Korea (ROK);Boeing-737 AEW&C;AEW&C aircraft;Aircraft;2006;No;2;No;2011;No;New;250.0000;250.0000;500;Yes
55813;United States;Germany (FRG);Patriot PAC-3;SAM system;Air defence systems;2000;Yes;4;Yes;2010;No;New;65.0000;65.0000;260;Yes
55813;United States;Germany (FRG);Patriot PAC-3;SAM system;Air defence systems;2000;Yes;5;Yes;2009;No;New;65.0000;65.0000;325;Yes
55813;United States;Germany (FRG);Patriot PAC-3;SAM system;Air defence systems;2000;Yes;4;Yes;2008;No;New;65.0000;65.0000;260;Yes
33703;United States;Pakistan;Perry;Frigate;Ships;2010;No;1;No;2011;No;Second hand but modernized;300.0000;198;198;No
39631;United States;Israel;M-113;APC;Armoured vehicles;2002;No;15;Yes;2003;Yes;Second hand;0.2500;0.1;1.5;No
50070;United States;Iraq;C-130J-30 Hercules;Transport aircraft;Aircraft;2009;No;3;No;2013;No;New;37.5000;37.5000;112.5;No
50070;United States;Iraq;C-130J-30 Hercules;Transport aircraft;Aircraft;2009;No;3;No;2012;No;New;37.5000;37.5000;112.5;No
51295;United States;Indonesia;Bell-412;Helicopter;Aircraft;2010;No;6;No;2013;No;New;5.0000;5.0000;30;No
51295;United States;Indonesia;Bell-412;Helicopter;Aircraft;2010;No;3;Yes;2012;No;New;5.0000;5.0000;15;No
51513;United States;Colombia;ScanEagle;UAV;Aircraft;2006;Yes;8;Yes;2007;Yes;New;0.0400;0.0400;0.32;No
51513;United States;Colombia;ScanEagle;UAV;Aircraft;2006;Yes;8;Yes;2006;No;New;0.0400;0.0400;0.32;No
52163;United States;Turkey;Gnat;UAV;Aircraft;1995;No;8;Yes;1996;Yes;New;0.2000;0.2000;1.6;No
52163;United States;Turkey;Gnat;UAV;Aircraft;1995;No;8;Yes;1995;Yes;New;0.2000;0.2000;1.6;No
52478;United States;Iraq;Swiftships-35;Patrol craft;Ships;2011;No;3;Yes;2012;Yes;New;5.5000;5.5000;16.5;No
52697;United States;Thailand;F404;Turbofan;Engines;2010;No;6;Yes;2013;No;New;2.2000;2.2000;13.2;No
53833;United States;Thailand;TPE-331;Turboprop;Engines;1990;No;3;No;1991;No;New;0.6000;0.6000;1.8;No
53999;United States;Jamaica;Bell-206/OH-58;Light helicopter;Aircraft;2008;Yes;1;No;2008;No;New;0.7000;0.7000;0.7;No
30324;United States;Israel;C-130J Hercules;Transport aircraft;Aircraft;2010;No;1;Yes;2013;No;New;35.0000;35.0000;35;No
33170;United States;Egypt;F-16C Block-50/52;FGA aircraft;Aircraft;2010;No;8;No;2013;No;New;31.0000;31.0000;248;No
51219;United States;Peru;Cessna-208 Caravan;Light transport ac;Aircraft;2009;No;1;No;2009;No;Second hand;0.9000;0.36;0.36;No
52102;United States;Iraq;M-113;APC;Armoured vehicles;2010;No;479;No;2012;No;Second hand but modernized;0.2500;0.165;79.035;No
52102;United States;Iraq;M-113;APC;Armoured vehicles;2010;No;355;Yes;2011;No;Second hand but modernized;0.2500;0.165;58.575;No
54024;United States;Netherlands;CAT-3508;Diesel engine;Engines;2007;Yes;3;No;2013;No;New;0.8000;0.8000;2.4;No
54024;United States;Netherlands;CAT-3508;Diesel engine;Engines;2007;Yes;3;Yes;2012;No;New;0.8000;0.8000;2.4;No
54024;United States;Netherlands;CAT-3508;Diesel engine;Engines;2007;Yes;6;No;2011;No;New;0.8000;0.8000;4.8;No
55974;United States;France;MQ-9 Reaper;UAV/UCAV;Aircraft;2013;No;2;No;2013;No;New;7.5000;7.5000;15;No
20119;United States;Greece;A-7E Corsair-2;FGA aircraft;Aircraft;1991;No;26;No;1992;No;Second hand;14.0000;5.6;145.6;No
37607;United States;Kuwait;TPE-331;Turboprop;Engines;1989;No;16;Yes;1995;No;New;0.6000;0.6000;9.6;No
21658;United States;Chile;Bell-205/UH-1H;Helicopter;Aircraft;1991;Yes;6;Yes;1993;No;Second hand;2.6200;1.048;6.288;No
21658;United States;Chile;Bell-205/UH-1H;Helicopter;Aircraft;1991;Yes;4;Yes;1992;Yes;Second hand;2.6200;1.048;4.192;No
39159;United States;Iraq;ISR King Air-350;AGS aircraft;Aircraft;2007;No;5;Yes;2008;No;New;11.0000;11.0000;55;No
39160;United States;Iraq;King Air;Light transport ac;Aircraft;2007;No;1;No;2007;No;New;2.7500;2.7500;2.75;No
20021;United States;Bolivia;Bell-205/UH-1H;Helicopter;Aircraft;1991;No;6;Yes;1991;Yes;Second hand;2.6200;1.048;6.288;No
