Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
16454;Yugoslavia;Cambodia;HIGGINS 78ft;FAC;Ships;1965;Yes;2;No;1965;No;Second hand;7.0000;2.8;5.6;No
26704;Yugoslavia;Cyprus;M-56 105mm;Towed gun;Artillery;1985;Yes;18;Yes;1986;Yes;New;0.4500;0.4500;8.1;No
18643;Yugoslavia;Cyprus;M-77  Oganj 128mm;Self-propelled MRL;Artillery;1987;Yes;4;Yes;1988;Yes;New;0.4500;0.4500;1.8;No
18643;Yugoslavia;Cyprus;M-77  Oganj 128mm;Self-propelled MRL;Artillery;1987;Yes;4;Yes;1987;Yes;New;0.4500;0.4500;1.8;No
18605;Yugoslavia;Cyprus;Strela-2/SA-7 Grail;Portable SAM;Missiles;1987;No;300;Yes;1988;No;New;0.0400;0.0400;12;No
16607;Yugoslavia;Cyprus;M-63 Plamen 128mm;Towed MRL;Artillery;1981;Yes;12;Yes;1982;Yes;New;0.1500;0.1500;1.8;No
24160;Yugoslavia;Ethiopia;HIGGINS 78ft;FAC;Ships;1960;No;2;No;1960;No;Second hand;7.0000;2.8;5.6;No
664;Yugoslavia;Ethiopia;Kraljevica/PBR-509;Patrol craft;Ships;1975;No;1;No;1975;No;Second hand;12.0000;4.8;4.8;No
73;Yugoslavia;Ethiopia;M-47 Patton;Tank;Armoured vehicles;1977;Yes;30;Yes;1977;No;Second hand;1.0500;0.42;12.6;No
26703;Yugoslavia;Guatemala;M-56 105mm;Towed gun;Artillery;1985;Yes;56;Yes;1985;Yes;New;0.4500;0.4500;25.2;No
20853;Yugoslavia;Indonesia;Sorong;Tanker;Ships;1963;Yes;1;No;1965;No;New;21.0000;21.0000;21;No
17425;Yugoslavia;Indonesia;M-56 105mm;Towed gun;Artillery;1963;Yes;50;Yes;1964;Yes;New;0.4500;0.4500;22.5;No
14620;Yugoslavia;Indonesia;Kraljevica/PBR-509;Patrol craft;Ships;1958;No;6;No;1958;No;Second hand;12.0000;4.8;28.8;No
1592;Yugoslavia;Indonesia;Ibn Khaldoum;Frigate;Ships;1978;No;1;No;1981;No;New;68.3500;68.3500;68.35;No
26968;Yugoslavia;Iraq;M-87 Orkan 262mm;Self-propelled MRL;Artillery;1986;Yes;2;Yes;1988;No;New;1.1500;1.1500;2.3;No
24185;Yugoslavia;Iraq;Spasilac;Salvage ship;Ships;1977;Yes;1;No;1978;No;New;20.0000;20.0000;20;No
3042;Yugoslavia;Iraq;Ibn Khaldoum;Frigate;Ships;1977;Yes;1;No;1980;No;New;68.3500;68.3500;68.35;No
19679;Yugoslavia;Iraq;D-30 122mm;Towed gun;Artillery;1988;Yes;25;Yes;1990;No;New;0.3500;0.3500;8.75;Yes
19679;Yugoslavia;Iraq;D-30 122mm;Towed gun;Artillery;1988;Yes;50;Yes;1989;No;New;0.3500;0.3500;17.5;Yes
34914;Yugoslavia;Kuwait;M-84ABI;ARV;Armoured vehicles;1989;No;15;No;1991;No;New;1.4000;1.4000;21;No
19655;Yugoslavia;Kuwait;M-84;Tank;Armoured vehicles;1989;No;164;No;1991;No;New;2.6000;2.6000;426.4;No
19655;Yugoslavia;Kuwait;M-84;Tank;Armoured vehicles;1989;No;21;No;1990;No;New;2.6000;2.6000;54.6;No
26205;Yugoslavia;Mexico;M-56 105mm;Towed gun;Artillery;1985;Yes;8;Yes;1985;Yes;New;0.4500;0.4500;3.6;No
24234;Yugoslavia;Sudan;PN-13;Tanker;Ships;1969;No;1;No;1969;No;Second hand but modernized;5.0000;3.3;3.3;No
21971;Yugoslavia;Sudan;DTM-211;Landing craft;Ships;1990;Yes;5;No;1991;No;New;7.0000;7.0000;35;No
14905;Yugoslavia;Sudan;DTM-211;Landing craft;Ships;1969;No;2;No;1969;No;Second hand;7.0000;2.8;5.6;No
14763;Yugoslavia;Sudan;Kraljevica/PBR-509;Patrol craft;Ships;1969;Yes;2;No;1969;No;Second hand;12.0000;4.8;9.6;No
26738;Yugoslavia;El Salvador;M-74 120mm;Mortar;Artillery;1982;Yes;30;Yes;1983;Yes;New;0.0500;0.0500;1.5;No
26737;Yugoslavia;El Salvador;UBM-52 120mm;Mortar;Artillery;1983;Yes;30;Yes;1984;Yes;New;0.0500;0.0500;1.5;No
4068;Yugoslavia;El Salvador;M-56 105mm;Towed gun;Artillery;1982;Yes;14;Yes;1982;Yes;Second hand;0.4500;0.18;2.52;No
20137;Yugoslavia;Myanmar;G-4 Super Galeb;Trainer/combat ac;Aircraft;1990;No;6;No;1992;No;New;5.3500;5.3500;32.1;No
20137;Yugoslavia;Myanmar;G-4 Super Galeb;Trainer/combat ac;Aircraft;1990;No;6;No;1991;No;New;5.3500;5.3500;32.1;No
15310;Yugoslavia;Myanmar;Thu Tay Thi;Survey ship;Ships;1962;Yes;1;No;1965;No;New;4.7600;4.7600;4.76;No
15312;Yugoslavia;Myanmar;Y-301;Patrol craft;Ships;1956;Yes;10;No;1958;No;New;2.9000;2.9000;29;No
54569;Yugoslavia;Myanmar;PB-90;Patrol craft;Ships;1990;No;3;No;1990;No;New;5.5000;5.5000;16.5;No
36970;Yugoslavia;Myanmar;Y-301;Patrol craft;Ships;1968;Yes;1;Yes;1970;Yes;New;2.9000;2.9000;2.9;Yes
36970;Yugoslavia;Myanmar;Y-301;Patrol craft;Ships;1968;Yes;1;Yes;1969;No;New;2.9000;2.9000;2.9;Yes
22811;Yugoslavia;Peru;M-56 105mm;Towed gun;Artillery;1972;Yes;60;No;1973;No;New;0.4500;0.4500;27;No
14719;Yugoslavia;Egypt;HIGGINS 78ft;FAC;Ships;1955;Yes;6;No;1956;No;Second hand;7.0000;2.8;16.8;No
2588;Yugoslavia;Honduras;F-86F Sabre;Fighter aircraft;Aircraft;1975;Yes;6;Yes;1976;No;Second hand;3.5000;1.4;8.4;No
37354;Yugoslavia;Libya;J-1 Jastreb;Ground attack ac;Aircraft;1975;Yes;4;Yes;1980;Yes;New;2.5000;2.5000;10;No
37354;Yugoslavia;Libya;J-1 Jastreb;Ground attack ac;Aircraft;1975;Yes;4;Yes;1979;Yes;New;2.5000;2.5000;10;No
37354;Yugoslavia;Libya;J-1 Jastreb;Ground attack ac;Aircraft;1975;Yes;4;Yes;1978;Yes;New;2.5000;2.5000;10;No
37354;Yugoslavia;Libya;J-1 Jastreb;Ground attack ac;Aircraft;1975;Yes;4;Yes;1976;Yes;New;2.5000;2.5000;10;No
37354;Yugoslavia;Libya;J-1 Jastreb;Ground attack ac;Aircraft;1975;Yes;16;Yes;1977;No;New;2.5000;2.5000;40;No
19128;Yugoslavia;Libya;Spasilac;Salvage ship;Ships;1980;Yes;1;No;1982;No;New;20.0000;20.0000;20;No
4436;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1982;Yes;22;Yes;1984;No;New;2.2500;2.2500;49.5;No
4436;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1982;Yes;20;Yes;1985;No;New;2.2500;2.2500;45;No
4436;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1982;Yes;20;Yes;1983;No;New;2.2500;2.2500;45;No
308;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1975;No;10;Yes;1981;Yes;New;2.2500;2.2500;22.5;No
308;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1975;No;10;Yes;1980;No;New;2.2500;2.2500;22.5;No
308;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1975;No;10;Yes;1979;No;New;2.2500;2.2500;22.5;No
308;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1975;No;10;Yes;1978;No;New;2.2500;2.2500;22.5;No
308;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1975;No;10;Yes;1977;No;New;2.2500;2.2500;22.5;No
308;Yugoslavia;Libya;G-2A Galeb;Trainer aircraft;Aircraft;1975;No;10;Yes;1976;No;New;2.2500;2.2500;22.5;No
54723;Yugoslavia;Libya;Strela-2/SA-7 Grail;Portable SAM;Missiles;1982;Yes;500;Yes;1984;Yes;New;0.0400;0.0400;20;No
54723;Yugoslavia;Libya;Strela-2/SA-7 Grail;Portable SAM;Missiles;1982;Yes;500;Yes;1985;Yes;New;0.0400;0.0400;20;No
29294;Yugoslavia;Zambia;DC-6/C-118;Transport aircraft;Aircraft;1970;Yes;2;No;1971;No;Second hand;8.5000;3.4;6.8;No
7171;Yugoslavia;Zambia;G-2A Galeb;Trainer aircraft;Aircraft;1970;No;2;No;1971;No;New;2.2500;2.2500;4.5;No
7170;Yugoslavia;Zambia;J-1 Jastreb;Ground attack ac;Aircraft;1970;No;4;No;1971;No;New;2.5000;2.5000;10;No
