"","Reporter_Name","Partner_Name","Reporter_Code","TradeFlow","Year","AuthOrDel","PRIO_Weapons_Code","PRIO_Weapons_Type","Partner_Code","Value","IsMirror","Data_Source","loop"
"328","Albania","Albania",339,"Exports",2005,2,223,"NULL",339,3366,1,6,1
"346","Albania","Albania",339,"Exports",2006,2,223,"NULL",339,13355,1,6,1
"4143","Australia","Australia",900,"Exports",2004,2,210,"NULL",900,586143,1,6,1
"4161","Australia","Australia",900,"Exports",2004,2,223,"NULL",900,13241,1,6,1
"4183","Australia","Australia",900,"Exports",2004,2,227,"NULL",900,721,1,6,1
"4211","Australia","Australia",900,"Exports",2004,2,260,"NULL",900,4693884,1,6,1
"4224","Australia","Australia",900,"Exports",2004,2,417,"NULL",900,48697,1,6,1
"4257","Australia","Australia",900,"Exports",2005,2,210,"NULL",900,15054,1,6,1
"4318","Australia","Australia",900,"Exports",2005,2,260,"NULL",900,3180066,1,6,1
"4329","Australia","Australia",900,"Exports",2005,2,417,"NULL",900,639,1,6,1
"4362","Australia","Australia",900,"Exports",2006,2,210,"NULL",900,42325,1,6,1
"4396","Australia","Australia",900,"Exports",2006,2,227,"NULL",900,31458,1,6,1
"4422","Australia","Australia",900,"Exports",2006,2,260,"NULL",900,2473903,1,6,1
"4435","Australia","Australia",900,"Exports",2006,2,417,"NULL",900,682288,1,6,1
"4466","Australia","Australia",900,"Exports",2007,2,210,"NULL",900,1431868,1,6,1
"4528","Australia","Australia",900,"Exports",2007,2,260,"NULL",900,4132772,1,6,1
"4579","Australia","Australia",900,"Exports",2008,2,210,"NULL",900,869812,1,6,1
"4641","Australia","Australia",900,"Exports",2008,2,260,"NULL",900,2870285,1,6,1
"4653","Australia","Australia",900,"Exports",2008,2,417,"NULL",900,6652,1,6,1
"4692","Australia","Australia",900,"Exports",2009,2,210,"NULL",900,37710,1,6,1
"4731","Australia","Australia",900,"Exports",2009,2,227,"NULL",900,8857,1,6,1
"4758","Australia","Australia",900,"Exports",2009,2,260,"NULL",900,857590,1,6,1
"4804","Australia","Australia",900,"Exports",2010,2,210,"NULL",900,19084,1,6,1
"4839","Australia","Australia",900,"Exports",2010,2,227,"NULL",900,13162,1,6,1
"4866","Australia","Australia",900,"Exports",2010,2,260,"NULL",900,580277,1,6,1
"4876","Australia","Australia",900,"Exports",2010,2,417,"NULL",900,1836,1,6,1
"4915","Australia","Australia",900,"Exports",2011,2,210,"NULL",900,283630,1,6,1
"4955","Australia","Australia",900,"Exports",2011,2,227,"NULL",900,33770,1,6,1
"4985","Australia","Australia",900,"Exports",2011,2,260,"NULL",900,4529308,1,6,1
"9934","Belgium","Belgium",211,"Exports",2010,2,223,"NULL",211,1056327,1,6,1
"9951","Belgium","Belgium",211,"Exports",2010,2,227,"NULL",211,27087,1,6,1
"11189","Bosnia-Herzegovina","Bosnia-Herzegovina",346,"Exports",2003,2,417,"NULL",346,94087,1,6,1
"13542","Bulgaria","Bulgaria",355,"Exports",2011,2,200,"NULL",355,472000,0,4,1
"15412","Canada","Canada",20,"Exports",2002,2,227,"NULL",20,2397,1,6,1
"15434","Canada","Canada",20,"Exports",2002,2,260,"NULL",20,823,1,6,1
"15455","Canada","Canada",20,"Exports",2002,2,417,"NULL",20,91030,1,6,1
"15567","Canada","Canada",20,"Exports",2003,2,260,"NULL",20,13484,1,6,1
"15586","Canada","Canada",20,"Exports",2003,2,417,"NULL",20,194230,1,6,1
"15626","Canada","Canada",20,"Exports",2004,2,210,"NULL",20,11122,1,6,1
"15698","Canada","Canada",20,"Exports",2004,2,260,"NULL",20,7179,1,6,1
"15721","Canada","Canada",20,"Exports",2004,2,417,"NULL",20,221463,1,6,1
"15848","Canada","Canada",20,"Exports",2005,2,417,"NULL",20,32756,1,6,1
"15937","Canada","Canada",20,"Exports",2006,2,227,"NULL",20,7181,1,6,1
"15967","Canada","Canada",20,"Exports",2006,2,260,"NULL",20,1616,1,6,1
"15997","Canada","Canada",20,"Exports",2006,2,417,"NULL",20,355640,1,6,1
"16085","Canada","Canada",20,"Exports",2007,2,227,"NULL",20,13454,1,6,1
"16146","Canada","Canada",20,"Exports",2007,2,417,"NULL",20,208218,1,6,1
"16178","Canada","Canada",20,"Exports",2007,2,418,"NULL",20,12,1,6,1
"16201","Canada","Canada",20,"Exports",2008,2,210,"NULL",20,1000,1,6,1
"16242","Canada","Canada",20,"Exports",2008,2,227,"NULL",20,60664,1,6,1
"16268","Canada","Canada",20,"Exports",2008,2,260,"NULL",20,250,1,6,1
"16292","Canada","Canada",20,"Exports",2008,2,417,"NULL",20,35525,1,6,1
"16383","Canada","Canada",20,"Exports",2009,2,227,"NULL",20,23435,1,6,1
"16408","Canada","Canada",20,"Exports",2009,2,260,"NULL",20,45762,1,6,1
"16428","Canada","Canada",20,"Exports",2009,2,417,"NULL",20,24582,1,6,1
"16509","Canada","Canada",20,"Exports",2010,2,223,"NULL",20,34898,1,6,1
"16532","Canada","Canada",20,"Exports",2010,2,227,"NULL",20,78136,1,6,1
"16566","Canada","Canada",20,"Exports",2010,2,260,"NULL",20,9716,1,6,1
"16593","Canada","Canada",20,"Exports",2010,2,417,"NULL",20,938822,1,6,1
"16691","Canada","Canada",20,"Exports",2011,2,227,"NULL",20,19734,1,6,1
"16722","Canada","Canada",20,"Exports",2011,2,260,"NULL",20,6694,1,6,1
"16745","Canada","Canada",20,"Exports",2011,2,417,"NULL",20,11456,1,6,1
"16780","Canada","Canada",20,"Exports",2011,2,418,"NULL",20,10,1,6,1
"21855","Cyprus","Cyprus",352,"Exports",2001,2,418,"NULL",352,157920,1,6,1
"21957","Cyprus","Cyprus",352,"Exports",2003,2,418,"NULL",352,606,1,6,1
"24043","Czech Republic","Czech Republic",316,"Exports",2004,2,200,"NULL",316,133060,0,4,1
"28760","Estonia","Estonia",366,"Exports",2007,2,417,"NULL",366,5085,1,6,1
"32299","France","France",220,"Exports",2000,2,223,"NULL",220,43412,1,6,1
"32350","France","France",220,"Exports",2000,2,417,"NULL",220,361290,1,6,1
"32375","France","France",220,"Exports",2000,2,418,"NULL",220,619970,1,6,1
"32398","France","France",220,"Exports",2001,2,223,"NULL",220,89525,1,6,1
"32424","France","France",220,"Exports",2001,2,227,"NULL",220,6714,1,6,1
"32453","France","France",220,"Exports",2001,2,417,"NULL",220,82811,1,6,1
"32473","France","France",220,"Exports",2001,2,418,"NULL",220,125337,1,6,1
"32501","France","France",220,"Exports",2002,2,223,"NULL",220,16244,1,6,1
"32525","France","France",220,"Exports",2002,2,227,"NULL",220,11601,1,6,1
"32557","France","France",220,"Exports",2002,2,417,"NULL",220,11601,1,6,1
"32577","France","France",220,"Exports",2002,2,418,"NULL",220,475712,1,6,1
"32606","France","France",220,"Exports",2003,2,223,"NULL",220,2723,1,6,1
"32632","France","France",220,"Exports",2003,2,227,"NULL",220,2723,1,6,1
"32662","France","France",220,"Exports",2003,2,417,"NULL",220,1078653,1,6,1
"32683","France","France",220,"Exports",2003,2,418,"NULL",220,1070481,1,6,1
"32703","France","France",220,"Exports",2004,2,223,"NULL",220,990720,1,6,1
"32728","France","France",220,"Exports",2004,2,227,"NULL",220,1937735,1,6,1
"32759","France","France",220,"Exports",2004,2,417,"NULL",220,748867,1,6,1
"32784","France","France",220,"Exports",2004,2,418,"NULL",220,1264627,1,6,1
"32898","France","France",220,"Exports",2006,2,223,"NULL",220,79966,1,6,1
"32925","France","France",220,"Exports",2006,2,227,"NULL",220,82722,1,6,1
"32957","France","France",220,"Exports",2006,2,417,"NULL",220,24817,1,6,1
"33016","France","France",220,"Exports",2007,2,223,"NULL",220,55657,1,6,1
"33039","France","France",220,"Exports",2007,2,227,"NULL",220,131821,1,6,1
"33080","France","France",220,"Exports",2007,2,417,"NULL",220,90809,1,6,1
"33106","France","France",220,"Exports",2007,2,418,"NULL",220,29292,1,6,1
"33130","France","France",220,"Exports",2008,2,223,"NULL",220,15382,1,6,1
"33154","France","France",220,"Exports",2008,2,227,"NULL",220,153832,1,6,1
"33183","France","France",220,"Exports",2008,2,417,"NULL",220,21535,1,6,1
